Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,30.20,30.40,30.10,30.25,18488800,29.58
2012-12-28,30.35,30.45,30.20,30.30,23283500,29.63
2012-12-27,30.65,30.95,30.20,30.25,35892900,29.58
2012-12-26,30.20,30.20,30.20,30.20,000,29.54
2012-12-25,30.20,30.20,30.20,30.20,000,29.54
2012-12-24,30.30,30.30,30.00,30.20,19177300,29.54
2012-12-21,30.25,30.45,30.00,30.30,49826200,29.63
2012-12-20,30.10,30.55,30.10,30.45,73379500,29.78
2012-12-19,30.90,30.90,30.25,30.40,95209100,29.73
2012-12-18,31.00,31.60,30.55,30.60,1859866600,29.93
2012-12-17,31.65,31.65,31.65,31.65,000,30.95
2012-12-14,30.70,31.80,30.70,31.65,31761200,30.95
2012-12-13,31.00,31.10,30.70,30.70,17884800,30.02
2012-12-12,30.85,31.05,30.55,30.80,21821100,30.12
2012-12-11,30.00,31.10,29.95,30.75,33920200,30.07
2012-12-10,30.35,30.40,29.80,29.90,18738300,29.24
2012-12-07,30.05,30.10,29.85,30.00,38266600,29.34
2012-12-06,30.20,30.20,29.70,30.10,122026400,29.44
2012-12-05,29.50,30.25,29.40,30.20,24195000,29.54
2012-12-04,29.60,30.05,29.40,29.60,26156500,28.95
2012-12-03,30.25,30.30,29.70,29.75,33212100,29.10
2012-11-30,30.45,30.55,30.00,30.15,78445000,29.49
2012-11-29,30.50,30.60,30.30,30.50,21184400,29.83
2012-11-28,30.55,30.65,30.10,30.25,22816500,29.58
2012-11-27,30.00,30.55,29.95,30.40,33480700,29.73
2012-11-26,30.20,30.35,29.95,30.05,15525900,29.39
2012-11-23,30.25,30.40,30.05,30.35,19601800,29.68
2012-11-22,30.35,30.55,30.15,30.45,21642200,29.78
2012-11-21,30.00,30.30,29.90,30.25,18122600,29.58
2012-11-20,30.10,30.35,29.50,29.75,30721300,29.10
2012-11-19,30.55,30.55,29.95,30.05,16969900,29.39
2012-11-16,30.45,30.45,29.95,30.10,14477200,29.44
2012-11-15,29.95,30.25,29.90,30.10,16400400,29.44
2012-11-14,30.10,30.55,30.05,30.35,16775300,29.68
2012-11-13,30.50,30.50,30.10,30.20,11144600,29.54
2012-11-12,30.50,30.50,30.05,30.50,10788300,29.83
2012-11-09,30.70,30.70,30.10,30.20,18208100,29.54
2012-11-08,30.90,31.15,30.50,30.70,23109600,30.02
2012-11-07,30.90,31.30,30.70,31.10,25637700,30.42
2012-11-06,30.95,31.35,30.85,31.15,21570200,30.46
2012-11-05,31.55,31.75,31.05,31.20,20196900,30.51
2012-11-02,31.65,31.90,31.30,31.80,31100300,31.10
2012-11-01,30.45,31.20,30.45,31.20,33508000,30.51
2012-10-31,30.75,30.85,30.40,30.70,14104500,30.02
2012-10-30,30.65,30.65,30.15,30.55,19995800,29.88
2012-10-29,30.50,30.75,30.20,30.30,21192200,29.63
2012-10-26,31.30,31.30,30.35,30.90,27793500,30.22
2012-10-25,31.30,31.50,31.10,31.10,24130800,30.42
2012-10-24,30.40,31.45,30.30,31.20,45765900,30.51
2012-10-23,30.20,30.20,30.20,30.20,000,29.54
2012-10-22,29.50,30.25,29.50,30.20,16574800,29.54
2012-10-19,29.75,30.00,29.75,29.90,12679200,29.24
2012-10-18,29.95,30.05,29.80,30.00,20262200,29.34
2012-10-17,29.90,29.90,29.70,29.80,21800500,29.14
2012-10-16,29.80,29.80,29.30,29.50,9877700,28.85
2012-10-15,29.10,29.75,29.10,29.45,16447000,28.80
2012-10-12,29.65,29.80,29.15,29.25,23806200,28.61
2012-10-11,29.70,29.80,29.50,29.60,25095100,28.95
2012-10-10,29.60,29.80,29.35,29.60,20561700,28.95
2012-10-09,30.05,30.10,29.85,29.90,17229100,29.24
2012-10-08,30.15,30.20,29.50,29.70,14406400,29.05
2012-10-05,29.90,29.95,29.70,29.95,19991800,29.29
2012-10-04,29.85,29.85,29.40,29.45,18613400,28.80
2012-10-03,29.95,29.95,29.10,29.55,45999300,28.90
2012-10-02,28.90,28.90,28.90,28.90,000,28.26
2012-10-01,28.90,28.90,28.90,28.90,000,28.26
2012-09-28,29.00,29.00,28.45,28.90,28268800,28.26
2012-09-27,28.10,28.95,28.10,28.85,29301600,28.22
2012-09-26,28.00,28.45,27.85,28.25,19746700,27.63
2012-09-25,28.40,28.60,28.40,28.45,14292700,27.82
2012-09-24,28.15,28.60,28.00,28.60,13163400,27.97
2012-09-21,28.40,28.70,28.30,28.45,19195100,27.82
2012-09-20,28.50,28.55,28.15,28.30,24899600,27.68
2012-09-19,28.90,28.95,28.60,28.70,24826700,28.07
2012-09-18,28.60,29.00,28.55,28.90,21916700,28.26
2012-09-17,29.45,29.45,28.60,28.85,20941400,28.22
2012-09-14,28.85,29.15,28.75,29.10,56914100,28.46
2012-09-13,28.35,28.50,28.00,28.10,27374800,27.48
2012-09-12,27.95,28.50,27.80,28.15,53013900,27.53
2012-09-11,27.95,27.95,27.30,27.50,37289000,26.90
2012-09-10,28.55,28.55,27.70,28.15,58314300,27.53
2012-09-07,27.80,28.10,27.35,28.10,758481800,27.48
2012-09-06,26.40,26.60,26.10,26.30,27281400,25.72
2012-09-05,26.05,26.40,25.90,26.15,21833000,25.57
