Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,24.00,24.15,23.90,24.10,5476100,22.07
2012-12-28,24.15,24.15,23.95,24.10,8168800,22.07
2012-12-27,24.25,24.25,23.95,23.95,6879300,21.93
2012-12-26,23.95,23.95,23.95,23.95,000,21.93
2012-12-25,23.95,23.95,23.95,23.95,000,21.93
2012-12-24,24.00,24.15,23.90,23.95,4169200,21.93
2012-12-21,24.20,24.20,23.90,24.00,9094000,21.97
2012-12-20,24.20,24.30,24.10,24.20,7126500,22.16
2012-12-19,24.50,24.50,24.25,24.40,10355200,22.34
2012-12-18,24.40,24.40,24.20,24.25,12725100,22.20
2012-12-17,24.25,24.50,24.25,24.35,14160000,22.30
2012-12-14,24.10,24.40,24.00,24.35,17744800,22.30
2012-12-13,24.05,24.10,23.90,24.00,12391500,21.97
2012-12-12,23.70,24.00,23.65,23.85,14605500,21.84
2012-12-11,23.80,23.90,23.65,23.70,13187100,21.70
2012-12-10,24.00,24.00,23.80,23.85,14130800,21.84
2012-12-07,24.15,24.20,23.95,24.00,10574700,21.97
2012-12-06,24.10,24.25,24.10,24.25,8926500,22.20
2012-12-05,24.00,24.10,23.75,24.10,9623600,22.07
2012-12-04,23.60,23.85,23.60,23.80,8425700,21.79
2012-12-03,24.05,24.15,23.70,23.75,12096400,21.75
2012-11-30,23.90,24.15,23.80,23.80,15789800,21.79
2012-11-29,23.65,24.15,23.65,24.05,14032300,22.02
2012-11-28,24.00,24.00,23.65,23.70,8671300,21.70
2012-11-27,24.25,24.25,23.80,24.00,8334900,21.97
2012-11-26,24.25,24.30,24.10,24.20,5759100,22.16
2012-11-23,24.00,24.15,23.90,24.10,6865400,22.07
2012-11-22,24.00,24.00,23.80,23.90,000,21.88
2012-11-21,23.70,23.70,23.45,23.65,5733400,21.65
2012-11-20,23.65,23.65,23.45,23.55,4730800,21.56
2012-11-19,23.45,23.60,23.45,23.50,6439400,21.52
2012-11-16,23.55,23.55,23.20,23.40,13150300,21.43
2012-11-15,23.60,23.70,23.50,23.55,7214900,21.56
2012-11-14,23.60,23.80,23.60,23.70,6024700,21.70
2012-11-13,23.60,23.75,23.55,23.55,7370000,21.56
2012-11-12,23.50,23.85,23.50,23.70,6333200,21.70
2012-11-09,23.90,23.90,23.55,23.65,6681300,21.65
2012-11-08,23.95,23.95,23.70,23.75,12595600,21.75
2012-11-07,24.15,24.15,23.90,24.00,10421500,21.97
2012-11-06,23.80,24.10,23.80,24.05,5140200,22.02
2012-11-05,24.10,24.15,23.90,24.00,7223300,21.97
2012-11-02,24.00,24.20,24.00,24.20,9717700,22.16
2012-11-01,24.00,24.05,23.85,23.95,7317700,21.93
2012-10-31,23.55,23.95,23.55,23.85,8862600,21.84
2012-10-30,23.45,23.70,23.45,23.55,10528700,21.56
2012-10-29,23.70,23.80,23.30,23.45,27228200,21.47
2012-10-26,24.30,24.45,23.70,23.90,20282100,21.88
2012-10-25,24.25,24.65,24.25,24.45,13522500,22.39
2012-10-24,24.15,24.50,24.05,24.35,21264700,22.30
2012-10-23,24.00,24.00,24.00,24.00,000,21.97
2012-10-22,24.05,24.20,24.00,24.00,10140700,21.97
2012-10-19,24.00,24.15,23.90,23.95,11794500,21.93
2012-10-18,24.00,24.25,23.95,23.95,21693500,21.93
2012-10-17,24.20,24.30,24.10,24.15,11903800,22.11
2012-10-16,24.30,24.30,24.00,24.10,8626800,22.07
2012-10-15,24.05,24.30,23.90,24.10,11781900,22.07
2012-10-12,24.30,24.45,24.00,24.10,15214200,22.07
2012-10-11,24.35,24.45,24.25,24.25,14832000,22.20
2012-10-10,24.50,24.75,24.40,24.50,6590500,22.43
2012-10-09,24.90,24.95,24.55,24.65,7318800,22.57
2012-10-08,25.00,25.00,24.50,24.75,4673200,22.66
2012-10-05,24.75,24.95,24.75,24.90,7112900,22.80
2012-10-04,24.95,24.95,24.65,24.75,7897200,22.66
2012-10-03,24.80,24.90,24.55,24.70,10711600,22.62
2012-10-02,24.65,24.65,24.65,24.65,000,22.57
2012-10-01,24.65,24.65,24.65,24.65,000,22.57
2012-09-28,24.75,24.75,24.45,24.65,20735400,22.57
2012-09-27,24.20,24.75,24.10,24.55,14179100,22.48
2012-09-26,24.10,24.25,24.10,24.15,5850700,22.11
2012-09-25,24.20,24.40,24.15,24.25,7620900,22.20
2012-09-24,24.30,24.45,24.15,24.25,5380500,22.20
2012-09-21,24.35,24.40,24.10,24.30,12140000,22.25
2012-09-20,24.35,24.35,24.00,24.15,11106900,22.11
2012-09-19,24.15,24.40,24.15,24.35,9040700,22.30
2012-09-18,24.30,24.45,24.10,24.15,9268300,22.11
2012-09-17,24.25,24.30,24.05,24.15,14761500,22.11
2012-09-14,24.40,24.40,23.95,24.00,22169900,21.97
2012-09-13,23.90,24.10,23.80,24.00,8789800,21.97
2012-09-12,24.05,24.20,23.95,24.10,6505300,22.07
2012-09-11,24.05,24.05,23.70,23.85,7542000,21.84
2012-09-10,23.80,24.10,23.80,23.95,11379000,21.93
2012-09-07,23.60,23.90,23.45,23.70,16985400,21.70
2012-09-06,24.20,24.20,23.20,23.40,19343000,21.43
2012-09-05,24.50,24.55,24.35,24.45,10497100,21.89
2012-09-04,24.60,24.75,24.50,24.55,5038500,21.98
2012-09-03,24.50,24.80,24.45,24.65,5364700,22.07
2012-08-31,24.65,24.65,24.35,24.55,8301900,21.98
2012-08-30,24.70,24.75,24.45,24.55,8440600,21.98
2012-08-29,24.50,24.85,24.50,24.75,9724800,22.16
2012-08-28,24.30,24.70,24.30,24.65,8829400,22.07
2012-08-27,24.90,24.90,24.35,24.40,8746900,21.84
2012-08-24,24.60,24.70,24.40,24.60,11778100,22.02
2012-08-23,24.55,24.95,24.55,24.90,10818500,22.29
2012-08-22,24.55,24.70,24.40,24.45,4698100,21.89
2012-08-21,24.80,24.80,24.50,24.70,8348900,22.11
2012-08-20,24.50,24.75,24.30,24.65,6994800,22.07
2012-08-17,24.45,24.45,24.25,24.45,5648400,21.89
2012-08-16,24.30,24.45,24.15,24.25,7677800,21.71
2012-08-15,24.90,24.90,24.05,24.10,22945900,21.57
2012-08-14,24.35,24.85,24.35,24.80,16906000,22.20
2012-08-13,24.25,24.40,24.25,24.30,4783500,21.75
2012-08-10,24.45,24.45,24.25,24.35,9004300,21.80
2012-08-09,24.35,24.45,24.20,24.30,9307600,21.75
2012-08-08,24.20,24.35,24.10,24.20,13036600,21.66
2012-08-07,23.90,24.05,23.90,24.00,8670000,21.48
2012-08-06,24.05,24.20,23.90,23.95,7844700,21.44
2012-08-03,23.70,23.85,23.55,23.75,8025100,21.26
2012-08-02,23.90,24.00,23.80,23.95,9463000,21.44
2012-08-01,23.85,23.90,23.65,23.85,9492300,21.35
2012-07-31,23.75,23.90,23.65,23.85,13839500,21.35
2012-07-30,23.80,23.80,23.65,23.70,8233700,21.22
2012-07-27,23.45,23.80,23.30,23.55,11556900,21.08
2012-07-26,23.20,23.40,23.00,23.15,6915400,20.72
2012-07-25,23.35,23.40,23.10,23.25,7193000,20.81
2012-07-24,23.80,23.80,23.35,23.50,6726100,21.04
2012-07-23,23.40,23.45,23.25,23.45,9224200,20.99
2012-07-20,23.65,23.80,23.50,23.80,13580100,21.31
2012-07-19,23.50,23.75,23.40,23.70,14957400,21.22
2012-07-18,23.55,23.55,23.10,23.30,7080900,20.86
2012-07-17,22.90,23.50,22.90,23.45,11795000,20.99
2012-07-16,23.15,23.15,22.60,22.75,5324100,20.37
2012-07-13,22.85,23.00,22.65,22.90,4854100,20.50
2012-07-12,23.00,23.20,22.70,22.85,9214800,20.46
2012-07-11,23.20,23.35,23.00,23.20,10120800,20.77
2012-07-10,23.30,23.45,23.20,23.35,10323000,20.90
2012-07-09,23.55,23.55,23.10,23.15,10426200,20.72
2012-07-06,23.75,23.75,23.30,23.55,8315000,21.08
2012-07-05,23.40,23.65,23.25,23.60,6648700,21.13
2012-07-04,23.65,23.70,23.30,23.45,8991500,20.99
2012-07-03,23.85,23.85,23.35,23.50,10219400,21.04
2012-07-02,23.60,23.60,23.60,23.60,000,21.13
2012-06-29,23.20,23.75,23.15,23.60,17142000,21.13
2012-06-28,23.80,23.80,23.20,23.25,13900700,20.81
2012-06-27,23.80,23.80,23.55,23.75,14327200,21.26
2012-06-26,23.60,23.80,23.45,23.70,11566300,21.22
2012-06-25,23.30,23.80,23.25,23.55,10800900,21.08
2012-06-22,23.20,23.40,22.90,23.35,10760400,20.90
2012-06-21,23.50,23.75,23.25,23.35,13542200,20.90
2012-06-20,23.80,23.90,23.50,23.50,9677200,21.04
2012-06-19,23.50,23.80,23.35,23.65,11426500,21.17
2012-06-18,23.80,24.00,23.40,23.45,21585100,20.99
2012-06-15,22.70,23.40,22.55,23.30,30611900,20.86
2012-06-14,22.25,22.40,22.10,22.20,8848100,19.87
2012-06-13,22.45,22.45,22.20,22.35,11456400,20.01
2012-06-12,21.75,22.15,21.60,22.00,7341300,19.69
2012-06-11,21.70,22.00,21.70,21.95,11728100,19.65
2012-06-08,21.75,21.75,21.30,21.65,9541900,19.38
2012-06-07,21.90,22.00,21.60,21.70,8633900,19.43
2012-06-06,21.50,21.65,21.30,21.50,8161300,19.25
2012-06-05,21.20,21.40,21.05,21.20,8088600,18.98
2012-06-04,21.25,21.25,20.85,21.10,12560800,18.89
2012-06-01,21.10,21.85,21.10,21.55,13419600,19.29
2012-05-31,21.60,21.80,21.30,21.35,22474000,19.11
2012-05-30,22.55,22.70,22.40,22.55,15037400,19.69
2012-05-29,22.05,22.75,21.95,22.70,17009600,19.82
2012-05-28,21.60,22.20,21.50,22.10,8501500,19.29
2012-05-25,21.90,22.10,21.55,21.65,14866100,18.90
2012-05-24,21.90,22.45,21.80,22.05,9008300,19.25
2012-05-23,22.05,22.10,21.60,21.90,13841400,19.12
2012-05-22,22.00,22.45,21.95,22.25,12004100,19.43
2012-05-21,21.70,22.00,21.65,21.90,7126100,19.12
2012-05-18,21.55,22.00,21.05,21.95,25166700,19.16
2012-05-17,22.10,22.55,21.90,22.10,14302800,19.29
2012-05-16,22.80,23.05,22.20,22.45,21755600,19.60
2012-05-15,22.85,23.30,22.45,23.20,17061300,20.25
2012-05-14,23.30,23.35,22.65,22.85,15728600,19.95
2012-05-11,23.55,23.65,23.05,23.25,16505000,20.30
2012-05-10,23.90,24.00,23.65,23.70,14484000,20.69
2012-05-09,23.90,24.15,23.80,24.00,13916100,20.95
2012-05-08,24.05,24.45,23.90,24.25,19053900,21.17
2012-05-07,23.80,24.10,23.70,23.80,14054400,20.78
2012-05-04,24.10,24.25,23.95,24.20,9316800,21.13
2012-05-03,24.20,24.25,23.95,24.20,12967700,21.13
2012-05-02,24.25,24.25,24.00,24.15,13970100,21.08
2012-05-01,24.10,24.10,24.10,24.10,000,21.04
2012-04-30,24.00,24.15,23.95,24.05,13243600,21.00
2012-04-27,23.80,24.15,23.70,23.95,40284200,20.91
2012-04-26,23.45,23.50,23.35,23.50,16546600,20.52
2012-04-25,23.20,23.40,23.10,23.25,14811500,20.30
2012-04-24,22.85,23.20,22.85,23.10,12842800,20.17
2012-04-23,22.95,23.15,22.80,22.85,12706300,19.95
2012-04-20,23.10,23.10,22.85,22.90,5400900,19.99
2012-04-19,23.05,23.10,22.70,23.00,10226300,20.08
2012-04-18,23.30,23.35,22.90,23.05,13376400,20.12
2012-04-17,23.00,23.15,22.80,23.10,23950000,20.17
2012-04-16,22.30,22.95,22.30,22.85,15274400,19.95
2012-04-13,22.80,22.90,22.45,22.60,21069300,19.73
2012-04-12,21.80,22.90,21.65,22.45,38477500,19.60
2012-04-11,21.55,21.80,21.35,21.70,12432900,18.95
2012-04-10,21.45,21.80,21.45,21.50,7338500,18.77
2012-04-09,21.60,21.60,21.60,21.60,000,18.86
2012-04-06,21.60,21.60,21.60,21.60,000,18.86
2012-04-05,21.50,21.75,21.40,21.60,11851900,18.86
2012-04-04,21.70,21.70,21.70,21.70,000,18.95
2012-04-03,21.60,21.75,21.55,21.70,10173900,18.95
2012-04-02,21.80,21.80,21.50,21.55,7899800,18.81
2012-03-30,21.15,21.55,21.15,21.45,14586900,18.73
2012-03-29,21.60,21.75,21.45,21.60,14054700,18.86
2012-03-28,21.95,21.95,21.60,21.80,8006700,19.03
2012-03-27,21.45,21.90,21.45,21.85,11708200,19.08
2012-03-26,21.45,21.55,21.25,21.40,10211400,18.68
2012-03-23,21.50,21.50,21.20,21.30,12201400,18.60
2012-03-22,21.60,21.70,21.45,21.60,5646400,18.86
2012-03-21,21.75,21.80,21.45,21.55,9288100,18.81
2012-03-20,21.85,21.95,21.60,21.75,10385700,18.99
2012-03-19,21.60,22.15,21.55,21.80,24054900,19.03
2012-03-16,21.50,21.70,21.40,21.45,5704000,18.73
2012-03-15,21.65,21.65,21.30,21.50,5555300,18.77
2012-03-14,21.70,21.90,21.30,21.40,14534200,18.68
2012-03-13,21.45,21.65,21.30,21.35,8481500,18.64
2012-03-12,21.05,21.45,21.05,21.25,4895500,18.55
2012-03-09,21.05,21.45,21.00,21.20,10029400,18.51
2012-03-08,21.10,21.20,21.00,21.10,9095900,18.42
2012-03-07,20.90,21.10,20.80,21.05,11759300,18.38
2012-03-06,22.05,22.05,21.10,21.20,16350300,18.51
2012-03-05,21.90,22.10,21.65,21.75,5883400,18.99
2012-03-02,22.05,22.05,21.85,21.95,10390200,19.16
2012-03-01,21.80,22.15,21.75,21.80,14326000,19.03
2012-02-29,21.70,21.90,21.50,21.75,11692900,18.99
2012-02-28,21.30,21.80,21.25,21.65,12638600,18.90
2012-02-27,21.60,21.85,21.10,21.30,16418400,18.60
2012-02-24,21.90,22.10,21.70,21.75,5803300,18.99
2012-02-23,21.85,21.95,21.70,21.80,7279900,19.03
2012-02-22,21.85,22.15,21.85,21.95,8602600,19.16
2012-02-21,21.90,22.10,21.65,21.95,9720200,19.16
2012-02-20,22.10,22.20,21.90,22.05,12911600,19.25
2012-02-17,21.90,22.10,21.60,21.85,11442000,19.08
2012-02-16,21.70,21.90,21.55,21.75,14774200,18.99
2012-02-15,21.50,21.85,21.35,21.70,17517800,18.95
2012-02-14,21.55,21.60,21.30,21.35,9213100,18.64
2012-02-13,21.70,21.70,21.25,21.50,13410600,18.77
2012-02-10,21.80,21.90,21.35,21.60,17053500,18.86
2012-02-09,21.50,21.80,21.25,21.70,20777300,18.95
2012-02-08,21.00,21.50,20.90,21.50,15077500,18.77
2012-02-07,20.85,21.00,20.75,20.90,14608000,18.25
2012-02-06,20.90,20.95,20.45,20.70,11228400,18.07
2012-02-03,20.65,20.80,20.50,20.60,8492900,17.98
