Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,3.46,3.48,3.44,3.46,89882300,3.12
2012-12-28,3.48,3.48,3.44,3.46,224220300,3.12
2012-12-27,3.45,3.49,3.42,3.44,245719500,3.10
2012-12-26,3.42,3.42,3.42,3.42,000,3.08
2012-12-25,3.42,3.42,3.42,3.42,000,3.08
2012-12-24,3.40,3.44,3.40,3.42,104254200,3.08
2012-12-21,3.47,3.47,3.40,3.41,305456200,3.08
2012-12-20,3.50,3.50,3.42,3.46,275251400,3.12
2012-12-19,3.50,3.51,3.47,3.48,261527400,3.14
2012-12-18,3.47,3.49,3.46,3.49,282176100,3.15
2012-12-17,3.50,3.50,3.45,3.47,280405900,3.13
2012-12-14,3.43,3.46,3.40,3.46,327039200,3.12
2012-12-13,3.43,3.45,3.40,3.42,314094400,3.08
2012-12-12,3.38,3.43,3.38,3.42,449869200,3.08
2012-12-11,3.37,3.39,3.34,3.35,322438600,3.02
2012-12-10,3.35,3.35,3.32,3.34,261907900,3.01
2012-12-07,3.29,3.33,3.28,3.30,403066600,2.98
2012-12-06,3.30,3.32,3.28,3.30,272872800,2.98
2012-12-05,3.26,3.31,3.23,3.30,483662400,2.98
2012-12-04,3.21,3.25,3.17,3.24,267614900,2.92
2012-12-03,3.26,3.29,3.19,3.21,257043600,2.90
2012-11-30,3.24,3.28,3.23,3.27,417770300,2.95
2012-11-29,3.22,3.25,3.21,3.24,211385800,2.92
2012-11-28,3.21,3.21,3.17,3.20,235455900,2.89
2012-11-27,3.25,3.26,3.22,3.22,290093100,2.90
2012-11-26,3.25,3.25,3.22,3.23,252921600,2.91
2012-11-23,3.18,3.23,3.17,3.23,269958100,2.91
2012-11-22,3.18,3.19,3.16,3.18,312186000,2.87
2012-11-21,3.16,3.18,3.11,3.18,299497700,2.87
2012-11-20,3.19,3.19,3.12,3.13,189066100,2.82
2012-11-19,3.14,3.17,3.12,3.15,191853600,2.84
2012-11-16,3.14,3.15,3.11,3.14,230413100,2.83
2012-11-15,3.16,3.16,3.11,3.11,338031200,2.80
2012-11-14,3.11,3.18,3.10,3.18,321767000,2.87
2012-11-13,3.14,3.15,3.09,3.09,275023500,2.79
2012-11-12,3.15,3.16,3.14,3.15,177086000,2.84
2012-11-09,3.15,3.17,3.14,3.15,234928600,2.84
2012-11-08,3.20,3.23,3.16,3.17,396461100,2.86
2012-11-07,3.25,3.26,3.20,3.25,309904000,2.93
2012-11-06,3.25,3.26,3.20,3.23,266967400,2.91
2012-11-05,3.24,3.26,3.22,3.22,224886400,2.90
