Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5.75,5.87,5.75,5.84,26555800,5.31
2012-12-28,5.81,5.82,5.75,5.79,29839100,5.26
2012-12-27,5.74,5.82,5.74,5.76,24645700,5.23
2012-12-26,5.70,5.70,5.70,5.70,000,5.18
2012-12-25,5.70,5.70,5.70,5.70,000,5.18
2012-12-24,5.68,5.78,5.68,5.70,18697700,5.18
2012-12-21,5.78,5.80,5.65,5.68,47893900,5.16
2012-12-20,5.82,5.86,5.78,5.81,35458900,5.28
2012-12-19,5.85,5.88,5.83,5.87,46237800,5.33
2012-12-18,5.81,5.85,5.78,5.82,39603400,5.29
2012-12-17,5.90,5.90,5.75,5.78,52347100,5.25
2012-12-14,5.80,5.85,5.75,5.85,56345000,5.31
2012-12-13,5.80,5.84,5.74,5.75,42716300,5.22
2012-12-12,5.77,5.82,5.73,5.79,58097300,5.26
2012-12-11,5.76,5.83,5.71,5.72,43178500,5.20
2012-12-10,5.77,5.83,5.73,5.75,48555000,5.22
2012-12-07,5.80,5.84,5.72,5.74,40119900,5.21
2012-12-06,5.75,5.79,5.70,5.76,27116600,5.23
2012-12-05,5.51,5.77,5.51,5.75,48698400,5.22
2012-12-04,5.52,5.58,5.46,5.56,23775900,5.05
2012-12-03,5.70,5.70,5.50,5.55,34948200,5.04
2012-11-30,5.60,5.70,5.59,5.68,38350000,5.16
2012-11-29,5.52,5.59,5.51,5.57,27306900,5.06
2012-11-28,5.53,5.53,5.42,5.47,27662300,4.97
2012-11-27,5.63,5.64,5.56,5.57,21663600,5.06
2012-11-26,5.65,5.65,5.55,5.57,21665500,5.06
2012-11-23,5.61,5.64,5.59,5.64,18548400,5.12
2012-11-22,5.57,5.61,5.50,5.58,35720800,5.07
2012-11-21,5.40,5.56,5.36,5.54,27956100,5.03
2012-11-20,5.46,5.47,5.35,5.38,20953700,4.89
2012-11-19,5.38,5.42,5.32,5.41,17270000,4.91
2012-11-16,5.39,5.40,5.29,5.34,24323500,4.85
2012-11-15,5.39,5.42,5.32,5.33,20031300,4.84
2012-11-14,5.41,5.49,5.35,5.48,21207100,4.98
2012-11-13,5.43,5.46,5.30,5.35,40999700,4.86
2012-11-12,5.54,5.54,5.44,5.47,18605700,4.97
2012-11-09,5.47,5.52,5.41,5.46,41007100,4.96
2012-11-08,5.60,5.66,5.51,5.52,30413400,5.01
2012-11-07,5.63,5.70,5.56,5.70,20884100,5.18
2012-11-06,5.64,5.67,5.56,5.61,18211800,5.10
2012-11-05,5.67,5.68,5.62,5.63,22556100,5.11
2012-11-02,5.68,5.70,5.64,5.65,34537800,5.13
2012-11-01,5.53,5.66,5.49,5.63,36801900,5.11
2012-10-31,5.60,5.64,5.47,5.54,76818300,5.03
2012-10-30,5.72,5.75,5.60,5.65,33753400,5.13
2012-10-29,5.74,5.79,5.69,5.72,28124100,5.20
2012-10-26,5.89,5.93,5.69,5.74,23267700,5.21
2012-10-25,5.87,5.91,5.84,5.87,30409300,5.33
2012-10-24,5.90,5.95,5.79,5.90,40929700,5.36
2012-10-23,5.87,5.87,5.87,5.87,000,5.33
2012-10-22,5.76,5.90,5.75,5.87,37793400,5.33
2012-10-19,5.82,5.82,5.79,5.82,21494500,5.29
2012-10-18,5.77,5.84,5.77,5.80,32113200,5.27
2012-10-17,5.78,5.79,5.70,5.75,22525000,5.22
2012-10-16,5.75,5.77,5.68,5.72,25339800,5.20
2012-10-15,5.76,5.76,5.68,5.75,23374400,5.22
2012-10-12,5.70,5.76,5.60,5.70,39463700,5.18
2012-10-11,5.41,5.65,5.39,5.62,57613700,5.11
2012-10-10,5.40,5.45,5.36,5.43,17996900,4.93
2012-10-09,5.35,5.44,5.31,5.43,41732900,4.93
2012-10-08,5.30,5.33,5.25,5.25,11783500,4.77
2012-10-05,5.35,5.38,5.32,5.36,17052400,4.87
2012-10-04,5.31,5.35,5.23,5.33,21300700,4.84
2012-10-03,5.28,5.34,5.23,5.24,20398100,4.76
2012-10-02,5.26,5.26,5.26,5.26,000,4.78
2012-10-01,5.26,5.26,5.26,5.26,000,4.78
2012-09-28,5.24,5.32,5.21,5.26,27710400,4.78
2012-09-27,5.14,5.28,5.14,5.25,28795400,4.77
2012-09-26,5.20,5.20,5.15,5.17,17304400,4.70
2012-09-25,5.26,5.28,5.17,5.22,16635700,4.74
2012-09-24,5.21,5.28,5.18,5.25,14538500,4.77
2012-09-21,5.17,5.30,5.17,5.28,76483400,4.80
2012-09-20,5.29,5.31,5.15,5.17,23970100,4.70
2012-09-19,5.23,5.32,5.18,5.29,31436600,4.81
2012-09-18,5.22,5.25,5.16,5.18,25702200,4.71
2012-09-17,5.15,5.22,5.15,5.21,22788100,4.73
2012-09-14,5.19,5.23,5.17,5.21,55739700,4.73
2012-09-13,5.06,5.11,5.06,5.06,24543600,4.60
2012-09-12,5.15,5.18,5.08,5.13,27674200,4.66
2012-09-11,5.05,5.15,4.99,5.11,26442800,4.64
2012-09-10,5.15,5.19,5.04,5.06,52984600,4.60
2012-09-07,4.95,5.23,4.94,5.18,92898000,4.71
2012-09-06,4.89,4.95,4.84,4.86,29433100,4.41
2012-09-05,5.00,5.00,4.87,4.89,51622100,4.44
2012-09-04,5.02,5.04,4.96,4.99,39094500,4.53
2012-09-03,5.00,5.12,4.98,5.03,86033500,4.57
2012-08-31,5.04,5.13,4.99,5.07,49722200,4.61
2012-08-30,5.08,5.11,4.98,4.99,45912100,4.53
2012-08-29,5.23,5.23,5.15,5.17,22741600,4.70
2012-08-28,5.20,5.26,5.17,5.24,38483600,4.76
2012-08-27,5.20,5.21,5.12,5.15,16235500,4.68
2012-08-24,5.16,5.18,5.14,5.17,12090900,4.70
2012-08-23,5.18,5.24,5.17,5.23,16413200,4.75
2012-08-22,5.17,5.21,5.13,5.15,17743000,4.68
2012-08-21,5.20,5.25,5.18,5.22,13246500,4.74
2012-08-20,5.26,5.27,5.16,5.20,22555700,4.72
2012-08-17,5.31,5.35,5.25,5.29,16723100,4.81
2012-08-16,5.39,5.39,5.28,5.31,13117000,4.82
2012-08-15,5.35,5.39,5.32,5.34,19390000,4.85
2012-08-14,5.30,5.42,5.24,5.40,26843100,4.91
2012-08-13,5.33,5.33,5.20,5.24,13878200,4.76
2012-08-10,5.27,5.34,5.27,5.27,16623600,4.79
2012-08-09,5.27,5.34,5.25,5.33,21469400,4.84
2012-08-08,5.26,5.27,5.20,5.25,14406500,4.77
2012-08-07,5.21,5.25,5.19,5.23,17618700,4.75
2012-08-06,5.25,5.27,5.18,5.22,17469900,4.74
2012-08-03,5.08,5.19,5.06,5.18,14635200,4.71
2012-08-02,5.20,5.20,5.10,5.13,15965200,4.66
2012-08-01,5.10,5.22,5.10,5.20,22005300,4.72
2012-07-31,5.05,5.17,5.05,5.15,28180400,4.68
2012-07-30,5.03,5.11,5.03,5.10,33618300,4.63
2012-07-27,4.89,5.00,4.89,4.99,26699700,4.53
2012-07-26,4.88,4.88,4.81,4.83,13932100,4.39
2012-07-25,4.81,4.89,4.81,4.88,14241900,4.43
2012-07-24,4.89,4.94,4.83,4.84,13770000,4.40
2012-07-23,4.95,4.95,4.84,4.89,17503400,4.44
2012-07-20,5.01,5.04,4.97,5.04,14948400,4.58
