Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,16.82,16.86,16.66,16.82,4647200,16.41
2012-12-28,16.64,16.96,16.54,16.88,12844600,16.47
2012-12-27,16.48,16.60,16.36,16.38,5142500,15.98
2012-12-26,16.38,16.38,16.38,16.38,000,15.98
2012-12-25,16.38,16.38,16.38,16.38,000,15.98
2012-12-24,16.42,16.50,16.30,16.38,9929000,15.98
2012-12-21,16.40,16.46,16.32,16.36,6062300,15.96
2012-12-20,16.60,16.60,16.24,16.50,10984300,16.10
2012-12-19,16.40,16.52,16.24,16.50,10171300,16.10
2012-12-18,16.40,16.40,16.08,16.30,12171000,15.90
2012-12-17,15.86,16.34,15.84,16.20,18801000,15.80
2012-12-14,15.96,16.16,15.80,15.86,13781600,15.47
2012-12-13,16.20,16.46,15.82,15.96,13762700,15.57
2012-12-12,16.34,16.44,16.28,16.30,13894400,15.90
2012-12-11,16.20,16.56,16.20,16.36,19583300,15.96
2012-12-10,16.38,16.62,16.34,16.46,17800400,16.06
2012-12-07,16.74,16.74,16.10,16.16,6255100,15.77
2012-12-06,16.88,16.88,16.36,16.50,9558600,16.10
2012-12-05,15.74,16.50,15.56,16.48,14675300,16.08
2012-12-04,15.90,16.04,15.72,15.94,11145000,15.55
2012-12-03,16.30,16.82,16.10,16.20,11602300,15.80
2012-11-30,16.14,16.42,16.12,16.28,19907300,15.88
2012-11-29,16.20,16.42,15.90,16.24,17155600,15.84
2012-11-28,15.80,15.88,15.54,15.86,11540700,15.47
2012-11-27,16.36,16.46,15.72,15.82,28425600,15.43
2012-11-26,15.88,16.46,15.82,16.18,32941500,15.79
2012-11-23,15.10,15.74,15.10,15.70,26691800,15.32
2012-11-22,14.98,15.22,14.90,15.14,19968100,14.77
2012-11-21,14.46,14.94,14.46,14.90,20577300,14.54
2012-11-20,14.80,14.96,14.56,14.62,13644300,14.26
2012-11-19,14.50,14.90,14.50,14.80,10924200,14.44
2012-11-16,14.80,14.80,14.52,14.58,8407500,14.22
2012-11-15,14.16,14.70,14.16,14.36,7363300,14.01
2012-11-14,14.50,14.66,14.38,14.44,6218200,14.09
2012-11-13,14.60,14.66,14.32,14.58,11351200,14.22
2012-11-12,14.00,14.64,14.00,14.40,13158700,14.05
2012-11-09,13.96,14.38,13.96,14.06,15357000,13.72
2012-11-08,14.58,14.64,14.06,14.18,15715100,13.83
2012-11-07,14.60,14.72,14.42,14.72,8999300,14.36
2012-11-06,14.80,14.86,14.36,14.52,13968500,14.17
2012-11-05,14.92,14.92,14.66,14.78,7268900,14.42
2012-11-02,14.80,14.98,14.76,14.90,7975900,14.54
2012-11-01,14.24,14.88,14.24,14.82,16231200,14.46
2012-10-31,14.46,14.52,14.38,14.44,14282500,14.09
2012-10-30,14.38,14.44,14.10,14.30,4955100,13.95
2012-10-29,13.96,14.18,13.92,14.12,6059400,13.78
2012-10-26,14.36,14.44,14.02,14.08,8555700,13.74
2012-10-25,14.34,14.42,14.18,14.30,7793200,13.95
2012-10-24,14.30,14.52,14.30,14.48,11533400,14.13
2012-10-23,14.50,14.50,14.50,14.50,000,14.15
2012-10-22,14.30,14.50,14.30,14.50,7192500,14.15
2012-10-19,14.38,14.50,14.24,14.50,17145400,14.15
2012-10-18,13.90,14.22,13.90,14.20,20634900,13.85
2012-10-17,13.90,13.94,13.74,13.90,23031900,13.56
2012-10-16,13.66,13.74,13.28,13.62,13578800,13.29
2012-10-15,13.82,13.88,13.48,13.50,28022700,13.17
2012-10-12,14.10,14.20,14.02,14.10,9939000,13.76
2012-10-11,13.70,14.04,13.66,14.02,16712700,13.68
2012-10-10,14.06,14.08,13.64,13.72,21744000,13.39
2012-10-09,14.50,14.58,14.00,14.02,15093100,13.68
2012-10-08,14.64,14.66,14.46,14.54,12935800,14.19
2012-10-05,14.50,14.60,14.24,14.50,9735400,14.15
2012-10-04,14.04,14.46,14.04,14.38,8771400,14.03
2012-10-03,14.46,14.46,13.92,14.02,12484800,13.68
2012-10-02,14.04,14.04,14.04,14.04,000,13.70
2012-10-01,14.04,14.04,14.04,14.04,000,13.70
2012-09-28,14.20,14.22,13.96,14.04,10948300,13.70
2012-09-27,13.80,14.26,13.74,14.14,12547400,13.80
2012-09-26,13.86,14.00,13.78,13.82,8832800,13.48
2012-09-25,14.00,14.22,13.86,14.10,8385200,13.76
2012-09-24,14.30,14.30,14.00,14.12,9311800,13.78
2012-09-21,13.86,14.30,13.86,14.18,13904400,13.76
2012-09-20,14.02,14.14,13.80,13.84,13669200,13.43
2012-09-19,14.00,14.30,14.00,14.14,14680600,13.72
2012-09-18,14.36,14.70,13.98,14.04,21117200,13.62
2012-09-17,14.38,14.56,14.38,14.44,19230700,14.01
2012-09-14,14.28,14.62,14.20,14.50,28008100,14.07
2012-09-13,14.38,14.40,14.00,14.02,12628400,13.60
2012-09-12,14.60,14.72,14.50,14.60,6656400,14.16
2012-09-11,14.30,14.72,14.10,14.58,11237000,14.14
2012-09-10,14.64,14.80,14.42,14.60,10483200,14.16
2012-09-07,14.22,14.52,13.98,14.40,13150800,13.97
2012-09-06,13.50,13.76,13.50,13.68,5096600,13.27
2012-09-05,13.60,13.60,13.36,13.50,13106500,13.10
2012-09-04,14.04,14.04,13.68,13.78,7140000,13.37
2012-09-03,13.92,14.14,13.64,14.02,8133500,13.60
2012-08-31,14.30,14.54,13.78,14.00,14434500,13.58
2012-08-30,14.72,14.72,14.26,14.40,7988000,13.97
2012-08-29,14.60,14.80,14.58,14.70,10522900,14.26
2012-08-28,14.68,14.86,14.56,14.72,11561200,14.28
2012-08-27,14.44,14.66,14.40,14.60,6759600,14.16
2012-08-24,14.48,14.56,14.22,14.40,13654900,13.97
2012-08-23,14.38,14.66,14.26,14.42,19036000,13.99
2012-08-22,14.92,14.94,13.96,14.18,21499900,13.76
2012-08-21,15.06,15.06,14.70,14.86,8860000,14.42
2012-08-20,15.00,15.08,14.78,14.94,6985300,14.49
2012-08-17,14.78,15.10,14.70,14.82,19322200,14.38
2012-08-16,14.64,14.64,14.28,14.50,15158500,14.07
2012-08-15,14.36,14.62,14.10,14.22,8868300,13.79
2012-08-14,14.80,14.80,14.10,14.56,10910800,14.12
2012-08-13,14.80,14.86,14.32,14.40,9990400,13.97
2012-08-10,14.46,14.88,14.46,14.78,11482900,14.34
2012-08-09,14.96,14.96,14.50,14.64,8213500,14.20
2012-08-08,14.96,14.96,14.46,14.60,12979600,14.16
2012-08-07,14.80,15.00,14.62,14.98,20928500,14.53
2012-08-06,14.34,14.80,14.14,14.72,22677000,14.28
2012-08-03,13.74,13.96,13.62,13.90,10237900,13.48
2012-08-02,14.26,14.26,14.00,14.04,11837100,13.62
