Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,11.20,11.60,11.18,11.56,11481100,10.90
2012-12-28,10.90,11.36,10.86,11.28,16775400,10.64
2012-12-27,10.82,10.94,10.76,10.82,4453900,10.20
2012-12-26,10.74,10.74,10.74,10.74,000,10.13
2012-12-25,10.74,10.74,10.74,10.74,000,10.13
2012-12-24,10.70,10.82,10.70,10.74,1008500,10.13
2012-12-21,10.74,10.82,10.70,10.72,5325700,10.11
2012-12-20,10.76,10.84,10.70,10.82,3846300,10.20
2012-12-19,10.70,10.88,10.70,10.84,6426800,10.22
2012-12-18,10.80,10.82,10.70,10.78,7052200,10.17
2012-12-17,10.64,10.82,10.60,10.68,7972100,10.07
2012-12-14,10.62,10.86,10.46,10.78,7043400,10.17
2012-12-13,10.94,11.08,10.54,10.66,14309000,10.05
2012-12-12,10.72,10.98,10.70,10.94,20854200,10.32
2012-12-11,10.36,10.72,10.30,10.60,23655100,10.00
2012-12-10,9.91,10.26,9.91,10.20,10895400,9.62
2012-12-07,9.99,10.10,9.88,10.00,20401300,9.43
2012-12-06,9.93,10.00,9.89,9.95,7436900,9.38
2012-12-05,9.78,9.98,9.78,9.97,8401400,9.40
2012-12-04,9.75,9.84,9.75,9.84,2671500,9.28
2012-12-03,9.80,9.88,9.73,9.79,4190300,9.23
2012-11-30,9.81,9.89,9.73,9.79,6289400,9.23
2012-11-29,9.79,9.90,9.78,9.81,3721000,9.25
2012-11-28,9.82,9.85,9.71,9.76,3432800,9.21
2012-11-27,9.89,9.95,9.83,9.88,4742600,9.32
2012-11-26,9.91,9.93,9.81,9.87,3673400,9.31
2012-11-23,9.79,9.88,9.77,9.85,7747300,9.29
2012-11-22,9.56,9.70,9.53,9.69,5026300,9.14
2012-11-21,9.51,9.59,9.28,9.55,12135100,9.01
2012-11-20,10.08,10.16,9.41,9.50,25000800,8.96
2012-11-19,9.86,9.99,9.86,9.93,2730800,9.37
2012-11-16,9.94,9.95,9.87,9.92,3031200,9.36
2012-11-15,9.77,9.91,9.77,9.87,2756800,9.31
2012-11-14,9.91,9.96,9.86,9.91,2919700,9.35
2012-11-13,10.00,10.00,9.73,9.82,7207900,9.26
2012-11-12,9.92,10.16,9.90,9.96,10105400,9.39
2012-11-09,9.95,9.95,9.82,9.86,6186900,9.30
2012-11-08,10.00,10.06,9.92,9.98,6810100,9.41
2012-11-07,10.16,10.20,10.00,10.14,7006200,9.56
2012-11-06,10.14,10.20,9.97,10.12,6649100,9.54
2012-11-05,10.20,10.28,10.08,10.14,9257900,9.56
2012-11-02,10.12,10.20,10.04,10.16,9931800,9.58
2012-11-01,9.90,10.04,9.75,9.97,8769400,9.40
2012-10-31,9.74,9.88,9.70,9.88,5119300,9.32
2012-10-30,9.79,9.79,9.57,9.64,4300000,9.09
2012-10-29,9.80,9.93,9.69,9.71,6760600,9.16
2012-10-26,10.22,10.28,9.79,9.80,13598500,9.24
2012-10-25,10.22,10.38,10.12,10.22,9556100,9.64
2012-10-24,10.10,10.30,10.02,10.16,9767000,9.58
2012-10-23,10.12,10.12,10.12,10.12,000,9.54
2012-10-22,10.00,10.24,9.96,10.12,6468900,9.54
2012-10-19,10.22,10.36,10.04,10.10,14777900,9.53
2012-10-18,9.78,10.46,9.75,10.08,23029400,9.51
2012-10-17,9.68,9.74,9.68,9.72,6055300,9.17
2012-10-16,9.64,9.65,9.54,9.62,2823900,9.07
2012-10-15,9.61,9.66,9.52,9.58,3631300,9.04
2012-10-12,9.51,9.67,9.50,9.61,7203900,9.06
2012-10-11,9.35,9.54,9.34,9.48,2558800,8.94
2012-10-10,9.39,9.47,9.28,9.42,6231400,8.88
2012-10-09,9.50,9.67,9.36,9.39,7272500,8.86
2012-10-08,9.71,9.73,9.38,9.39,7047800,8.86
2012-10-05,9.26,9.66,9.19,9.66,10247400,9.11
2012-10-04,9.24,9.28,9.16,9.18,5127100,8.66
