Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,16.78,16.86,16.68,16.78,12627400,15.50
2012-12-28,16.78,16.88,16.70,16.84,24987300,15.56
2012-12-27,16.78,16.80,16.66,16.74,33238800,15.47
2012-12-26,16.76,16.76,16.76,16.76,000,15.48
2012-12-25,16.76,16.76,16.76,16.76,000,15.48
2012-12-24,16.58,16.80,16.58,16.76,14862300,15.48
2012-12-21,16.58,16.80,16.50,16.78,47585900,15.50
2012-12-20,16.64,16.88,16.64,16.84,36659300,15.56
2012-12-19,16.76,16.90,16.62,16.84,42117800,15.56
2012-12-18,16.58,16.70,16.48,16.66,38016800,15.39
2012-12-17,16.64,16.78,16.52,16.58,49245000,15.32
2012-12-14,16.70,16.90,16.68,16.88,44409100,15.59
2012-12-13,17.00,17.00,16.72,16.80,38222100,15.52
2012-12-12,16.96,16.96,16.76,16.88,35944700,15.59
2012-12-11,16.90,16.94,16.62,16.82,40280400,15.54
2012-12-10,16.90,16.96,16.70,16.78,49268900,15.50
2012-12-07,16.58,16.74,16.46,16.60,49851300,15.34
2012-12-06,16.74,16.76,16.44,16.62,53199600,15.35
2012-12-05,16.30,16.80,16.26,16.74,52855700,15.47
2012-12-04,16.56,16.56,16.32,16.46,28629700,15.21
2012-12-03,16.52,16.74,16.22,16.38,32883300,15.13
2012-11-30,16.38,16.64,16.36,16.58,54221300,15.32
2012-11-29,16.10,16.44,16.08,16.38,39037200,15.13
2012-11-28,16.22,16.24,16.00,16.14,39094600,14.91
2012-11-27,16.60,16.64,16.34,16.42,32692200,15.17
2012-11-26,16.64,16.64,16.32,16.50,19565900,15.24
2012-11-23,16.22,16.58,16.22,16.54,36865800,15.28
2012-11-22,16.18,16.40,16.10,16.36,29350800,15.11
2012-11-21,16.06,16.36,15.98,16.28,31148800,15.04
2012-11-20,16.24,16.40,16.14,16.22,49565600,14.99
2012-11-19,16.18,16.26,16.02,16.02,34283800,14.80
2012-11-16,15.96,16.00,15.84,15.98,33843800,14.76
2012-11-15,15.80,16.06,15.72,15.74,37095300,14.54
2012-11-14,15.70,16.08,15.70,16.06,29062600,14.84
2012-11-13,15.88,16.06,15.74,15.84,43210100,14.63
2012-11-12,15.92,16.08,15.92,15.98,21722800,14.76
2012-11-09,15.88,16.04,15.80,15.96,46465000,14.75
2012-11-08,16.30,16.36,16.00,16.08,42359000,14.86
2012-11-07,16.50,16.62,16.32,16.58,39411400,15.32
2012-11-06,16.48,16.48,16.28,16.44,29071300,15.19
2012-11-05,16.18,16.34,16.14,16.28,22543000,15.04
2012-11-02,16.30,16.42,16.18,16.34,39349100,15.10
2012-11-01,15.78,16.18,15.74,16.14,55030800,14.91
2012-10-31,15.96,16.16,15.96,16.10,36573600,14.87
2012-10-30,16.18,16.26,15.90,16.02,39887500,14.80
2012-10-29,15.94,16.18,15.92,16.14,35235800,14.91
2012-10-26,16.18,16.26,16.04,16.08,49365300,14.86
2012-10-25,16.32,16.50,16.18,16.26,63071200,15.02
2012-10-24,15.90,16.20,15.90,16.04,56291000,14.82
2012-10-23,16.32,16.32,16.32,16.32,000,15.08
2012-10-22,16.00,16.36,15.98,16.32,46287600,15.08
2012-10-19,16.08,16.38,15.98,16.24,69127500,15.00
2012-10-18,16.10,16.18,15.96,15.98,49018200,14.76
2012-10-17,16.00,16.12,15.90,16.00,34080800,14.78
2012-10-16,15.72,15.96,15.70,15.94,37822500,14.73
2012-10-15,15.82,15.98,15.72,15.78,39022000,14.58
2012-10-12,15.86,15.98,15.78,15.88,44649800,14.67
2012-10-11,15.58,15.78,15.50,15.76,43719400,14.56
2012-10-10,15.58,15.70,15.46,15.56,46239100,14.38
2012-10-09,15.50,15.76,15.44,15.46,42668000,14.28
2012-10-08,15.42,15.54,15.30,15.36,48763000,14.19
2012-10-05,15.76,15.78,15.54,15.58,57197000,14.39
2012-10-04,15.60,15.70,15.52,15.58,53044500,14.39
2012-10-03,15.70,16.04,15.70,15.84,41555600,14.63
2012-10-02,15.90,15.90,15.90,15.90,000,14.69
2012-10-01,15.90,15.90,15.90,15.90,000,14.69
2012-09-28,15.82,16.02,15.76,15.90,44961100,14.69
2012-09-27,15.46,16.02,15.46,15.88,64140800,14.67
2012-09-26,15.46,15.62,15.44,15.56,40699000,14.38
2012-09-25,15.68,15.74,15.58,15.68,31691700,14.49
2012-09-24,15.70,15.78,15.52,15.66,32550300,14.47
2012-09-21,15.68,15.96,15.64,15.74,53803400,14.54
2012-09-20,15.90,15.90,15.54,15.64,90900400,14.45
2012-09-19,15.92,16.24,15.78,16.20,75992700,14.97
2012-09-18,15.92,16.14,15.76,16.02,76053100,14.80
2012-09-17,15.90,16.34,15.86,16.24,128128800,15.00
2012-09-14,15.38,15.84,15.30,15.66,109085600,14.47
2012-09-13,15.00,15.06,14.90,14.94,34561800,13.80
2012-09-12,14.82,15.02,14.82,14.90,47917800,13.77
2012-09-11,14.28,14.84,14.26,14.70,81682600,13.58
2012-09-10,14.46,14.60,14.24,14.34,55590900,13.25
2012-09-07,14.46,14.52,14.28,14.38,83670000,13.29
2012-09-06,14.10,14.26,14.02,14.16,52155800,13.08
2012-09-05,14.62,14.62,14.20,14.26,68366100,13.04
2012-09-04,14.72,14.86,14.58,14.62,26833600,13.36
2012-09-03,14.56,14.84,14.56,14.70,29954000,13.44
2012-08-31,14.58,14.78,14.58,14.68,36188100,13.42
2012-08-30,14.72,14.88,14.62,14.74,54109500,13.47
2012-08-29,14.80,14.92,14.78,14.80,37833400,13.53
2012-08-28,14.68,14.88,14.64,14.84,38775000,13.57
2012-08-27,14.72,14.80,14.66,14.74,42170500,13.47
2012-08-24,14.82,14.88,14.70,14.80,54016500,13.53
2012-08-23,14.84,15.00,14.80,14.96,93601400,13.68
2012-08-22,14.76,14.86,14.66,14.84,79893400,13.57
2012-08-21,15.58,15.62,14.70,15.10,126757100,13.80
2012-08-20,15.58,15.60,15.40,15.56,34044700,14.22
2012-08-17,15.52,15.74,15.50,15.58,53496800,14.24
2012-08-16,15.50,15.52,15.20,15.28,39001500,13.97
2012-08-15,15.38,15.50,15.24,15.36,59573500,14.04
2012-08-14,15.86,15.86,15.40,15.58,90131800,14.24
2012-08-13,16.00,16.00,15.64,15.72,26456300,14.37
2012-08-10,16.02,16.04,15.66,15.84,48415200,14.48
2012-08-09,15.88,16.06,15.82,16.00,30263500,14.63
