Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,14.06,14.30,14.06,14.22,947500,13.82
2012-12-28,14.34,14.34,14.14,14.16,1442000,13.76
2012-12-27,14.22,14.36,14.14,14.28,2869000,13.88
2012-12-26,14.22,14.22,14.22,14.22,000,13.82
2012-12-25,14.22,14.22,14.22,14.22,000,13.82
2012-12-24,14.10,14.38,14.00,14.22,1779200,13.82
2012-12-21,14.10,14.10,13.88,14.02,2481500,13.63
2012-12-20,14.04,14.10,14.00,14.08,2108100,13.69
2012-12-19,13.90,14.18,13.88,14.12,3040800,13.72
2012-12-18,14.00,14.10,13.84,13.88,1755900,13.49
2012-12-17,13.78,14.26,13.78,13.98,4649100,13.59
2012-12-14,13.64,13.88,13.62,13.86,2414500,13.47
2012-12-13,13.46,13.80,13.46,13.72,7322100,13.34
2012-12-12,13.36,13.60,13.36,13.54,3425700,13.16
2012-12-11,13.42,13.58,13.30,13.32,3662000,12.95
2012-12-10,13.60,13.66,13.42,13.58,2975300,13.20
2012-12-07,13.48,13.78,13.48,13.64,5848000,13.26
2012-12-06,13.48,13.70,13.46,13.70,5176300,13.32
2012-12-05,13.00,13.52,13.00,13.50,2684800,13.12
2012-12-04,13.28,13.36,13.22,13.26,2728800,12.89
2012-12-03,13.54,13.62,13.36,13.40,4073800,13.02
2012-11-30,13.80,13.86,13.62,13.62,3706900,13.24
2012-11-29,13.76,13.92,13.74,13.78,20617000,13.39
2012-11-28,13.84,14.02,13.82,13.92,3283900,13.53
2012-11-27,13.88,13.94,13.76,13.86,1886700,13.47
2012-11-26,13.76,13.86,13.60,13.76,2880200,13.37
2012-11-23,14.00,14.10,13.88,13.88,2920400,13.49
2012-11-22,13.94,14.00,13.84,13.96,4599500,13.57
2012-11-21,13.96,13.96,13.68,13.86,2669000,13.47
2012-11-20,13.76,13.92,13.62,13.68,3988400,13.30
2012-11-19,13.52,13.72,13.52,13.62,1998700,13.24
2012-11-16,13.44,13.68,13.44,13.56,4038100,13.18
2012-11-15,13.48,13.66,13.44,13.52,1859100,13.14
2012-11-14,13.78,13.78,13.54,13.58,1267600,13.20
2012-11-13,13.80,13.88,13.54,13.62,3213700,13.24
2012-11-12,13.70,13.98,13.70,13.86,1279100,13.47
2012-11-09,13.96,13.96,13.36,13.66,4058100,13.28
2012-11-08,14.20,14.20,13.94,13.94,3271300,13.55
2012-11-07,14.16,14.44,14.10,14.32,2671000,13.92
2012-11-06,14.26,14.40,14.04,14.14,3081400,13.74
2012-11-05,14.50,14.50,14.22,14.26,1724400,13.86
2012-11-02,14.62,14.64,14.42,14.54,5869900,14.13
2012-11-01,14.00,14.44,13.98,14.42,5250500,14.02
2012-10-31,13.80,14.08,13.80,14.04,3852100,13.65
2012-10-30,13.84,13.92,13.72,13.80,2915100,13.41
2012-10-29,13.72,13.98,13.72,13.84,4395800,13.45
2012-10-26,13.72,13.96,13.62,13.78,3028900,13.39
2012-10-25,13.74,13.98,13.74,13.92,5959600,13.53
2012-10-24,13.46,13.78,13.46,13.74,2842300,13.35
2012-10-23,13.78,13.78,13.78,13.78,000,13.39
2012-10-22,13.62,13.80,13.60,13.78,3140200,13.39
2012-10-19,13.48,13.74,13.44,13.74,2333300,13.35
2012-10-18,13.68,13.70,13.42,13.52,2514100,13.14
2012-10-17,13.50,13.70,13.44,13.68,4338600,13.30
2012-10-16,13.50,13.50,13.32,13.46,1723200,13.08
2012-10-15,13.32,13.50,13.28,13.42,2107200,13.04
2012-10-12,13.10,13.40,13.06,13.36,4617800,12.99
2012-10-11,13.02,13.18,13.02,13.06,2198200,12.69
2012-10-10,13.08,13.28,13.06,13.18,3365000,12.81
2012-10-09,13.24,13.28,13.14,13.22,2461200,12.85
2012-10-08,13.12,13.26,12.92,13.22,4319900,12.85
2012-10-05,12.98,13.16,12.96,13.12,5507800,12.75
2012-10-04,13.10,13.12,12.94,12.98,3342500,12.62
2012-10-03,13.12,13.12,12.96,13.00,8798300,12.64
2012-10-02,12.62,12.62,12.62,12.62,000,12.27
2012-10-01,12.62,12.62,12.62,12.62,000,12.27
2012-09-28,12.92,12.92,12.60,12.62,4443800,12.27
2012-09-27,12.70,12.94,12.70,12.82,2198900,12.46
2012-09-26,12.94,12.94,12.76,12.78,1652400,12.42
2012-09-25,12.78,13.00,12.78,12.94,1266000,12.58
2012-09-24,12.90,13.00,12.84,12.92,2789700,12.56
2012-09-21,13.08,13.08,12.94,13.00,2512400,12.64
2012-09-20,12.96,13.12,12.96,13.06,6106300,12.69
2012-09-19,12.98,13.12,12.92,12.96,5328100,12.60
2012-09-18,12.90,13.14,12.90,13.12,5528600,12.75
2012-09-17,12.80,12.90,12.80,12.88,6396200,12.52
2012-09-14,12.80,12.82,12.60,12.74,13313000,12.38
2012-09-13,12.64,12.70,12.54,12.64,8079500,12.29
2012-09-12,12.64,12.70,12.62,12.64,4712600,12.29
2012-09-11,12.50,12.62,12.40,12.58,3990500,12.23
2012-09-10,12.60,12.60,12.42,12.52,2766400,12.17
2012-09-07,12.32,12.54,12.32,12.50,4250600,12.15
2012-09-06,12.10,12.28,12.10,12.16,5860000,11.82
2012-09-05,12.26,12.42,12.02,12.10,11675200,11.76
2012-09-04,12.48,12.66,12.38,12.40,4200800,12.05
2012-09-03,12.60,12.62,12.40,12.48,6189500,12.13
2012-08-31,12.62,12.84,12.52,12.64,2775700,12.29
2012-08-30,12.60,12.72,12.50,12.62,2937500,12.27
2012-08-29,12.90,12.90,12.52,12.62,3224500,12.27
2012-08-28,12.80,12.88,12.68,12.80,2229300,12.44
2012-08-27,12.98,13.00,12.80,12.94,4764500,12.58
2012-08-24,13.02,13.04,12.88,12.96,20033900,12.60
2012-08-23,13.18,13.20,12.96,13.02,5800800,12.66
2012-08-22,13.10,13.10,12.92,13.04,5741300,12.67
2012-08-21,13.16,13.16,12.94,13.00,1843600,12.64
2012-08-20,13.20,13.20,13.00,13.10,1340300,12.73
2012-08-17,13.02,13.06,12.96,13.02,5399300,12.66
2012-08-16,13.00,13.08,12.84,13.06,6940300,12.69
2012-08-15,13.04,13.04,12.72,12.80,4566900,12.44
2012-08-14,12.92,13.00,12.90,12.98,4514100,12.62
2012-08-13,12.94,12.94,12.78,12.82,3749100,12.46
2012-08-10,12.80,12.88,12.60,12.72,3732600,12.36
2012-08-09,12.32,13.02,12.20,12.84,12007300,12.48
2012-08-08,13.00,13.00,11.92,12.36,11847600,12.01
2012-08-07,13.00,13.00,12.88,12.92,5001500,12.56
2012-08-06,12.86,12.98,12.80,12.92,1917800,12.56
2012-08-03,12.84,12.84,12.62,12.66,1729600,12.31
2012-08-02,12.80,12.98,12.80,12.86,2094000,12.50
2012-08-01,12.98,13.00,12.82,12.84,2390200,12.48
2012-07-31,12.92,13.00,12.82,12.84,3734300,12.48
2012-07-30,13.04,13.06,12.90,12.98,2100900,12.62
2012-07-27,12.86,12.90,12.68,12.88,1173700,12.52
2012-07-26,12.58,12.74,12.52,12.68,2026800,12.32
2012-07-25,12.56,12.60,12.48,12.58,2707400,12.23
2012-07-24,12.66,13.00,12.60,12.70,2722400,12.34
2012-07-23,12.98,12.98,12.80,12.84,1988100,12.48
2012-07-20,13.28,13.30,12.94,13.04,3250300,12.67
2012-07-19,13.06,13.28,13.06,13.26,4452200,12.89
2012-07-18,13.16,13.20,13.08,13.16,4404300,12.79
2012-07-17,12.82,13.22,12.82,13.16,3411100,12.79
2012-07-16,12.90,12.94,12.68,12.80,3351200,12.44
2012-07-13,12.76,12.96,12.66,12.96,3090700,12.60
2012-07-12,12.96,12.96,12.62,12.66,1754100,12.31
2012-07-11,12.80,13.06,12.74,12.84,2178500,12.48
2012-07-10,12.98,13.04,12.72,12.72,3761900,12.36
2012-07-09,13.10,13.22,12.82,12.98,2476200,12.62
2012-07-06,13.12,13.28,13.00,13.26,5228500,12.89
2012-07-05,12.68,13.16,12.62,12.92,4551800,12.56
2012-07-04,12.58,12.68,12.50,12.60,1978800,12.25
2012-07-03,12.50,12.66,12.22,12.54,2506200,12.19
2012-07-02,12.46,12.46,12.46,12.46,000,12.11
2012-06-29,12.12,12.52,12.12,12.46,4367800,12.11
2012-06-28,12.34,12.42,12.12,12.14,2707000,11.80
2012-06-27,12.26,12.58,12.26,12.32,2044200,11.97
2012-06-26,12.06,12.28,12.06,12.26,2590500,11.92
2012-06-25,12.30,12.36,12.20,12.28,2510900,11.94
2012-06-22,12.36,12.60,12.32,12.46,2827900,12.11
2012-06-21,12.58,12.66,12.44,12.48,3014300,12.13
2012-06-20,12.46,12.56,12.44,12.56,2780000,12.21
2012-06-19,12.50,12.50,12.38,12.44,2860900,12.09
2012-06-18,12.20,12.48,12.20,12.40,3100900,12.05
2012-06-15,11.98,12.20,11.88,12.10,5636900,11.76
2012-06-14,12.10,12.18,11.90,11.90,4139000,11.57
2012-06-13,12.28,12.40,12.10,12.22,4302800,11.88
2012-06-12,12.20,12.28,12.16,12.28,1255600,11.94
2012-06-11,12.24,12.36,12.24,12.30,2655500,11.96
2012-06-08,12.14,12.28,12.04,12.16,2668000,11.82
2012-06-07,12.20,12.38,12.14,12.16,2914300,11.82
2012-06-06,12.24,12.24,12.10,12.16,2174400,11.82
2012-06-05,12.26,12.30,12.12,12.20,6248600,11.86
2012-06-04,12.32,12.36,12.14,12.32,5128300,11.97
2012-06-01,12.08,12.52,12.04,12.48,7795000,12.13
2012-05-31,11.82,12.08,11.80,11.98,7044300,11.64
2012-05-30,12.26,12.26,11.96,11.98,5689200,11.64
2012-05-29,12.00,12.30,11.92,12.26,3987100,11.92
2012-05-28,11.96,12.10,11.88,12.02,1937700,11.68
2012-05-25,11.98,12.18,11.88,12.08,3292300,11.74
2012-05-24,11.90,12.06,11.90,11.98,2178800,11.64
2012-05-23,12.10,12.22,11.86,12.06,5493600,11.72
2012-05-22,12.28,12.40,12.20,12.30,5730100,11.96
2012-05-21,12.40,12.40,12.06,12.34,5979700,11.99
2012-05-18,11.82,12.42,11.76,12.40,13911200,12.05
2012-05-17,12.40,12.80,12.02,12.38,9291400,12.03
2012-05-16,12.26,12.46,11.80,12.06,9137500,11.72
2012-05-15,12.42,12.46,12.26,12.36,5653000,12.01
2012-05-14,12.54,12.62,12.34,12.40,6776200,12.05
2012-05-11,12.40,12.74,12.28,12.66,5577000,12.31
2012-05-10,13.22,13.22,12.50,12.52,15553600,12.17
2012-05-09,13.20,13.42,13.16,13.36,5479100,12.99
2012-05-08,13.16,13.40,13.16,13.30,3636100,12.93
2012-05-07,13.20,13.34,13.18,13.18,4968600,12.81
2012-05-04,13.16,13.48,13.12,13.40,5806000,13.02
2012-05-03,13.38,13.42,13.00,13.12,6308100,12.75
2012-05-02,13.38,13.50,13.30,13.38,5603900,13.00
2012-05-01,13.16,13.16,13.16,13.16,000,12.79
2012-04-30,13.16,13.26,13.10,13.16,2479000,12.79
2012-04-27,13.36,13.36,13.02,13.14,4117200,12.77
2012-04-26,13.04,13.22,12.94,13.16,5165500,12.79
2012-04-25,13.00,13.04,12.90,12.92,4700400,12.56
2012-04-24,13.04,13.22,13.00,13.04,4713700,12.67
2012-04-23,13.14,13.20,13.04,13.04,5066500,12.67
2012-04-20,13.44,13.44,13.18,13.22,5972400,12.85
2012-04-19,13.18,13.46,13.16,13.44,5339400,13.06
2012-04-18,13.48,13.54,13.26,13.32,5083300,12.95
2012-04-17,13.38,13.52,13.30,13.44,4957900,13.06
2012-04-16,13.46,13.50,13.30,13.38,3018800,13.00
2012-04-13,13.34,13.66,13.32,13.62,5161500,13.24
2012-04-12,13.30,13.38,13.12,13.22,9077900,12.85
2012-04-11,13.60,13.70,13.34,13.44,6551100,13.06
2012-04-10,14.00,14.00,13.68,13.80,5443500,13.41
2012-04-09,13.70,13.70,13.70,13.70,000,13.32
2012-04-06,13.70,13.70,13.70,13.70,000,13.32
2012-04-05,13.84,13.84,13.64,13.70,7873200,13.32
2012-04-04,13.82,13.82,13.82,13.82,000,13.43
2012-04-03,13.80,14.02,13.72,13.82,9882500,13.43
2012-04-02,14.10,14.34,13.90,13.98,11333700,13.59
2012-03-30,14.58,14.64,14.36,14.38,17829300,13.65
2012-03-29,14.82,14.82,14.72,14.76,7938000,14.01
2012-03-28,15.08,15.08,14.78,14.82,5355200,14.06
2012-03-27,14.80,15.06,14.76,14.94,8248300,14.18
2012-03-26,15.14,15.14,14.62,14.84,6882000,14.08
2012-03-23,15.24,15.24,14.92,15.00,4260500,14.23
2012-03-22,15.20,15.28,15.04,15.14,4124700,14.37
2012-03-21,15.14,15.20,15.02,15.06,6702000,14.29
2012-03-20,15.26,15.46,15.10,15.22,4721600,14.44
2012-03-19,15.60,15.62,15.20,15.30,5166400,14.52
2012-03-16,15.16,15.58,15.16,15.52,7534300,14.73
2012-03-15,15.26,15.30,15.02,15.26,7364000,14.48
2012-03-14,15.90,16.00,14.98,15.14,17068300,14.37
2012-03-13,15.60,15.66,15.52,15.58,6433700,14.79
2012-03-12,15.20,15.50,15.20,15.38,6315000,14.60
2012-03-09,15.04,15.24,15.02,15.16,3612000,14.39
2012-03-08,15.08,15.20,15.00,15.06,5682500,14.29
2012-03-07,15.02,15.10,14.90,15.06,6556600,14.29
2012-03-06,15.36,15.42,15.08,15.10,6505400,14.33
2012-03-05,15.40,15.48,15.04,15.12,5813500,14.35
2012-03-02,15.56,15.56,15.32,15.48,6358300,14.69
2012-03-01,15.30,15.52,15.02,15.14,6302000,14.37
2012-02-29,15.02,15.50,15.00,15.40,9600900,14.61
2012-02-28,14.38,14.88,14.30,14.88,9348400,14.12
2012-02-27,14.62,14.80,14.02,14.08,13798600,13.36
2012-02-24,15.20,15.20,14.68,14.72,9237300,13.97
2012-02-23,15.22,15.24,14.80,14.86,11454500,14.10
2012-02-22,15.24,15.32,15.08,15.28,6783900,14.50
2012-02-21,15.56,15.56,15.16,15.26,10404800,14.48
2012-02-20,16.38,16.38,15.50,15.56,6601500,14.77
2012-02-17,15.70,15.96,15.62,15.94,5100300,15.13
2012-02-16,15.40,15.70,15.40,15.66,2598900,14.86
2012-02-15,15.70,15.92,15.44,15.72,7050000,14.92
2012-02-14,15.54,15.78,15.20,15.72,5023400,14.92
2012-02-13,15.80,15.80,15.48,15.52,2560200,14.73
2012-02-10,15.80,15.80,15.60,15.72,2298200,14.92
2012-02-09,15.56,15.90,15.56,15.88,3738400,15.07
2012-02-08,15.86,15.88,15.66,15.84,8603400,15.03
2012-02-07,15.64,15.84,15.44,15.76,5689600,14.96
2012-02-06,15.36,15.70,15.36,15.68,3857100,14.88
2012-02-03,15.76,15.76,15.28,15.32,4123600,14.54
2012-02-02,15.82,15.82,15.42,15.48,5694700,14.69
2012-02-01,15.10,15.64,15.10,15.28,7459100,14.50
2012-01-31,15.60,15.60,15.20,15.36,9139600,14.58
2012-01-30,14.86,15.38,14.72,15.36,11695200,14.58
2012-01-27,14.96,15.08,14.68,14.84,6856100,14.08
2012-01-26,15.00,15.00,14.02,14.70,5810000,13.95
2012-01-25,14.68,14.68,14.68,14.68,000,13.93
2012-01-24,14.68,14.68,14.68,14.68,000,13.93
2012-01-23,14.68,14.68,14.68,14.68,000,13.93
2012-01-20,14.60,14.68,14.54,14.68,3783900,13.93
2012-01-19,14.00,14.40,14.00,14.40,6605900,13.67
2012-01-18,13.92,14.18,13.90,13.92,4899200,13.21
2012-01-17,13.74,14.00,13.74,13.96,2554600,13.25
2012-01-16,13.80,13.98,13.64,13.76,1321600,13.06
2012-01-13,14.00,14.06,13.88,13.98,3033800,13.27
2012-01-12,13.82,14.00,13.80,13.98,3254100,13.27
2012-01-11,13.86,13.86,13.66,13.82,3464500,13.12
2012-01-10,13.58,13.82,13.42,13.80,4951800,13.10
2012-01-09,13.18,13.52,13.10,13.50,2588200,12.81
2012-01-06,13.20,13.30,13.12,13.18,2440100,12.51
2012-01-05,13.16,13.34,13.16,13.28,3527700,12.60
2012-01-04,13.68,13.68,13.20,13.20,3850400,12.53
2012-01-03,13.54,13.68,13.44,13.52,1719900,12.83
2012-01-02,13.32,13.32,13.32,13.32,000,12.64
2011-12-30,13.20,13.60,13.20,13.32,2121500,12.64
2011-12-29,13.00,13.20,13.00,13.20,1546800,12.53
2011-12-28,13.50,13.50,13.10,13.20,1421400,12.53
2011-12-27,13.24,13.24,13.24,13.24,000,12.56
2011-12-26,13.24,13.24,13.24,13.24,000,12.56
2011-12-23,13.30,13.30,13.10,13.24,1575000,12.56
2011-12-22,13.06,13.22,13.06,13.14,1340500,12.47
2011-12-21,13.20,13.26,13.04,13.08,1395300,12.41
2011-12-20,12.98,13.16,12.92,13.06,1455700,12.39
2011-12-19,13.28,13.30,12.92,13.14,2292500,12.47
2011-12-16,12.98,13.30,12.96,13.28,2250200,12.60
2011-12-15,12.90,13.16,12.86,13.08,3667300,12.41
