Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,118.20,119.00,118.00,119.00,1347600,112.72
2012-12-28,118.70,119.50,118.30,118.90,1863800,112.62
2012-12-27,119.60,119.60,118.30,118.70,2327700,112.43
2012-12-26,118.90,118.90,118.90,118.90,000,112.62
2012-12-25,118.90,118.90,118.90,118.90,000,112.62
2012-12-24,120.20,120.20,118.40,118.90,5663800,112.62
2012-12-21,118.40,119.50,116.60,119.30,1554900,113.00
2012-12-20,118.50,120.00,118.50,119.90,3200000,113.57
2012-12-19,120.00,120.50,118.60,119.90,3427700,113.57
2012-12-18,119.50,119.90,118.20,118.40,2283000,112.15
2012-12-17,119.60,120.40,118.60,119.30,2892300,113.00
2012-12-14,119.40,121.20,119.40,120.60,2254100,114.23
2012-12-13,121.80,122.40,119.50,119.90,3836200,113.57
2012-12-12,120.00,122.40,120.00,121.80,4683600,115.37
2012-12-11,118.00,119.90,118.00,119.70,3446100,113.38
2012-12-10,118.30,119.20,118.30,118.50,2859700,112.24
2012-12-07,118.50,119.30,118.20,118.50,4382800,112.24
2012-12-06,119.50,119.50,117.00,118.60,2278300,112.34
2012-12-05,116.40,119.00,116.00,118.50,4247900,112.24
2012-12-04,117.00,118.40,116.30,117.20,4200400,111.01
2012-12-03,119.80,119.80,115.90,116.70,4714600,110.54
2012-11-30,118.90,119.60,118.10,118.30,4747300,112.05
2012-11-29,117.90,118.90,117.60,118.40,3505300,112.15
2012-11-28,117.20,117.90,116.80,117.30,3345700,111.11
2012-11-27,118.50,118.80,117.20,117.50,2609400,111.29
2012-11-26,117.50,118.50,117.10,117.20,4997700,111.01
2012-11-23,116.20,117.80,115.60,117.30,5062100,111.11
2012-11-22,113.70,116.70,113.60,116.20,4831600,110.06
2012-11-21,114.30,114.30,112.50,113.70,2425600,107.70
2012-11-20,113.90,114.30,112.60,113.20,2936100,107.22
2012-11-19,112.90,114.20,112.90,113.70,3209200,107.70
2012-11-16,112.40,112.90,111.80,112.40,2434600,106.46
2012-11-15,112.00,113.50,112.00,112.60,2682600,106.65
2012-11-14,112.60,113.80,112.20,113.70,1497400,107.70
2012-11-13,114.40,114.40,112.30,112.50,2901100,106.56
2012-11-12,112.90,114.50,112.60,114.40,2917900,108.36
2012-11-09,112.50,113.90,112.50,112.90,4454500,106.94
2012-11-08,115.50,115.50,113.50,113.50,6129400,107.51
2012-11-07,116.00,116.50,115.00,116.10,3389700,109.97
2012-11-06,116.00,116.20,114.50,115.50,2608700,109.40
2012-11-05,116.60,116.80,115.50,115.60,2731100,109.49
2012-11-02,115.00,116.00,115.00,115.80,4299600,109.68
2012-11-01,115.50,115.50,114.00,115.00,3712600,108.93
2012-10-31,113.30,114.90,112.50,114.50,4652800,108.45
2012-10-30,112.70,112.70,111.20,112.20,4251500,106.27
2012-10-29,113.00,113.00,111.50,112.30,9875600,106.37
2012-10-26,118.40,118.90,116.80,117.80,2974700,111.58
2012-10-25,118.90,119.80,118.60,119.40,5348900,113.09
2012-10-24,114.90,120.20,114.70,119.90,8786800,113.57
2012-10-23,114.90,114.90,114.90,114.90,000,108.83
2012-10-22,113.90,115.10,113.50,114.90,3918500,108.83
