Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,6.24,6.24,6.20,6.22,107957100,5.64
2012-12-28,6.30,6.30,6.22,6.24,148473200,5.66
2012-12-27,6.24,6.30,6.22,6.23,179730700,5.65
2012-12-26,6.21,6.21,6.21,6.21,000,5.63
2012-12-25,6.21,6.21,6.21,6.21,000,5.63
2012-12-24,6.19,6.22,6.18,6.21,100794700,5.63
2012-12-21,6.23,6.23,6.11,6.14,359134700,5.57
2012-12-20,6.29,6.31,6.24,6.26,288004900,5.68
2012-12-19,6.35,6.37,6.28,6.32,318945400,5.73
2012-12-18,6.28,6.29,6.22,6.26,193576300,5.68
2012-12-17,6.29,6.32,6.23,6.24,219800600,5.66
2012-12-14,6.17,6.30,6.17,6.28,285384600,5.69
2012-12-13,6.24,6.30,6.21,6.23,214413200,5.65
2012-12-12,6.17,6.25,6.16,6.25,368881100,5.67
2012-12-11,6.13,6.17,6.08,6.13,289381700,5.56
2012-12-10,6.16,6.17,6.10,6.12,208533600,5.55
2012-12-07,6.10,6.15,6.07,6.07,308338200,5.50
2012-12-06,6.15,6.15,6.05,6.09,278448800,5.52
2012-12-05,5.90,6.09,5.87,6.07,447493700,5.50
2012-12-04,5.86,5.90,5.80,5.87,237810100,5.32
2012-12-03,5.97,5.98,5.82,5.86,230402600,5.31
2012-11-30,5.95,5.97,5.92,5.94,311745200,5.39
2012-11-29,5.85,5.95,5.83,5.91,281599300,5.36
2012-11-28,5.85,5.85,5.77,5.80,279177800,5.26
2012-11-27,5.96,5.96,5.87,5.90,186298800,5.35
2012-11-26,5.98,5.98,5.88,5.92,141294600,5.37
2012-11-23,5.86,5.96,5.86,5.94,260248300,5.39
2012-11-22,5.85,5.90,5.80,5.88,261203900,5.33
2012-11-21,5.68,5.85,5.66,5.84,308345800,5.30
2012-11-20,5.77,5.78,5.64,5.65,265854600,5.12
2012-11-19,5.69,5.74,5.66,5.70,220799100,5.17
2012-11-16,5.71,5.71,5.67,5.69,184549500,5.16
2012-11-15,5.76,5.80,5.67,5.68,273067200,5.15
2012-11-14,5.71,5.85,5.68,5.84,232794300,5.30
2012-11-13,5.82,5.82,5.65,5.66,231415800,5.13
2012-11-12,5.72,5.80,5.72,5.76,168699600,5.22
2012-11-09,5.74,5.79,5.71,5.74,322606500,5.20
2012-11-08,5.91,5.93,5.78,5.80,314386900,5.26
2012-11-07,5.95,6.00,5.87,5.99,292569300,5.43
2012-11-06,5.95,5.95,5.84,5.92,234057200,5.37
2012-11-05,5.94,5.98,5.88,5.90,174429500,5.35
2012-11-02,5.93,5.97,5.92,5.94,286545800,5.39
2012-11-01,5.81,5.89,5.76,5.89,245209400,5.34
2012-10-31,5.75,5.86,5.75,5.84,243544000,5.30
2012-10-30,5.83,5.83,5.66,5.71,228671200,5.18
2012-10-29,5.80,5.84,5.75,5.79,198992900,5.25
2012-10-26,5.84,5.84,5.72,5.74,189115900,5.20
2012-10-25,5.83,5.87,5.75,5.80,250445200,5.26
2012-10-24,5.87,5.87,5.81,5.84,189281900,5.30
2012-10-23,5.87,5.87,5.87,5.87,000,5.32
2012-10-22,5.80,5.87,5.78,5.87,202072100,5.32
2012-10-19,5.88,5.88,5.78,5.80,268769700,5.26
2012-10-18,5.84,5.84,5.78,5.80,344549400,5.26
2012-10-17,5.79,5.79,5.73,5.78,319318200,5.24
2012-10-16,5.84,5.84,5.64,5.68,322939000,5.15
2012-10-15,5.71,5.80,5.71,5.79,268708200,5.25
2012-10-12,5.69,5.82,5.68,5.76,543132300,5.22
2012-10-11,5.48,5.67,5.47,5.66,456593300,5.13
2012-10-10,5.41,5.50,5.40,5.49,198353600,4.98
2012-10-09,5.44,5.50,5.42,5.45,256504300,4.94
2012-10-08,5.47,5.47,5.38,5.40,213211200,4.90
2012-10-05,5.47,5.48,5.42,5.47,232114700,4.96
2012-10-04,5.45,5.45,5.40,5.44,146433200,4.93
2012-10-03,5.48,5.48,5.38,5.43,255080100,4.92
2012-10-02,5.38,5.38,5.38,5.38,000,4.88
2012-10-01,5.38,5.38,5.38,5.38,000,4.88
2012-09-28,5.36,5.43,5.34,5.38,323398000,4.88
2012-09-27,5.30,5.38,5.29,5.35,422594000,4.85
2012-09-26,5.18,5.29,5.18,5.27,196981700,4.78
2012-09-25,5.28,5.30,5.23,5.26,167438200,4.77
2012-09-24,5.24,5.30,5.20,5.29,151698300,4.80
2012-09-21,5.27,5.33,5.25,5.30,332719900,4.81
2012-09-20,5.32,5.32,5.22,5.24,249724000,4.75
2012-09-19,5.20,5.32,5.18,5.30,324916100,4.81
2012-09-18,5.17,5.21,5.15,5.17,254793200,4.69
2012-09-17,5.19,5.21,5.14,5.17,252308100,4.69
2012-09-14,5.18,5.20,5.15,5.17,455867800,4.69
2012-09-13,5.07,5.09,5.03,5.06,173061500,4.59
2012-09-12,5.05,5.11,5.03,5.07,258917000,4.60
2012-09-11,5.02,5.03,4.93,5.00,519643600,4.53
