Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,24.35,25.40,24.35,25.30,38247800,24.68
2012-12-28,24.60,24.60,24.40,24.55,20082300,23.94
2012-12-27,24.40,24.50,24.15,24.45,24657000,23.85
2012-12-26,24.05,24.05,24.05,24.05,000,23.46
2012-12-25,24.05,24.05,24.05,24.05,000,23.46
2012-12-24,24.00,24.20,24.00,24.05,7763700,23.46
2012-12-21,23.70,24.25,23.70,24.20,35465200,23.60
2012-12-20,24.40,24.40,23.80,24.15,41652100,23.55
2012-12-19,24.50,24.55,24.20,24.40,29908200,23.80
2012-12-18,24.40,24.55,24.15,24.35,27503500,23.75
2012-12-17,24.05,24.50,23.85,24.30,50969600,23.70
2012-12-14,23.30,24.10,23.30,24.05,57409600,23.46
2012-12-13,23.30,23.80,23.30,23.50,23096900,22.92
2012-12-12,23.30,23.60,23.30,23.55,32721800,22.97
2012-12-11,23.40,23.45,23.05,23.15,28617500,22.58
2012-12-10,23.55,23.65,23.00,23.35,27157400,22.77
2012-12-07,23.60,23.65,23.40,23.45,25470000,22.87
2012-12-06,23.55,23.60,23.30,23.40,24430000,22.82
2012-12-05,22.35,23.60,22.35,23.45,52239000,22.87
2012-12-04,22.50,22.55,22.30,22.50,18382700,21.95
2012-12-03,22.90,23.10,22.45,22.50,16246600,21.95
2012-11-30,22.50,22.95,22.50,22.85,32188400,22.29
2012-11-29,22.55,22.75,22.40,22.65,25753900,22.09
2012-11-28,22.50,22.55,22.20,22.40,32013900,21.85
2012-11-27,23.00,23.05,22.60,22.70,20378600,22.14
2012-11-26,23.05,23.05,22.80,22.85,19746800,22.29
2012-11-23,22.45,22.90,22.45,22.85,21265300,22.29
2012-11-22,22.50,22.70,22.25,22.50,20396700,21.95
2012-11-21,22.30,22.40,21.95,22.35,20510600,21.80
2012-11-20,22.40,22.50,21.90,22.05,22351500,21.51
2012-11-19,22.05,22.40,22.00,22.30,23070200,21.75
2012-11-16,22.15,22.20,21.95,22.15,33166000,21.60
2012-11-15,22.30,22.45,22.10,22.25,32967000,21.70
2012-11-14,22.45,22.70,22.45,22.70,24568800,22.14
2012-11-13,22.75,22.90,22.50,22.55,24050100,21.99
2012-11-12,22.95,23.15,22.90,22.95,18280600,22.38
2012-11-09,22.80,23.35,22.80,23.10,30846700,22.53
