Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,22.20,22.25,21.90,22.00,2953000,21.77
2012-12-28,21.80,22.15,21.80,22.15,4492400,21.92
2012-12-27,22.00,22.15,21.70,21.90,4477800,21.67
2012-12-26,21.70,21.70,21.70,21.70,000,21.47
2012-12-25,21.70,21.70,21.70,21.70,000,21.47
2012-12-24,21.50,21.85,21.50,21.70,916800,21.47
2012-12-21,21.75,21.75,21.50,21.55,6692300,21.33
2012-12-20,21.70,21.80,21.35,21.75,8450700,21.52
2012-12-19,20.85,21.85,20.75,21.65,13846400,21.42
2012-12-18,20.50,20.75,20.25,20.70,5818800,20.48
2012-12-17,20.60,20.70,20.20,20.45,8918600,20.24
2012-12-14,20.20,20.50,20.15,20.40,6934800,20.19
2012-12-13,20.50,20.65,20.25,20.35,6977400,20.14
2012-12-12,20.65,20.65,20.40,20.50,6608500,20.29
2012-12-11,20.10,20.50,20.10,20.45,6989500,20.24
2012-12-10,20.30,20.35,19.98,19.98,7292500,19.77
2012-12-07,20.25,20.45,20.15,20.25,5931800,20.04
2012-12-06,20.10,20.50,20.10,20.30,8434400,20.09
2012-12-05,21.05,21.10,20.05,20.40,13706100,20.19
2012-12-04,21.40,21.40,20.75,21.00,4029000,20.78
2012-12-03,21.65,21.80,21.10,21.25,4513300,21.03
2012-11-30,22.15,22.15,21.15,21.70,6541600,21.47
2012-11-29,22.35,22.35,21.80,22.05,2656000,21.82
2012-11-28,22.45,22.45,21.80,21.95,2144000,21.72
2012-11-27,21.65,22.30,21.65,22.25,4586400,22.02
2012-11-26,21.70,22.00,21.40,21.65,2194700,21.42
2012-11-23,22.00,22.10,21.40,21.60,3209600,21.38
2012-11-22,21.40,21.85,21.40,21.70,1534300,21.47
2012-11-21,21.30,21.60,21.25,21.50,3098000,21.28
2012-11-20,21.70,21.75,20.95,21.00,5143100,20.78
2012-11-19,21.65,21.90,21.45,21.65,7070500,21.42
2012-11-16,21.90,22.25,21.65,22.00,5552000,21.77
2012-11-15,21.95,22.00,21.80,21.85,2998000,21.62
2012-11-14,22.30,22.45,21.85,21.90,5839000,21.67
2012-11-13,22.45,22.45,21.95,22.30,3911300,22.07
2012-11-12,22.35,22.60,22.25,22.45,3367000,22.22
2012-11-09,22.80,22.80,22.30,22.45,4726200,22.22
2012-11-08,23.20,23.20,22.35,22.75,8035000,22.51
2012-11-07,23.40,23.55,23.25,23.30,4916400,23.06
2012-11-06,23.65,23.70,23.25,23.50,4255000,23.26
2012-11-05,23.55,23.55,23.15,23.50,4859400,23.26
2012-11-02,23.60,23.95,23.30,23.35,2742800,23.11
2012-11-01,23.40,23.55,23.20,23.50,3792000,23.26
2012-10-31,23.40,23.55,23.25,23.50,2531000,23.26
2012-10-30,23.05,23.35,23.05,23.20,963000,22.96
2012-10-29,23.25,23.60,23.05,23.15,3060000,22.91
2012-10-26,23.30,23.70,23.00,23.40,5917600,23.16
2012-10-25,23.05,23.35,22.80,23.05,4148400,22.81
2012-10-24,23.30,23.35,23.00,23.05,2479100,22.81
2012-10-23,23.10,23.10,23.10,23.10,000,22.86
2012-10-22,22.95,23.10,22.90,23.10,3080000,22.86
2012-10-19,23.35,23.35,23.00,23.10,6569300,22.86
2012-10-18,22.85,23.25,22.80,22.90,4672100,22.66
2012-10-17,22.60,22.70,22.50,22.65,5903800,22.41
2012-10-16,22.90,22.90,22.40,22.55,5301000,22.32
2012-10-15,22.80,22.80,22.55,22.60,1928000,22.36
2012-10-12,23.10,23.10,22.10,22.55,4159000,22.32
2012-10-11,22.90,23.05,22.65,22.80,3358700,22.56
2012-10-10,23.00,23.10,22.70,22.95,4815000,22.71
2012-10-09,23.20,23.30,22.80,23.00,3886200,22.76
2012-10-08,23.45,23.45,23.05,23.20,1021400,22.96
2012-10-05,23.05,23.35,23.05,23.10,2940500,22.86
2012-10-04,23.05,23.35,23.00,23.10,3174000,22.86
2012-10-03,23.15,23.20,22.90,23.05,4228000,22.81
2012-10-02,23.20,23.20,23.20,23.20,000,22.96
2012-10-01,23.20,23.20,23.20,23.20,000,22.96
2012-09-28,23.40,23.40,23.15,23.20,4250100,22.96
2012-09-27,23.40,23.40,23.15,23.30,2257800,23.06
2012-09-26,23.50,23.55,23.20,23.35,2592400,23.11
2012-09-25,23.35,23.50,23.20,23.35,1222700,23.11
2012-09-24,23.50,23.50,23.00,23.20,2500000,22.96
2012-09-21,23.20,23.30,23.00,23.20,2700500,22.96
2012-09-20,23.30,23.50,23.05,23.20,1011000,22.96
2012-09-19,23.25,23.60,23.15,23.50,3858000,23.26
2012-09-18,23.00,23.35,22.85,23.00,4739700,22.76
2012-09-17,23.25,23.40,22.90,23.05,2800200,22.81
2012-09-14,23.95,23.95,23.05,23.20,4132000,22.96
2012-09-13,23.40,23.60,23.30,23.45,1115700,23.21
2012-09-12,23.10,23.70,23.05,23.55,2663600,23.30
2012-09-11,23.25,23.40,22.95,23.05,9431200,22.81
2012-09-10,24.00,24.30,23.35,23.75,2193700,23.50
2012-09-07,24.00,24.00,23.65,24.00,3348000,23.75
2012-09-06,23.50,23.90,22.95,23.60,4697300,23.35
2012-09-05,23.60,24.00,23.45,23.65,3474100,23.40
2012-09-04,23.70,23.80,23.55,23.80,2221900,23.55
2012-09-03,23.35,23.90,23.15,23.55,1583200,23.30
2012-08-31,23.50,23.70,23.15,23.35,2930700,23.11
2012-08-30,23.45,23.85,23.30,23.85,6154900,23.60
2012-08-29,23.10,23.70,23.05,23.45,8621800,23.21
2012-08-28,23.30,23.30,22.65,23.10,2659000,22.86
2012-08-27,22.80,23.05,22.50,23.00,4190000,22.76
2012-08-24,22.95,23.05,22.60,22.90,2907000,22.66
2012-08-23,22.55,23.15,22.55,22.95,2780500,22.71
2012-08-22,23.30,23.30,22.85,22.95,1994000,22.71
2012-08-21,22.80,23.20,22.70,22.85,7299400,22.61
2012-08-20,22.80,22.90,22.55,22.70,841000,22.46
2012-08-17,22.60,22.85,22.55,22.80,3011000,22.56
2012-08-16,22.60,22.85,22.50,22.65,1733500,22.41
2012-08-15,22.70,22.85,22.45,22.65,2824600,22.41
2012-08-14,22.90,23.00,22.55,22.85,3586400,22.61
2012-08-13,23.05,23.05,22.70,22.85,2937800,22.61
2012-08-10,22.75,22.75,22.40,22.65,1841100,22.41
2012-08-09,23.00,23.20,22.55,22.75,4023200,22.51
2012-08-08,23.05,23.05,22.70,22.95,1284900,22.71
2012-08-07,23.15,23.15,22.65,22.90,2128000,22.66
2012-08-06,22.80,23.05,22.60,22.85,2772000,22.61
2012-08-03,22.20,22.60,22.15,22.50,2231500,22.27
2012-08-02,22.70,22.80,22.05,22.25,2100500,22.02
2012-08-01,23.10,23.10,22.10,22.65,4302000,22.41
2012-07-31,22.85,23.15,22.80,23.10,5087100,22.86
2012-07-30,22.65,22.95,22.45,22.85,3134200,22.61
2012-07-27,22.00,22.80,21.95,22.65,4269700,22.41
2012-07-26,21.85,22.30,21.65,22.00,1828700,21.77
2012-07-25,22.20,22.20,21.50,22.05,4053300,21.82
2012-07-24,21.60,22.20,21.60,22.15,5477500,21.92
2012-07-23,21.50,21.90,21.05,21.85,2184500,21.62
2012-07-20,22.15,22.20,21.70,21.80,2419300,21.57
2012-07-19,22.25,22.25,21.90,22.05,971300,21.82
2012-07-18,22.00,22.10,21.70,22.05,1959600,21.82
2012-07-17,22.40,22.50,21.95,22.05,2842600,21.82
2012-07-16,23.00,23.00,21.80,22.10,17900900,21.87
2012-07-13,22.20,22.90,21.70,22.70,3384100,22.46
2012-07-12,22.45,22.65,22.10,22.30,7220000,22.07
2012-07-11,21.80,22.40,21.70,22.10,8556900,21.87
2012-07-10,21.40,21.75,21.20,21.65,6195000,21.42
2012-07-09,21.45,21.55,21.10,21.20,1295600,20.98
2012-07-06,21.60,21.60,21.15,21.60,6355800,21.38
2012-07-05,21.20,21.45,20.85,21.40,11997000,21.18
2012-07-04,21.60,21.70,21.00,21.35,3713600,21.13
2012-07-03,20.20,21.35,20.20,21.35,6125600,21.13
2012-07-02,20.35,20.35,20.35,20.35,000,20.14
2012-06-29,20.15,20.90,20.15,20.35,4685700,20.14
2012-06-28,20.10,20.55,20.10,20.35,3206800,20.14
2012-06-27,20.00,20.65,19.94,19.98,5397000,19.77
2012-06-26,20.00,20.10,19.80,19.88,6069400,19.67
2012-06-25,20.60,21.20,20.20,20.20,3141600,19.99
2012-06-22,20.50,21.20,20.50,20.90,2971000,20.68
2012-06-21,21.35,21.50,20.95,21.00,4719900,20.78
2012-06-20,22.30,22.45,21.40,21.50,5919500,21.28
2012-06-19,21.10,22.15,20.80,21.70,10100800,21.47
2012-06-18,21.35,21.75,20.85,21.15,12922600,20.73
2012-06-15,20.30,20.50,19.52,19.80,12481100,19.41
2012-06-14,20.75,20.95,20.35,20.45,5322100,20.05
2012-06-13,20.85,21.00,20.80,20.90,2187500,20.49
2012-06-12,20.65,21.05,20.65,20.80,3409500,20.39
2012-06-11,20.95,21.60,20.80,20.85,3165800,20.44
2012-06-08,20.50,20.70,20.40,20.65,7279000,20.24
