Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,24.75,25.05,24.70,24.85,1136000,23.41
2012-12-28,25.25,25.25,24.75,25.00,1234600,23.55
2012-12-27,25.30,25.30,24.80,24.90,1514400,23.45
2012-12-26,24.90,24.90,24.90,24.90,000,23.45
2012-12-25,24.90,24.90,24.90,24.90,000,23.45
2012-12-24,24.90,25.00,24.75,24.90,305900,23.45
2012-12-21,24.85,25.15,24.75,24.95,1829000,23.50
2012-12-20,25.20,25.25,24.70,25.10,2145300,23.64
2012-12-19,24.95,25.20,24.55,25.20,3831500,23.74
2012-12-18,24.75,24.75,24.35,24.55,2450900,23.12
2012-12-17,24.80,24.80,24.30,24.50,2800900,23.08
2012-12-14,24.25,24.80,24.15,24.80,2920500,23.36
2012-12-13,24.25,24.35,24.05,24.25,3908600,22.84
2012-12-12,24.40,24.45,23.95,24.25,3146200,22.84
2012-12-11,24.20,24.20,23.85,24.00,3024800,22.61
2012-12-10,23.70,24.30,23.70,24.00,4196600,22.61
2012-12-07,23.70,23.95,23.55,23.65,3158000,22.28
2012-12-06,24.00,24.15,23.55,23.65,3571000,22.28
2012-12-05,23.45,23.85,23.40,23.80,2376200,22.42
2012-12-04,23.70,23.70,23.30,23.45,1984400,22.09
2012-12-03,23.65,23.70,23.40,23.50,3068800,22.14
2012-11-30,23.55,23.70,23.35,23.50,4395800,22.14
2012-11-29,23.65,23.75,23.55,23.70,1889600,22.32
2012-11-28,23.55,23.80,23.40,23.45,1236300,22.09
2012-11-27,23.90,24.10,23.55,23.60,3771800,22.23
2012-11-26,23.90,23.95,23.50,23.55,2146700,22.18
2012-11-23,23.40,23.80,23.30,23.70,2729200,22.32
2012-11-22,23.00,23.40,22.75,23.25,3497300,21.90
2012-11-21,23.05,23.30,22.70,22.80,4741100,21.48
2012-11-20,23.45,23.50,22.60,23.00,5655000,21.66
2012-11-19,23.15,23.45,23.05,23.30,3088000,21.95
2012-11-16,23.30,23.55,23.15,23.25,5327100,21.90
2012-11-15,23.25,23.55,23.00,23.10,4368300,21.76
2012-11-14,24.15,24.15,23.50,23.65,3969800,22.28
2012-11-13,24.20,24.20,23.75,23.90,3699900,22.51
2012-11-12,24.05,24.25,24.00,24.20,4024500,22.79
2012-11-09,24.40,24.50,24.10,24.25,5149000,22.84
2012-11-08,24.40,24.80,24.40,24.60,3939000,23.17
2012-11-07,24.70,24.95,24.55,24.85,5390600,23.41
2012-11-06,24.55,24.65,24.20,24.55,40794300,23.12
2012-11-05,26.00,26.20,25.75,25.90,1153600,24.40
2012-11-02,26.10,26.25,25.90,26.20,5441300,24.68
2012-11-01,25.80,26.05,25.50,25.90,3740900,24.40
