Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,22.85,23.40,22.80,23.10,11249800,22.15
2012-12-28,23.35,23.35,22.70,22.95,18971000,22.01
2012-12-27,23.30,23.40,22.85,23.15,14417800,22.20
2012-12-26,23.25,23.25,23.25,23.25,000,22.29
2012-12-25,23.25,23.25,23.25,23.25,000,22.29
2012-12-24,23.40,23.45,23.05,23.25,5942300,22.29
2012-12-21,23.35,23.80,23.10,23.25,20726500,22.29
2012-12-20,22.80,23.65,22.80,23.60,21051600,22.63
2012-12-19,23.15,23.45,22.80,23.10,16664800,22.15
2012-12-18,23.40,23.50,22.50,22.95,20617800,22.01
2012-12-17,24.15,24.20,23.15,23.40,16846700,22.44
2012-12-14,23.20,23.70,22.90,23.70,16961800,22.73
2012-12-13,23.60,24.05,23.35,23.40,17795500,22.44
2012-12-12,23.50,24.20,23.45,23.85,26103600,22.87
2012-12-11,23.60,23.65,22.90,23.20,25714400,22.25
2012-12-10,24.25,24.25,23.20,23.30,23498200,22.34
2012-12-07,23.05,23.80,23.05,23.65,23314500,22.68
2012-12-06,22.60,23.20,22.55,23.10,13455100,22.15
2012-12-05,22.45,22.95,22.30,22.65,25395600,21.72
2012-12-04,22.60,22.60,22.20,22.40,13921600,21.48
2012-12-03,22.70,23.25,22.25,22.35,22974900,21.43
2012-11-30,22.50,23.30,22.50,22.95,27736500,22.01
2012-11-29,22.50,22.75,22.20,22.50,21497400,21.58
2012-11-28,22.50,22.60,22.05,22.25,24477200,21.34
2012-11-27,22.90,22.95,22.55,22.65,20420000,21.72
2012-11-26,23.00,23.15,22.55,22.60,38040500,21.67
2012-11-23,21.80,22.65,21.80,22.35,29810600,21.43
2012-11-22,21.60,21.95,21.40,21.70,27456300,20.81
2012-11-21,20.90,21.50,20.75,21.25,24135500,20.38
2012-11-20,21.20,21.20,20.65,20.70,11554200,19.85
2012-11-19,20.90,20.90,20.35,20.75,9727100,19.90
2012-11-16,20.60,20.90,20.50,20.75,8168200,19.90
2012-11-15,20.90,21.00,20.60,20.65,14286400,19.80
2012-11-14,20.50,21.15,20.45,21.10,16667900,20.23
2012-11-13,20.70,20.85,20.35,20.55,16575600,19.71
2012-11-12,20.70,21.10,20.70,20.75,9518400,19.90
2012-11-09,20.70,21.00,20.60,20.75,15695900,19.90
