Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,8.70,8.85,8.70,8.78,24536500,6.27
2012-12-28,8.70,8.77,8.67,8.75,68206300,6.25
2012-12-27,8.88,8.93,8.67,8.70,72444600,6.21
2012-12-26,8.71,8.71,8.71,8.71,000,6.22
2012-12-25,8.71,8.71,8.71,8.71,000,6.22
2012-12-24,8.70,8.81,8.62,8.71,36907200,6.22
2012-12-21,8.66,8.81,8.64,8.75,91966100,6.25
2012-12-20,8.76,8.94,8.75,8.87,90233400,6.33
2012-12-19,8.78,8.94,8.68,8.80,102080800,6.28
2012-12-18,8.50,8.74,8.48,8.65,81590900,6.17
2012-12-17,8.62,8.68,8.49,8.55,115926000,6.10
2012-12-14,8.62,8.82,8.62,8.71,100167900,6.22
2012-12-13,8.65,8.75,8.64,8.74,75153400,6.24
2012-12-12,8.75,8.78,8.60,8.73,83882600,6.23
2012-12-11,8.69,8.75,8.60,8.72,134081300,6.22
2012-12-10,8.60,8.62,8.50,8.62,93336600,6.15
2012-12-07,8.38,8.57,8.38,8.51,104894200,6.07
2012-12-06,8.43,8.45,8.35,8.42,106190400,6.01
2012-12-05,8.28,8.40,8.23,8.38,141613700,5.98
2012-12-04,8.12,8.25,8.07,8.23,78762800,5.87
2012-12-03,8.17,8.27,8.06,8.10,58207100,5.78
2012-11-30,8.12,8.30,8.05,8.22,100992500,5.87
2012-11-29,8.09,8.18,8.06,8.12,71716300,5.80
2012-11-28,8.15,8.15,8.01,8.05,89074700,5.75
2012-11-27,8.35,8.36,8.13,8.14,91660100,5.81
2012-11-26,8.38,8.39,8.19,8.28,68665900,5.91
2012-11-23,8.30,8.40,8.26,8.38,76108200,5.98
2012-11-22,8.18,8.33,8.11,8.26,76443300,5.90
2012-11-21,8.02,8.18,7.99,8.13,79618700,5.80
2012-11-20,8.02,8.11,7.91,7.96,76206000,5.68
2012-11-19,7.99,8.13,7.94,7.98,125768400,5.70
2012-11-16,7.85,7.86,7.75,7.85,81875200,5.60
2012-11-15,7.90,7.97,7.82,7.85,59716700,5.60
2012-11-14,7.85,8.00,7.83,8.00,62058000,5.71
2012-11-13,8.02,8.07,7.85,7.86,122540400,5.61
2012-11-12,8.16,8.20,8.06,8.10,65554900,5.78
2012-11-09,8.10,8.17,8.05,8.06,98481100,5.75
2012-11-08,8.28,8.28,8.16,8.19,90922800,5.85
2012-11-07,8.22,8.39,8.14,8.33,83211800,5.95
2012-11-06,8.33,8.33,8.16,8.22,106741900,5.87
2012-11-05,8.40,8.47,8.27,8.28,86604900,5.91
2012-11-02,8.50,8.64,8.46,8.48,130378600,6.05
2012-11-01,8.16,8.42,8.16,8.40,107068400,6.00
2012-10-31,8.20,8.30,8.16,8.23,89689000,5.87
2012-10-30,8.19,8.34,8.09,8.12,90573000,5.80
2012-10-29,8.25,8.35,8.23,8.25,152989400,5.89
2012-10-26,8.17,8.24,7.98,8.02,89119400,5.72
2012-10-25,8.11,8.25,8.10,8.17,93392600,5.83
2012-10-24,8.21,8.35,8.16,8.18,96413300,5.84
2012-10-23,8.36,8.36,8.36,8.36,000,5.97
2012-10-22,8.15,8.48,8.15,8.36,131558500,5.97
2012-10-19,8.25,8.32,8.20,8.28,125253200,5.91
2012-10-18,8.14,8.32,8.11,8.20,178925400,5.85
2012-10-17,7.85,8.08,7.85,8.07,122589500,5.76
2012-10-16,7.91,7.91,7.77,7.82,74306100,5.58
2012-10-15,7.90,7.91,7.79,7.89,63304600,5.63
2012-10-12,7.77,7.88,7.77,7.82,75068700,5.58
2012-10-11,7.58,7.81,7.58,7.77,130188500,5.55
2012-10-10,7.53,7.69,7.52,7.66,113281700,5.47
2012-10-09,7.45,7.74,7.44,7.64,244195200,5.45
2012-10-08,7.40,7.42,7.27,7.36,176223600,5.25
2012-10-05,7.24,7.29,7.19,7.25,82630000,5.17
2012-10-04,7.23,7.23,7.12,7.20,61116300,5.14
2012-10-03,7.25,7.33,7.15,7.23,118856900,5.16
2012-10-02,7.24,7.24,7.24,7.24,000,5.17
2012-10-01,7.24,7.24,7.24,7.24,000,5.17
2012-09-28,7.18,7.33,7.18,7.24,86475000,5.17
2012-09-27,7.05,7.27,7.05,7.22,72339000,5.15
2012-09-26,7.10,7.14,7.06,7.10,54790600,5.07
2012-09-25,7.13,7.20,7.13,7.16,63112100,5.11
2012-09-24,7.06,7.16,7.03,7.16,76598700,5.11
2012-09-21,7.20,7.26,7.14,7.18,98564900,5.12
2012-09-20,7.16,7.19,7.10,7.12,104531100,5.08
2012-09-19,7.10,7.21,7.08,7.18,128703900,5.12
2012-09-18,7.13,7.23,7.10,7.13,109690800,5.09
2012-09-17,7.33,7.40,7.17,7.19,120600200,5.13
2012-09-14,7.28,7.34,7.19,7.31,162127500,5.22
