Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,27.65,27.95,27.65,27.95,1610800,27.32
2012-12-28,28.00,28.00,27.60,27.75,1688800,27.12
2012-12-27,28.05,28.10,27.60,27.80,1260700,27.17
2012-12-26,27.75,27.75,27.75,27.75,000,27.12
2012-12-25,27.75,27.75,27.75,27.75,000,27.12
2012-12-24,27.50,27.80,27.50,27.75,1782100,27.12
2012-12-21,28.10,28.10,27.45,27.55,2537600,26.93
2012-12-20,28.35,28.40,27.80,28.05,1700800,27.41
2012-12-19,28.15,28.40,28.00,28.35,1962600,27.71
2012-12-18,27.85,28.10,27.70,28.05,3066800,27.41
2012-12-17,27.80,28.20,27.50,27.80,1870200,27.17
2012-12-14,27.95,28.10,27.75,28.10,2672500,27.46
2012-12-13,28.00,28.00,27.60,27.85,2617400,27.22
2012-12-12,27.50,28.00,27.45,27.65,3012100,27.02
2012-12-11,27.80,27.85,27.40,27.50,3654600,26.88
2012-12-10,28.10,28.25,27.30,27.70,3570100,27.07
2012-12-07,28.25,28.35,27.65,27.95,3205300,27.32
2012-12-06,28.80,28.80,28.15,28.25,4509300,27.61
2012-12-05,27.75,28.70,27.40,28.65,4379700,28.00
2012-12-04,27.65,27.65,26.85,27.50,3159200,26.88
2012-12-03,27.55,28.00,27.30,27.65,1860700,27.02
2012-11-30,28.50,28.50,27.40,27.65,6455500,27.02
2012-11-29,27.60,28.45,27.35,28.15,3684000,27.51
2012-11-28,27.70,27.70,27.20,27.50,3615000,26.88
2012-11-27,27.25,27.75,27.05,27.70,5716200,27.07
2012-11-26,26.50,27.00,26.35,26.95,4450600,26.34
2012-11-23,25.70,26.30,25.60,26.25,4654900,25.66
2012-11-22,25.50,25.65,25.25,25.60,5638700,25.02
2012-11-21,26.50,26.50,25.40,25.70,9005000,25.12
2012-11-20,26.30,26.50,26.00,26.25,3406100,25.66
2012-11-19,25.50,26.05,25.50,25.95,2321600,25.36
2012-11-16,26.00,26.00,25.75,25.85,1334100,25.26
2012-11-15,25.20,26.00,25.20,25.75,1863500,25.17
2012-11-14,25.65,25.65,25.20,25.45,2859100,24.87
2012-11-13,25.55,25.65,25.40,25.55,1699700,24.97
2012-11-12,25.60,25.85,25.30,25.65,1767300,25.07
2012-11-09,25.50,26.15,25.50,25.75,2222200,25.17
2012-11-08,25.75,26.25,25.15,25.60,4467700,25.02
2012-11-07,26.50,26.55,26.05,26.30,5685200,25.70
2012-11-06,27.20,27.50,26.40,26.45,4310700,25.85
2012-11-05,26.60,27.40,26.45,27.00,5857300,26.39
2012-11-02,26.35,27.20,26.35,26.70,8419000,26.10
2012-11-01,25.35,25.95,25.15,25.90,4959700,25.31
2012-10-31,25.35,25.55,25.05,25.20,1798800,24.63
2012-10-30,25.15,25.55,25.10,25.40,1706600,24.82
2012-10-29,25.10,25.50,25.00,25.45,1803000,24.87
2012-10-26,25.90,25.95,25.05,25.15,3798700,24.58
2012-10-25,25.80,25.80,25.40,25.60,3535200,25.02
2012-10-24,25.20,25.60,24.90,25.50,5877300,24.92
2012-10-23,25.20,25.20,25.20,25.20,000,24.63
2012-10-22,24.90,25.25,24.80,25.20,4219700,24.63
2012-10-19,25.05,25.35,24.90,25.00,5134700,24.43
2012-10-18,25.15,25.20,24.90,24.95,4190000,24.39
2012-10-17,25.40,25.50,24.90,25.05,5665800,24.48
2012-10-16,25.65,25.65,25.15,25.30,1749300,24.73
2012-10-15,25.65,25.65,25.25,25.40,1313800,24.82
2012-10-12,25.50,25.50,25.15,25.45,1296500,24.87
2012-10-11,25.15,25.50,25.00,25.45,2187700,24.87
2012-10-10,25.20,25.80,25.20,25.25,1490400,24.68
2012-10-09,25.35,25.90,25.35,25.50,1248800,24.92
2012-10-08,26.00,26.00,25.30,25.40,1411000,24.82
2012-10-05,25.80,26.15,25.55,26.10,2921700,25.51
2012-10-04,25.20,25.80,25.00,25.75,3966200,25.17
2012-10-03,25.15,25.45,24.80,24.95,5328200,24.39
2012-10-02,25.90,25.90,25.90,25.90,000,25.31
2012-10-01,25.90,25.90,25.90,25.90,000,25.31
2012-09-28,25.75,26.00,25.65,25.90,2218000,25.31
2012-09-27,25.70,26.05,25.45,25.85,3201900,25.26
2012-09-26,26.00,26.10,25.75,25.85,2213400,25.12
2012-09-25,25.55,25.90,25.50,25.85,5222500,25.12
2012-09-24,25.95,26.10,25.25,25.40,3388700,24.68
2012-09-21,26.00,26.20,25.75,25.95,2932000,25.22
2012-09-20,26.25,26.45,25.40,25.80,3721700,25.07
2012-09-19,25.80,26.65,25.70,26.20,2916100,25.46
2012-09-18,26.35,26.85,25.85,26.00,3575200,25.26
2012-09-17,26.50,26.50,25.85,26.20,2837200,25.46
2012-09-14,25.85,26.20,25.75,26.15,5634000,25.41
2012-09-13,24.70,25.55,24.70,25.25,4249000,24.54
2012-09-12,24.40,24.90,24.40,24.70,3485000,24.00
2012-09-11,24.25,24.30,24.05,24.25,3969900,23.56
2012-09-10,23.80,24.30,23.80,24.25,4700000,23.56
2012-09-07,23.80,23.80,23.20,23.75,3323600,23.08
2012-09-06,22.75,23.40,22.75,23.20,1976400,22.54
2012-09-05,22.95,23.50,22.75,22.85,3551400,22.20
2012-09-04,23.35,23.80,23.20,23.20,2185200,22.54
2012-09-03,22.95,23.60,22.95,23.55,1888400,22.88
2012-08-31,22.60,23.15,22.50,23.05,2130000,22.40
2012-08-30,22.95,23.25,22.25,22.45,4587600,21.81
2012-08-29,22.75,23.50,22.60,23.35,1918300,22.69
2012-08-28,22.80,23.50,22.60,22.70,3103800,22.06
2012-08-27,23.40,23.40,22.95,23.00,766000,22.35
2012-08-24,23.40,23.50,23.05,23.25,2238500,22.59
2012-08-23,23.45,23.65,23.25,23.40,2802800,22.74
2012-08-22,23.40,23.75,23.15,23.20,2922900,22.54
2012-08-21,23.85,23.85,23.25,23.75,4893900,23.08
2012-08-20,23.95,24.25,23.35,23.95,6837200,23.27
2012-08-17,22.30,24.30,22.00,24.25,9644800,23.56
2012-08-16,22.00,22.30,21.50,21.80,2235300,21.18
2012-08-15,22.55,22.60,21.95,22.00,2039700,21.38
2012-08-14,22.35,22.95,22.35,22.50,3232700,21.86
2012-08-13,22.85,23.10,22.40,22.50,1719800,21.86
