Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21.00,21.30,20.80,21.10,2258000,20.20
2012-12-28,21.25,21.25,20.85,21.10,4267200,20.20
2012-12-27,21.25,21.25,20.75,20.90,5231000,20.00
2012-12-26,20.90,20.90,20.90,20.90,000,20.00
2012-12-25,20.90,20.90,20.90,20.90,000,20.00
2012-12-24,21.00,21.05,20.55,20.90,3233900,20.00
2012-12-21,20.70,21.15,20.30,21.00,11193200,20.10
2012-12-20,20.10,20.65,20.10,20.55,12033100,19.67
2012-12-19,20.00,20.45,20.00,20.25,11486900,19.38
2012-12-18,20.35,20.35,19.88,19.96,11054400,19.10
2012-12-17,20.55,20.70,20.10,20.35,9479900,19.48
2012-12-14,20.45,20.85,20.40,20.55,12031400,19.67
2012-12-13,21.65,22.00,20.45,20.65,15950700,19.77
2012-12-12,21.00,21.60,21.00,21.10,14887300,20.20
2012-12-11,21.70,21.90,20.70,20.95,15437400,20.05
2012-12-10,21.65,22.25,21.40,21.60,11203300,20.67
2012-12-07,21.15,21.90,21.10,21.15,19685900,20.24
2012-12-06,20.80,21.60,20.80,21.05,12865100,20.15
2012-12-05,20.10,21.15,20.00,20.70,14781500,19.81
2012-12-04,20.25,20.50,20.05,20.20,9216900,19.33
2012-12-03,21.15,21.50,20.00,20.15,13737100,19.29
2012-11-30,20.20,21.15,19.98,20.70,18170000,19.81
2012-11-29,19.82,20.80,19.82,20.00,16614900,19.14
2012-11-28,20.15,20.20,19.58,19.72,10749000,18.88
2012-11-27,20.50,20.50,19.76,19.80,8283300,18.95
2012-11-26,20.00,20.50,20.00,20.05,8074500,19.19
2012-11-23,19.66,20.35,19.62,20.10,11552900,19.24
2012-11-22,19.20,19.80,19.14,19.64,11151500,18.80
2012-11-21,18.90,19.00,18.62,18.98,3766000,18.17
2012-11-20,18.80,19.08,18.54,18.60,7051700,17.80
2012-11-19,18.52,18.76,18.42,18.72,3645800,17.92
2012-11-16,18.94,18.94,18.52,18.66,4223000,17.86
2012-11-15,18.30,18.80,18.30,18.62,7577800,17.82
2012-11-14,18.04,18.88,18.04,18.64,10579400,17.84
2012-11-13,18.28,18.38,17.84,18.04,9270700,17.27
2012-11-12,17.84,18.38,17.84,18.32,5963000,17.54
2012-11-09,17.70,18.12,17.52,18.02,7551200,17.25
2012-11-08,18.02,18.34,17.58,17.70,14491300,16.94
2012-11-07,18.60,18.78,18.00,18.40,12191200,17.61
2012-11-06,18.64,18.80,18.16,18.60,6093200,17.80
2012-11-05,18.60,18.90,18.42,18.50,6194500,17.71
2012-11-02,17.90,18.70,17.78,18.60,14208700,17.80
2012-11-01,17.68,17.86,17.30,17.72,7928700,16.96
2012-10-31,17.44,17.74,17.26,17.70,10631300,16.94
