Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,19.40,19.86,19.30,19.78,2014600,18.57
2012-12-28,19.24,19.90,19.08,19.50,4285800,18.30
2012-12-27,18.96,19.26,18.76,19.18,2956700,18.00
2012-12-26,18.80,18.80,18.80,18.80,000,17.65
2012-12-25,18.80,18.80,18.80,18.80,000,17.65
2012-12-24,18.88,18.96,18.66,18.80,2578700,17.65
2012-12-21,19.26,19.26,18.84,18.94,5604600,17.78
2012-12-20,19.26,19.30,19.06,19.26,3458500,18.08
2012-12-19,19.20,19.46,18.98,19.28,11630800,18.10
2012-12-18,18.70,19.02,18.42,18.90,8199200,17.74
2012-12-17,18.38,18.82,18.38,18.70,2828200,17.55
2012-12-14,18.34,18.94,18.20,18.54,7063300,17.40
2012-12-13,18.96,18.96,17.98,18.18,11764500,17.06
2012-12-12,18.94,19.18,18.50,18.98,14633900,17.82
2012-12-11,17.90,18.46,17.90,18.40,6056800,17.27
2012-12-10,17.80,18.00,17.66,17.94,14091200,16.84
2012-12-07,18.04,18.30,17.48,17.50,6899700,16.43
2012-12-06,18.50,18.54,18.00,18.22,7044800,17.10
2012-12-05,17.70,18.50,17.68,18.48,9165100,17.35
2012-12-04,17.32,17.72,17.32,17.64,7302900,16.56
2012-12-03,17.18,17.70,17.18,17.58,8933200,16.50
2012-11-30,17.30,17.40,17.16,17.38,4862500,16.31
2012-11-29,17.18,17.30,16.94,17.20,3804200,16.14
2012-11-28,17.42,17.42,17.02,17.16,5173400,16.11
2012-11-27,17.48,17.48,17.02,17.22,6423400,16.16
2012-11-26,17.08,17.30,16.96,17.16,3355100,16.11
2012-11-23,17.38,17.38,17.00,17.12,5995500,16.07
2012-11-22,16.96,17.34,16.92,17.28,8952000,16.22
2012-11-21,16.96,16.98,16.74,16.94,5355400,15.90
2012-11-20,17.14,17.14,16.62,16.82,5764500,15.79
2012-11-19,16.68,17.24,16.68,16.98,10468900,15.94
2012-11-16,17.00,17.00,16.58,16.86,10292000,15.83
2012-11-15,16.62,16.90,16.50,16.72,12029700,15.69
2012-11-14,16.58,16.78,16.50,16.74,7859600,15.71
2012-11-13,16.46,16.68,16.18,16.56,3848900,15.54
2012-11-12,15.62,16.50,15.62,16.40,4890400,15.39
2012-11-09,16.32,16.32,15.90,15.96,5647600,14.98
2012-11-08,16.50,16.68,16.24,16.34,2893300,15.34
2012-11-07,16.86,16.86,16.42,16.60,4791900,15.58
2012-11-06,16.60,16.90,16.58,16.72,3881500,15.69
2012-11-05,16.80,16.92,16.70,16.84,2189000,15.81
2012-11-02,16.98,17.06,16.64,16.86,4999500,15.83
2012-11-01,16.36,16.72,16.36,16.58,5265600,15.56
2012-10-31,16.90,16.98,16.54,16.60,5447400,15.58
2012-10-30,16.60,16.90,16.52,16.84,3714900,15.81
2012-10-29,16.50,16.72,16.30,16.52,4609400,15.51
2012-10-26,16.88,16.90,16.52,16.64,6319500,15.62
2012-10-25,16.50,16.80,16.40,16.80,8635100,15.77
2012-10-24,16.12,16.48,16.08,16.36,10344500,15.36
2012-10-23,16.08,16.08,16.08,16.08,000,15.09
2012-10-22,16.20,16.38,15.90,16.08,7490900,15.09
2012-10-19,16.30,16.30,15.92,16.18,7244300,15.19
2012-10-18,16.10,16.10,15.82,15.90,8223400,14.92
2012-10-17,16.38,16.38,16.02,16.10,7166300,15.11
2012-10-16,15.86,16.26,15.70,16.24,5810700,15.24
2012-10-15,16.00,16.00,15.62,15.74,5857400,14.77
2012-10-12,16.28,16.42,15.88,15.92,6152000,14.94
2012-10-11,16.52,16.62,16.20,16.36,4642400,15.36
2012-10-10,16.38,16.76,16.34,16.68,4718000,15.66
2012-10-09,16.68,16.76,16.36,16.38,4671900,15.38
2012-10-08,16.80,17.00,16.54,16.60,3863100,15.58
2012-10-05,16.94,17.04,16.84,16.88,2042100,15.84
2012-10-04,17.00,17.12,16.82,17.04,3734500,15.99
2012-10-03,17.00,17.08,16.58,16.78,7948500,15.75
2012-10-02,16.98,16.98,16.98,16.98,000,15.94
2012-10-01,16.98,16.98,16.98,16.98,000,15.94
2012-09-28,17.08,17.12,16.88,16.98,6656100,15.94
2012-09-27,17.00,17.30,17.00,17.14,5821500,16.09
2012-09-26,17.34,17.34,16.92,17.08,5198600,16.03
2012-09-25,17.16,17.28,16.92,17.18,5702700,16.13
2012-09-24,16.90,17.28,16.90,17.20,6259100,16.14
2012-09-21,17.10,17.26,16.88,17.00,3166000,15.96
2012-09-20,17.20,17.20,16.94,17.12,2696300,16.07
2012-09-19,16.90,17.04,16.80,17.00,5598500,15.96
2012-09-18,16.98,17.16,16.92,16.96,6585200,15.92
2012-09-17,17.20,17.20,16.68,16.86,3340900,15.83
2012-09-14,17.30,17.30,16.78,16.90,7931500,15.86
2012-09-13,16.80,17.06,16.62,16.96,6614100,15.92
2012-09-12,17.50,17.58,16.84,17.00,8624800,15.90
2012-09-11,17.76,17.98,17.54,17.64,5757400,16.50
2012-09-10,17.42,17.90,17.30,17.88,7695600,16.72
2012-09-07,17.20,17.50,17.20,17.46,8446000,16.33
2012-09-06,16.94,17.30,16.66,17.26,7151800,16.14
2012-09-05,17.00,17.44,16.90,17.06,10127200,15.96
2012-09-04,17.10,17.16,16.78,16.82,3414200,15.73
2012-09-03,16.90,17.00,16.52,16.92,3086900,15.83
2012-08-31,16.32,16.70,16.30,16.58,2422200,15.51
2012-08-30,16.76,16.80,16.28,16.40,2178000,15.34
2012-08-29,16.94,16.94,16.56,16.70,2573200,15.62
2012-08-28,16.64,16.96,16.40,16.70,3401000,15.62
2012-08-27,16.80,16.80,16.40,16.58,3099000,15.51
2012-08-24,16.54,16.90,16.54,16.70,1923400,15.62
2012-08-23,16.60,16.80,16.54,16.74,3418300,15.66
2012-08-22,16.90,16.90,16.40,16.46,5700400,15.40
2012-08-21,17.30,17.30,16.78,17.06,6917200,15.96
2012-08-20,16.14,17.30,16.10,17.18,7912400,16.07
2012-08-17,16.20,16.40,16.10,16.38,4526000,15.32
2012-08-16,16.48,16.48,16.12,16.38,3021000,15.32
2012-08-15,16.24,16.44,16.04,16.28,2619000,15.23
2012-08-14,16.18,16.48,16.16,16.46,4330300,15.40
2012-08-13,15.86,16.12,15.86,15.98,2525500,14.95
2012-08-10,15.46,15.92,15.46,15.90,3603000,14.87
2012-08-09,15.74,15.82,15.52,15.62,4556900,14.61
2012-08-08,15.68,15.84,15.32,15.62,8280600,14.61
2012-08-07,16.66,16.70,15.32,15.54,12318800,14.54
2012-08-06,17.42,17.42,16.56,16.70,4867300,15.62
2012-08-03,16.70,17.00,16.60,16.84,3285400,15.75
2012-08-02,17.10,17.10,16.60,16.70,5537700,15.62
2012-08-01,16.20,17.22,16.18,17.10,11024200,15.99
2012-07-31,16.32,16.40,16.14,16.36,9154600,15.30
2012-07-30,16.14,16.32,15.84,15.94,7089500,14.91
2012-07-27,15.90,16.14,15.88,16.12,7970500,15.08
2012-07-26,15.78,16.08,15.74,15.96,7711900,14.93
2012-07-25,16.12,16.12,15.84,15.90,9313600,14.87
2012-07-24,16.56,16.62,16.28,16.32,3306300,15.26
2012-07-23,16.30,16.58,16.14,16.28,4406100,15.23
2012-07-20,16.58,16.58,16.32,16.42,3451500,15.36
2012-07-19,16.28,16.66,16.10,16.62,10171700,15.55
2012-07-18,16.00,16.10,15.94,16.06,3832800,15.02
2012-07-17,15.90,16.16,15.90,16.16,5428800,15.12
2012-07-16,16.10,16.10,15.82,15.96,5999000,14.93
2012-07-13,16.00,16.06,15.82,15.96,6202600,14.93
2012-07-12,15.86,16.06,15.60,15.80,3894100,14.78
2012-07-11,15.64,16.00,15.64,16.00,3307200,14.97
2012-07-10,15.78,15.96,15.74,15.86,2928500,14.83
2012-07-09,15.76,15.94,15.40,15.86,4495400,14.83
2012-07-06,15.76,15.86,15.50,15.84,6003900,14.82
2012-07-05,15.80,15.86,15.40,15.70,3692900,14.68
2012-07-04,15.62,16.00,15.62,15.78,3173000,14.76
2012-07-03,15.90,15.90,15.52,15.62,6397100,14.61
2012-07-02,15.90,15.90,15.90,15.90,000,14.87
2012-06-29,15.86,15.96,15.66,15.90,11935300,14.87
2012-06-28,15.68,15.70,15.28,15.54,9503400,14.54
2012-06-27,15.08,15.50,14.90,15.50,8561900,14.50
2012-06-26,15.00,15.04,14.76,14.78,6387100,13.82
2012-06-25,14.82,15.06,14.82,14.98,5113800,14.01
2012-06-22,14.86,15.08,14.64,14.70,4262300,13.75
2012-06-21,15.02,15.10,14.92,15.06,5379200,14.09
2012-06-20,14.74,14.96,14.70,14.92,5905600,13.96
2012-06-19,14.80,14.90,14.64,14.74,5446200,13.79
2012-06-18,14.80,14.90,14.62,14.76,7239600,13.81
2012-06-15,14.46,14.66,14.24,14.46,6248000,13.52
2012-06-14,14.86,14.86,14.38,14.40,3842800,13.47
2012-06-13,14.34,14.46,14.16,14.46,6711200,13.52
2012-06-12,14.46,14.52,14.38,14.40,5718600,13.47
2012-06-11,14.78,14.84,14.62,14.78,8298600,13.60
2012-06-08,14.36,14.74,14.24,14.64,14346000,13.47
2012-06-07,14.46,14.48,14.20,14.20,5966200,13.07
2012-06-06,14.12,14.38,14.06,14.26,14459900,13.12
2012-06-05,14.00,14.28,13.90,14.04,6366900,12.92
2012-06-04,14.00,14.06,13.84,13.94,4077800,12.83
2012-06-01,13.90,14.28,13.88,14.12,9206300,12.99
2012-05-31,13.98,14.12,13.80,14.04,17834000,12.92
2012-05-30,13.86,13.90,13.46,13.72,5232000,12.62
2012-05-29,13.72,13.86,13.70,13.84,1802000,12.73
2012-05-28,13.66,13.90,13.62,13.72,2669700,12.62
2012-05-25,13.96,13.98,13.58,13.60,4580600,12.51
2012-05-24,13.88,14.10,13.78,13.82,2697300,12.72
2012-05-23,14.00,14.32,13.80,13.88,4840800,12.77
2012-05-22,13.96,14.40,13.94,14.30,6244000,13.16
2012-05-21,14.00,14.10,13.96,14.04,4791900,12.92
2012-05-18,14.42,14.42,13.80,14.00,7486600,12.88
2012-05-17,13.74,14.58,13.64,14.42,13882100,13.27
2012-05-16,13.70,13.92,13.56,13.74,9786000,12.64
2012-05-15,13.48,13.62,13.46,13.48,3245800,12.40
2012-05-14,13.60,13.86,13.50,13.62,3655100,12.53
2012-05-11,13.88,13.94,13.54,13.68,3804300,12.59
2012-05-10,13.70,13.82,13.62,13.76,3076000,12.66
2012-05-09,13.66,13.76,13.54,13.60,2769800,12.51
2012-05-08,13.76,13.82,13.64,13.68,1838000,12.59
2012-05-07,13.62,13.78,13.60,13.72,3208000,12.62
2012-05-04,14.02,14.06,13.74,13.80,5237400,12.70
2012-05-03,14.06,14.16,13.92,13.96,2028300,12.85
2012-05-02,14.16,14.28,14.00,14.06,3938200,12.94
2012-05-01,14.16,14.16,14.16,14.16,000,13.03
2012-04-30,13.86,14.22,13.86,14.16,4531100,13.03
2012-04-27,13.86,13.98,13.78,13.86,3669300,12.75
2012-04-26,13.72,13.84,13.70,13.80,2186800,12.70
2012-04-25,13.76,13.78,13.70,13.70,3221800,12.61
2012-04-24,13.70,13.92,13.70,13.76,2439400,12.66
2012-04-23,14.00,14.00,13.66,13.70,2820400,12.61
2012-04-20,13.90,14.10,13.84,14.08,3870700,12.96
2012-04-19,14.20,14.24,13.72,13.94,6371000,12.83
2012-04-18,13.92,14.34,13.80,14.32,5942400,13.18
2012-04-17,13.62,13.88,13.62,13.80,3347500,12.70
2012-04-16,13.70,13.72,13.54,13.60,3927500,12.51
2012-04-13,13.96,13.96,13.64,13.72,5797700,12.62
2012-04-12,13.60,13.78,13.42,13.74,4121900,12.64
2012-04-11,13.54,13.62,13.42,13.58,3488600,12.50
2012-04-10,13.52,13.86,13.50,13.52,4450900,12.44
2012-04-09,13.64,13.64,13.64,13.64,000,12.55
2012-04-06,13.64,13.64,13.64,13.64,000,12.55
2012-04-05,13.72,13.76,13.54,13.64,8845900,12.55
2012-04-04,14.02,14.02,14.02,14.02,000,12.90
2012-04-03,14.06,14.20,13.80,14.02,6926500,12.90
2012-04-02,14.40,14.40,14.06,14.12,2949900,12.99
2012-03-30,14.30,14.42,14.08,14.38,4481100,13.23
2012-03-29,14.30,14.38,14.02,14.06,4898400,12.94
2012-03-28,14.64,14.64,14.12,14.36,4831700,13.21
2012-03-27,14.90,14.90,14.42,14.56,3935900,13.40
2012-03-26,14.26,14.70,14.26,14.68,1876400,13.51
2012-03-23,14.54,14.54,14.14,14.16,2690200,13.03
2012-03-22,14.50,14.64,14.34,14.48,5779200,13.32
2012-03-21,14.98,14.98,14.42,14.48,4872900,13.32
2012-03-20,14.88,15.00,14.68,14.90,4919400,13.71
2012-03-19,15.38,15.40,14.78,14.80,6308400,13.62
2012-03-16,15.30,15.48,15.20,15.22,6925600,14.00
2012-03-15,15.20,15.30,15.00,15.26,7543000,14.04
2012-03-14,15.40,15.48,15.14,15.26,9063200,14.04
2012-03-13,15.20,15.38,15.06,15.36,4413600,14.13
2012-03-12,15.38,15.38,14.90,15.08,3239300,13.88
2012-03-09,15.02,15.38,14.78,15.20,14311600,13.99
2012-03-08,14.90,15.04,14.82,15.00,6829400,13.80
2012-03-07,14.42,14.84,14.42,14.78,10460800,13.60
2012-03-06,14.68,14.80,14.60,14.68,4395500,13.51
2012-03-05,14.88,14.98,14.48,14.68,9456300,13.51
2012-03-02,15.60,15.60,14.84,14.88,8943700,13.69
2012-03-01,15.18,15.54,15.12,15.46,7693400,14.23
2012-02-29,14.98,15.28,14.92,15.26,5984900,14.04
2012-02-28,14.72,15.00,14.62,14.94,6321100,13.75
2012-02-27,14.92,15.16,14.60,14.72,3978200,13.54
2012-02-24,14.84,15.04,14.84,15.02,2943300,13.82
2012-02-23,14.98,15.04,14.80,14.82,3798000,13.64
2012-02-22,15.08,15.14,14.84,15.04,4269000,13.84
2012-02-21,15.12,15.26,15.00,15.10,4661000,13.89
2012-02-20,15.80,15.88,15.08,15.10,8690600,13.89
2012-02-17,15.44,15.92,15.40,15.82,12360900,14.56
2012-02-16,15.30,15.42,15.16,15.36,5257900,14.13
2012-02-15,14.80,15.42,14.80,15.42,3842400,14.19
2012-02-14,15.06,15.20,14.86,14.94,3086700,13.75
2012-02-13,15.20,15.28,15.14,15.20,2574300,13.99
2012-02-10,15.02,15.26,15.00,15.26,4794800,14.04
2012-02-09,15.48,15.48,15.08,15.22,6597200,14.00
2012-02-08,15.46,15.62,15.22,15.48,9016000,14.24
2012-02-07,15.18,15.40,15.00,15.32,7037900,14.10
2012-02-06,14.72,15.10,14.72,15.00,5597700,13.80
2012-02-03,14.60,14.78,14.60,14.72,4453400,13.54
2012-02-02,14.96,14.98,14.60,14.72,6548200,13.54
2012-02-01,15.16,15.16,14.80,14.96,4053100,13.77
2012-01-31,14.98,15.16,14.80,15.14,10541600,13.93
2012-01-30,14.60,15.02,14.50,14.70,7040500,13.53
2012-01-27,14.70,15.08,14.70,14.90,6106300,13.71
2012-01-26,14.80,14.96,14.64,14.70,4193900,13.53
2012-01-25,14.68,14.68,14.68,14.68,000,13.51
2012-01-24,14.68,14.68,14.68,14.68,000,13.51
2012-01-23,14.68,14.68,14.68,14.68,000,13.51
2012-01-20,15.08,15.08,14.50,14.68,9290300,13.51
2012-01-19,15.30,15.60,14.98,15.00,5829600,13.80
2012-01-18,16.08,16.10,15.12,15.46,5914000,14.23
2012-01-17,15.52,16.20,15.52,16.18,7789600,14.89
2012-01-16,15.52,15.72,15.46,15.64,3596300,14.39
2012-01-13,15.36,15.78,15.36,15.74,10558300,14.48
2012-01-12,15.28,15.46,15.08,15.40,8437800,14.17
2012-01-11,14.92,15.20,14.90,15.12,3923000,13.91
2012-01-10,14.86,15.00,14.70,14.92,3804900,13.73
2012-01-09,14.60,15.00,14.42,14.98,2081200,13.78
2012-01-06,14.62,14.74,14.48,14.68,3133300,13.51
2012-01-05,14.50,15.00,14.50,14.86,2811500,13.67
2012-01-04,14.94,14.94,14.58,14.72,2299100,13.54
2012-01-03,15.28,15.30,14.86,14.90,2820200,13.71
2012-01-02,14.98,14.98,14.98,14.98,000,13.78
2011-12-30,14.78,15.00,14.72,14.98,3527000,13.78
2011-12-29,14.62,14.76,14.38,14.64,3102400,13.47
2011-12-28,14.42,14.82,14.36,14.80,1995900,13.62
2011-12-27,14.68,14.68,14.68,14.68,000,13.51
2011-12-26,14.68,14.68,14.68,14.68,000,13.51
2011-12-23,14.36,14.70,14.26,14.68,1836300,13.51
