Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,33.60,34.00,33.60,33.95,6064300,31.31
2012-12-28,34.00,34.05,33.70,33.95,16514500,31.31
2012-12-27,33.75,34.00,33.60,33.75,9162800,31.13
2012-12-26,33.55,33.55,33.55,33.55,000,30.95
2012-12-25,33.55,33.55,33.55,33.55,000,30.95
2012-12-24,33.70,33.95,33.55,33.55,6124700,30.95
2012-12-21,34.20,34.20,33.40,33.70,25811400,31.08
2012-12-20,33.65,33.90,33.35,33.75,19091800,31.13
2012-12-19,33.00,33.70,33.00,33.65,19213100,31.04
2012-12-18,33.00,33.30,32.45,32.60,14751600,30.07
2012-12-17,32.35,33.00,32.30,32.95,15900600,30.39
2012-12-14,31.75,32.90,31.75,32.65,17473100,30.12
2012-12-13,32.00,32.35,31.75,32.00,9330000,29.52
2012-12-12,32.10,32.25,31.85,32.20,12276200,29.70
2012-12-11,31.80,32.00,31.60,31.80,14854100,29.33
2012-12-10,32.40,32.55,31.70,31.90,15676900,29.42
2012-12-07,32.00,32.70,31.95,32.20,16738100,29.70
2012-12-06,32.25,32.25,31.70,31.95,15149100,29.47
2012-12-05,30.55,31.75,30.55,31.65,18057000,29.19
2012-12-04,31.00,31.00,30.55,30.75,15437300,28.36
2012-12-03,31.75,32.00,30.80,31.00,16821800,28.59
2012-11-30,31.40,31.90,31.20,31.75,14332400,29.29
2012-11-29,31.65,31.65,31.20,31.40,12550700,28.96
2012-11-28,31.55,31.70,31.05,31.35,17503500,28.92
2012-11-27,32.45,32.45,31.95,32.00,9977300,29.52
2012-11-26,32.45,32.50,31.75,32.20,10477800,29.70
2012-11-23,31.90,32.45,31.85,32.30,12213600,29.79
2012-11-22,31.15,32.00,31.00,31.75,15251200,29.29
2012-11-21,30.90,31.05,30.50,31.05,11359400,28.64
2012-11-20,31.30,31.35,30.50,30.55,11298000,28.18
2012-11-19,30.95,31.35,30.30,30.80,12661400,28.41
2012-11-16,30.40,30.90,30.40,30.75,12728700,28.36
2012-11-15,30.70,30.85,30.30,30.45,9862900,28.09
2012-11-14,31.05,31.15,30.80,31.10,14225100,28.69
2012-11-13,31.40,31.50,30.65,30.75,19395500,28.36
2012-11-12,31.50,32.05,31.35,31.55,12267000,29.10
2012-11-09,31.50,31.85,31.40,31.80,14991700,29.33
