Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,12.52,12.52,12.40,12.42,13405800,12.06
2012-12-28,12.58,12.58,12.44,12.54,19617100,12.17
2012-12-27,12.36,12.54,12.30,12.38,23342800,12.02
2012-12-26,12.26,12.26,12.26,12.26,000,11.90
2012-12-25,12.26,12.26,12.26,12.26,000,11.90
2012-12-24,12.16,12.32,12.10,12.26,9195700,11.90
2012-12-21,12.30,12.30,12.00,12.16,53475400,11.80
2012-12-20,12.22,12.26,12.00,12.14,38168400,11.78
2012-12-19,12.12,12.16,12.00,12.06,22813400,11.71
2012-12-18,12.08,12.14,11.94,11.98,32737900,11.63
2012-12-17,12.16,12.36,12.08,12.14,20629400,11.78
2012-12-14,12.24,12.38,12.24,12.32,34760700,11.96
2012-12-13,12.38,12.46,12.24,12.38,21094300,12.02
2012-12-12,12.56,12.56,12.46,12.52,24117100,12.15
2012-12-11,12.48,12.50,12.28,12.38,20909700,12.02
2012-12-10,12.34,12.48,12.26,12.38,19899600,12.02
2012-12-07,12.32,12.32,12.14,12.22,10892800,11.86
2012-12-06,12.32,12.32,12.12,12.26,18647100,11.90
2012-12-05,11.90,12.26,11.86,12.24,23080600,11.88
2012-12-04,11.92,12.02,11.82,11.84,15414600,11.49
2012-12-03,12.10,12.34,11.78,11.84,17935900,11.49
2012-11-30,11.90,12.12,11.90,12.08,27046700,11.73
2012-11-29,11.98,12.08,11.86,12.02,16267100,11.67
2012-11-28,11.98,11.98,11.80,11.84,23580700,11.49
2012-11-27,12.38,12.38,12.04,12.10,19949000,11.75
2012-11-26,12.40,12.40,12.16,12.30,17147900,11.94
2012-11-23,12.30,12.38,12.22,12.36,26504400,12.00
2012-11-22,11.98,12.30,11.88,12.20,39971600,11.84
2012-11-21,11.70,11.94,11.68,11.84,14913900,11.49
2012-11-20,11.94,11.98,11.64,11.70,23792100,11.36
2012-11-19,11.56,11.84,11.50,11.78,33069300,11.44
2012-11-16,11.14,11.50,11.14,11.48,33258400,11.14
2012-11-15,11.42,11.42,11.10,11.16,31089600,10.83
2012-11-14,11.40,11.56,11.34,11.42,25513500,11.09
2012-11-13,11.72,11.72,11.36,11.44,35221300,11.11
2012-11-12,11.88,11.96,11.58,11.62,34902500,11.28
2012-11-09,12.02,12.06,11.90,11.98,26746400,11.63
2012-11-08,12.30,12.30,12.06,12.14,23769000,11.78
2012-11-07,12.34,12.42,12.20,12.38,14525200,12.02
2012-11-06,12.38,12.46,12.20,12.20,22652800,11.84
2012-11-05,12.66,12.66,12.18,12.24,46772300,11.88
2012-11-02,12.90,12.94,12.38,12.44,39498800,12.08
2012-11-01,12.50,12.90,12.50,12.74,27004600,12.37
2012-10-31,12.38,12.70,12.38,12.66,26214100,12.29
2012-10-30,12.58,12.58,12.22,12.34,33172600,11.98
2012-10-29,12.64,12.66,12.40,12.58,39738200,12.21
2012-10-26,13.20,13.20,12.72,12.72,79429800,12.35
2012-10-25,13.50,13.80,13.26,13.76,29448800,13.36
2012-10-24,13.68,13.68,13.40,13.52,32034500,13.12
2012-10-23,13.68,13.68,13.68,13.68,000,13.28
2012-10-22,13.34,13.72,13.28,13.68,22775400,13.28
2012-10-19,13.50,13.56,13.34,13.50,21456800,13.11
2012-10-18,13.40,13.48,13.32,13.38,20588400,12.99
2012-10-17,13.40,13.44,13.16,13.30,13477500,12.91
2012-10-16,13.40,13.40,13.08,13.30,14033300,12.91
2012-10-15,13.28,13.30,13.04,13.28,8773000,12.89
2012-10-12,13.14,13.28,13.06,13.26,16346600,12.87
2012-10-11,12.84,13.12,12.80,13.06,15451300,12.68
2012-10-10,12.88,12.92,12.76,12.84,15601900,12.46
2012-10-09,12.84,12.98,12.76,12.92,25408600,12.54
2012-10-08,12.82,12.90,12.56,12.70,15366900,12.33
2012-10-05,12.96,12.98,12.80,12.92,9370500,12.54
2012-10-04,12.64,12.90,12.64,12.88,6123500,12.50
2012-10-03,13.10,13.10,12.70,12.80,17705700,12.43
2012-10-02,12.72,12.72,12.72,12.72,000,12.35
2012-10-01,12.72,12.72,12.72,12.72,000,12.35
2012-09-28,12.66,12.74,12.50,12.72,15265300,12.35
2012-09-27,12.54,12.66,12.44,12.64,19539500,12.27
2012-09-26,12.72,12.76,12.46,12.54,17121600,12.17
2012-09-25,12.84,12.84,12.62,12.76,14599200,12.39
2012-09-24,12.70,12.90,12.54,12.72,18730300,12.35
2012-09-21,12.56,12.90,12.48,12.70,61517200,12.33
2012-09-20,12.90,13.06,12.42,12.46,52576800,12.10
2012-09-19,13.14,13.26,13.02,13.14,26728800,12.76
2012-09-18,13.20,13.26,12.72,12.84,37947500,12.46
2012-09-17,13.50,13.50,13.08,13.26,19232600,12.87
2012-09-14,13.30,13.50,13.24,13.48,33146300,13.09
2012-09-13,12.86,13.20,12.74,13.10,27339000,12.72
2012-09-12,12.72,12.84,12.62,12.84,14769000,12.46
2012-09-11,12.62,12.70,12.40,12.62,14748100,12.25
2012-09-10,12.46,12.88,12.46,12.58,22829800,12.21
2012-09-07,12.44,12.62,12.22,12.50,25007900,12.13
2012-09-06,12.18,12.34,12.02,12.24,20499400,11.88
2012-09-05,12.26,12.42,12.08,12.16,22274900,11.80
2012-09-04,12.22,12.46,12.10,12.26,35657600,11.90
2012-09-03,12.10,12.46,12.10,12.16,35717600,11.80
2012-08-31,12.60,12.66,12.20,12.28,40652600,11.92
2012-08-30,12.84,12.98,12.74,12.82,20489300,12.45
2012-08-29,12.84,13.04,12.76,12.96,21467700,12.58
2012-08-28,13.00,13.08,12.66,13.02,18385300,12.64
2012-08-27,12.92,13.16,12.92,13.00,26058700,12.62
2012-08-24,13.78,13.78,13.00,13.10,103159300,12.72
2012-08-23,12.40,13.04,12.40,13.02,52890800,12.64
2012-08-22,12.42,12.76,12.20,12.52,43585000,12.15
2012-08-21,12.08,12.74,12.06,12.62,60609300,12.25
2012-08-20,11.90,12.22,11.76,12.18,37994900,11.82
2012-08-17,12.20,12.20,11.70,11.86,47258400,11.51
2012-08-16,12.26,12.36,12.10,12.18,26924900,11.82
2012-08-15,12.78,12.78,12.24,12.26,19436300,11.90
2012-08-14,12.56,12.74,12.40,12.70,22082700,12.33
2012-08-13,12.52,12.62,12.34,12.40,19169700,12.04
2012-08-10,12.50,12.50,12.30,12.42,26607300,12.06
2012-08-09,12.26,12.44,12.26,12.42,21378800,12.06
2012-08-08,12.28,12.32,12.02,12.26,27110300,11.90
2012-08-07,12.00,12.28,11.96,12.22,41174100,11.86
2012-08-06,11.78,11.98,11.72,11.96,37270400,11.61
2012-08-03,11.26,11.54,11.26,11.48,17718600,11.14
2012-08-02,11.42,11.64,11.22,11.46,23347700,11.12
2012-08-01,11.40,11.42,11.20,11.38,21974500,11.05
2012-07-31,11.68,11.80,11.34,11.44,35119300,11.11
2012-07-30,11.42,11.74,11.36,11.72,27709300,11.38
2012-07-27,11.40,11.52,11.28,11.50,34259000,11.16
2012-07-26,10.86,11.42,10.78,11.24,66747600,10.91
2012-07-25,10.34,11.02,10.32,10.98,55945800,10.66
2012-07-24,10.50,10.58,10.24,10.40,26420600,10.10
2012-07-23,10.58,10.58,10.26,10.38,49570900,10.08
2012-07-20,10.20,10.84,10.12,10.74,81784200,10.43
2012-07-19,9.70,10.16,9.60,10.02,38804300,9.73
2012-07-18,9.80,9.82,9.45,9.51,38873300,9.23
2012-07-17,9.69,10.00,9.69,9.82,26719600,9.53
2012-07-16,9.70,9.86,9.60,9.68,14164100,9.40
2012-07-13,9.73,9.88,9.63,9.69,16911700,9.41
2012-07-12,10.12,10.12,9.50,9.72,28767700,9.44
2012-07-11,10.00,10.16,9.92,10.10,17044300,9.80
2012-07-10,10.20,10.26,10.04,10.12,12919000,9.82
2012-07-09,10.46,10.48,10.04,10.20,19038000,9.90
2012-07-06,10.66,10.66,10.38,10.54,26112200,10.23
2012-07-05,10.38,10.60,10.24,10.54,38699500,10.23
2012-07-04,10.02,10.34,9.93,10.26,39991600,9.96
2012-07-03,9.78,9.94,9.78,9.93,22355000,9.64
2012-07-02,9.76,9.76,9.76,9.76,000,9.47
2012-06-29,9.60,9.80,9.54,9.76,32361600,9.47
2012-06-28,9.60,9.66,9.47,9.50,14098900,9.22
2012-06-27,9.75,9.75,9.53,9.59,24845000,9.31
2012-06-26,9.60,9.70,9.58,9.61,31683400,9.33
2012-06-25,9.77,9.77,9.51,9.53,28644900,9.25
2012-06-22,9.72,9.83,9.68,9.71,33052600,9.43
2012-06-21,10.18,10.32,9.99,10.02,53650600,9.73
2012-06-20,10.78,10.78,10.36,10.40,46638000,10.10
2012-06-19,10.98,10.98,10.76,10.82,23658400,10.50
2012-06-18,11.04,11.14,10.82,10.94,24836000,10.62
2012-06-15,10.90,11.04,10.76,10.96,43113200,10.64
2012-06-14,11.20,11.20,10.74,10.78,15125400,10.46
2012-06-13,10.80,11.04,10.62,11.04,24280600,10.72
2012-06-12,10.82,10.98,10.72,10.80,29114100,10.48
2012-06-11,10.88,11.08,10.72,11.06,46645100,10.74
2012-06-08,10.54,10.54,10.14,10.38,28762600,10.08
2012-06-07,10.44,10.58,10.30,10.32,40032900,10.02
2012-06-06,10.20,10.34,10.12,10.28,31512300,9.98
2012-06-05,10.10,10.18,9.95,10.08,37535800,9.79
2012-06-04,10.52,10.56,9.95,10.04,54355800,9.75
2012-06-01,10.70,10.96,10.58,10.64,50453000,10.33
2012-05-31,10.66,10.76,10.28,10.66,115315800,10.35
2012-05-30,11.06,11.12,10.70,10.96,38199800,10.52
2012-05-29,11.10,11.24,11.06,11.16,17394200,10.71
2012-05-28,11.04,11.30,11.04,11.08,19470400,10.64
2012-05-25,11.36,11.38,10.96,11.14,28063100,10.69
2012-05-24,11.66,11.70,11.26,11.38,31842000,10.92
2012-05-23,11.76,11.76,11.50,11.66,36035600,11.19
2012-05-22,11.78,11.90,11.58,11.64,29277900,11.17
2012-05-21,11.74,11.98,11.68,11.80,29234400,11.33
2012-05-18,11.40,11.72,11.34,11.64,42004300,11.17
2012-05-17,12.20,12.22,11.46,11.72,53815100,11.25
2012-05-16,12.24,12.40,11.62,11.74,72848300,11.27
2012-05-15,12.54,12.66,12.36,12.56,32741300,12.06
2012-05-14,12.74,12.82,12.58,12.68,19744800,12.17
2012-05-11,12.94,13.04,12.76,12.82,40624800,12.31
2012-05-10,13.00,13.18,12.92,13.08,19653700,12.56
2012-05-09,13.24,13.36,12.96,13.00,20445700,12.48
2012-05-08,13.44,13.46,13.22,13.40,12339300,12.86
2012-05-07,13.64,13.64,13.36,13.40,16225700,12.86
2012-05-04,13.68,13.96,13.62,13.78,18392000,13.23
2012-05-03,13.44,13.76,13.44,13.74,23747600,13.19
2012-05-02,13.68,13.78,13.52,13.58,31062300,13.04
2012-05-01,13.82,13.82,13.82,13.82,000,13.27
2012-04-30,13.80,13.84,13.54,13.80,25816400,13.25
2012-04-27,13.42,13.84,13.42,13.78,36969200,13.23
2012-04-26,13.00,13.64,13.00,13.54,49980500,13.00
2012-04-25,13.00,13.08,12.90,13.02,8366000,12.50
2012-04-24,12.86,13.04,12.82,13.00,17722600,12.48
2012-04-23,13.16,13.20,12.92,12.92,18198500,12.40
2012-04-20,13.60,13.60,13.16,13.22,23736900,12.69
2012-04-19,13.30,13.50,13.26,13.48,20343200,12.94
2012-04-18,13.30,13.30,13.16,13.24,20264600,12.71
2012-04-17,13.22,13.28,13.10,13.24,30066900,12.71
2012-04-16,12.96,13.12,12.92,13.10,12763800,12.57
2012-04-13,13.10,13.10,12.84,13.00,24695200,12.48
2012-04-12,12.70,13.00,12.60,12.86,22312800,12.34
2012-04-11,12.88,12.88,12.64,12.70,22746400,12.19
2012-04-10,13.16,13.16,12.90,12.90,21912800,12.38
2012-04-09,13.30,13.30,13.30,13.30,000,12.77
2012-04-06,13.30,13.30,13.30,13.30,000,12.77
2012-04-05,13.40,13.40,12.96,13.30,21699800,12.77
2012-04-04,13.26,13.26,13.26,13.26,000,12.73
2012-04-03,13.00,13.26,12.90,13.26,19514100,12.73
2012-04-02,13.16,13.16,12.84,12.90,16096600,12.38
2012-03-30,13.16,13.20,12.98,13.16,21989000,12.63
2012-03-29,13.00,13.12,12.90,13.02,21643300,12.50
2012-03-28,13.28,13.30,13.06,13.10,28318400,12.57
2012-03-27,13.50,13.60,13.30,13.48,21480700,12.94
2012-03-26,13.40,13.52,13.30,13.40,45955700,12.86
2012-03-23,12.78,13.52,12.64,13.24,67386700,12.71
2012-03-22,13.00,13.20,12.90,13.12,32049700,12.59
2012-03-21,13.00,13.10,12.84,12.90,40437900,12.38
2012-03-20,13.26,13.30,12.68,12.86,66177400,12.34
2012-03-19,13.52,13.66,13.18,13.26,57353400,12.73
2012-03-16,14.02,14.22,13.70,13.74,83510400,13.19
2012-03-15,13.90,14.08,13.74,13.98,43097900,13.42
2012-03-14,14.10,14.24,13.84,13.88,56110400,13.32
2012-03-13,13.86,14.14,13.78,13.84,48837100,13.28
2012-03-12,14.20,14.26,13.78,13.88,48834100,13.32
2012-03-09,14.38,14.38,13.92,14.18,28370600,13.61
2012-03-08,14.00,14.28,13.96,14.26,55375900,13.69
2012-03-07,13.60,13.92,13.60,13.86,45929400,13.30
2012-03-06,13.74,13.86,13.48,13.50,40101000,12.96
2012-03-05,13.92,13.98,13.50,13.68,23591800,13.13
2012-03-02,13.92,14.00,13.80,13.90,16571400,13.34
2012-03-01,13.98,14.02,13.74,13.84,23408900,13.28
2012-02-29,13.96,14.06,13.82,14.00,20024000,13.44
2012-02-28,13.98,14.20,13.78,13.96,38871800,13.40
2012-02-27,14.18,14.34,13.92,13.98,26240400,13.42
2012-02-24,14.48,14.48,14.10,14.14,24064900,13.57
2012-02-23,14.34,14.56,14.20,14.24,18084400,13.67
2012-02-22,14.22,14.54,14.22,14.52,29415800,13.94
2012-02-21,14.20,14.52,14.06,14.50,35871600,13.92
2012-02-20,14.70,14.70,14.10,14.18,29170900,13.61
2012-02-17,14.68,14.68,14.26,14.42,26679700,13.84
2012-02-16,14.50,14.70,14.48,14.54,14514000,13.96
2012-02-15,14.24,14.78,14.24,14.76,38805100,14.17
2012-02-14,14.32,14.42,14.16,14.28,19240200,13.71
2012-02-13,14.02,14.38,14.02,14.30,19129400,13.73
2012-02-10,14.30,14.40,14.06,14.18,29764400,13.61
2012-02-09,14.36,14.40,14.16,14.36,43431500,13.78
2012-02-08,14.30,14.58,14.14,14.50,55703300,13.92
2012-02-07,13.78,14.18,13.72,14.10,52549600,13.53
2012-02-06,14.26,14.32,13.54,13.66,94835300,13.11
2012-02-03,14.44,14.46,14.18,14.30,39221500,13.73
2012-02-02,14.72,14.72,14.28,14.44,45071000,13.86
2012-02-01,14.28,14.46,14.12,14.42,33229800,13.84
2012-01-31,14.34,14.38,14.04,14.28,54506200,13.71
2012-01-30,14.84,14.90,14.10,14.20,74084700,13.63
2012-01-27,14.66,15.10,14.58,14.98,37046900,14.38
2012-01-26,14.76,14.92,14.58,14.66,33178800,14.07
2012-01-25,14.66,14.66,14.66,14.66,000,14.07
2012-01-24,14.66,14.66,14.66,14.66,000,14.07
2012-01-23,14.66,14.66,14.66,14.66,000,14.07
2012-01-20,14.64,14.78,14.52,14.66,36220000,14.07
2012-01-19,14.98,14.98,14.34,14.50,62712500,13.92
2012-01-18,14.90,14.92,14.50,14.62,49032000,14.03
2012-01-17,14.70,15.16,14.56,15.12,42931100,14.51
2012-01-16,14.96,15.12,14.42,14.44,53514800,13.86
2012-01-13,15.00,15.30,15.00,15.16,62238200,14.55
2012-01-12,15.60,15.66,15.06,15.16,108016500,14.55
2012-01-11,16.22,16.30,15.66,15.86,63883700,15.22
2012-01-10,16.88,16.88,16.34,16.44,28047900,15.78
2012-01-09,16.70,16.78,16.34,16.72,23432400,16.05
2012-01-06,16.34,16.54,16.14,16.42,18157000,15.76
2012-01-05,16.48,16.74,16.42,16.64,12552100,15.97
2012-01-04,16.96,16.96,16.50,16.58,11713500,15.91
2012-01-03,16.82,16.92,16.66,16.78,15556000,16.11
2012-01-02,16.34,16.34,16.34,16.34,000,15.68
2011-12-30,16.64,16.72,16.26,16.34,13454400,15.68
2011-12-29,16.20,16.68,16.20,16.46,17505600,15.80
