Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,22.40,22.40,22.00,22.08,6591100,10.38
2012-12-28,22.84,22.84,22.52,22.56,4881700,10.60
2012-12-27,23.12,23.12,22.52,22.56,3651900,10.60
2012-12-26,22.76,22.76,22.76,22.76,000,10.70
2012-12-25,22.76,22.76,22.76,22.76,000,10.70
2012-12-24,23.00,23.00,22.64,22.76,998300,10.70
2012-12-21,23.20,23.20,22.92,23.00,2978400,10.81
2012-12-20,23.00,23.20,22.84,23.16,4469000,10.89
2012-12-19,22.96,23.12,21.80,23.04,5073600,10.83
2012-12-18,22.88,23.00,22.52,22.76,6486900,10.70
2012-12-17,22.96,23.16,22.64,22.80,4838300,10.72
2012-12-14,22.84,23.20,22.60,22.96,5966200,10.79
2012-12-13,23.04,23.12,22.60,22.96,5542700,10.79
2012-12-12,22.80,22.96,22.52,22.64,5206400,10.64
2012-12-11,23.00,23.12,22.48,22.60,5483000,10.62
2012-12-10,22.88,23.20,22.80,23.20,7956500,10.90
2012-12-07,22.60,22.76,22.52,22.72,10148700,10.68
2012-12-06,22.68,22.76,22.08,22.40,4706100,10.53
2012-12-05,21.40,22.36,21.40,22.28,5527400,10.47
2012-12-04,21.40,21.92,21.40,21.64,2630100,10.17
2012-12-03,21.96,22.08,21.60,21.60,3465200,10.15
2012-11-30,22.00,22.16,21.76,21.88,5863700,10.28
2012-11-29,22.32,22.32,21.68,21.96,3241900,10.32
2012-11-28,22.12,22.12,21.64,22.00,2606900,10.34
2012-11-27,22.60,22.64,21.84,22.12,5424400,10.40
2012-11-26,22.00,22.60,22.00,22.56,12777400,10.60
2012-11-23,21.40,22.00,21.24,21.92,5751300,10.30
2012-11-22,21.56,21.60,21.20,21.32,000,10.02
2012-11-21,21.36,21.40,20.80,21.32,7829500,10.02
2012-11-20,21.80,21.80,20.88,21.08,8694600,9.91
2012-11-19,20.44,21.60,20.44,21.48,12721800,10.10
2012-11-16,20.12,20.52,19.94,20.28,13399800,9.53
2012-11-15,20.12,20.24,19.88,19.90,9871300,9.35
2012-11-14,20.64,20.84,20.40,20.44,10237200,9.61
2012-11-13,21.28,21.36,20.64,20.68,4714600,9.72
2012-11-12,21.16,21.52,21.16,21.24,4941800,9.98
2012-11-09,21.52,21.52,21.08,21.12,7140000,9.93
2012-11-08,21.68,21.84,21.48,21.60,4305500,10.15
2012-11-07,22.20,22.36,21.68,22.16,9683400,10.42
2012-11-06,22.80,22.80,21.84,22.08,12507100,10.38
2012-11-05,23.76,23.76,22.68,22.76,10362800,10.70
2012-11-02,23.88,24.00,23.48,23.96,9284300,11.26
2012-11-01,22.92,23.44,22.64,23.32,6175900,10.96
2012-10-31,22.60,23.04,22.60,22.88,3140400,10.75
2012-10-30,22.72,22.88,22.40,22.60,2719400,10.62
2012-10-29,22.52,22.92,22.20,22.72,3590000,10.68
2012-10-26,23.04,23.04,22.60,22.84,4520800,10.74
2012-10-25,22.80,23.36,22.68,22.84,6158100,10.74
2012-10-24,23.20,23.48,23.00,23.16,4623900,10.89
2012-10-23,23.52,23.52,23.52,23.52,000,11.06
2012-10-22,23.24,23.64,23.24,23.52,3138200,11.06
2012-10-19,23.36,23.64,23.16,23.52,4869700,11.06
2012-10-18,23.28,23.32,23.04,23.24,4789400,10.92
2012-10-17,22.00,23.32,22.00,23.28,14445700,10.94
2012-10-16,22.00,22.12,21.76,22.00,3751400,10.34
2012-10-15,22.12,22.20,21.72,21.76,4064700,10.23
2012-10-12,21.36,22.32,21.24,21.96,8063900,10.32
2012-10-11,21.20,21.60,21.20,21.36,2840700,10.04
2012-10-10,21.44,21.76,21.40,21.56,3931600,10.13
2012-10-09,21.56,21.96,21.56,21.64,2342400,10.17
2012-10-08,22.00,22.00,21.48,21.56,2843300,10.13
2012-10-05,21.40,22.00,21.40,22.00,5148700,10.34
2012-10-04,21.56,21.76,21.36,21.40,4812800,10.06
2012-10-03,22.00,22.00,21.36,21.40,4876000,10.06
2012-10-02,21.68,21.68,21.68,21.68,000,10.19
2012-10-01,21.68,21.68,21.68,21.68,000,10.19
2012-09-28,21.64,21.88,21.64,21.68,3219200,10.19
2012-09-27,21.24,21.72,21.20,21.64,5062500,10.17
2012-09-26,21.28,21.56,21.20,21.24,2234400,9.98
2012-09-25,21.88,21.92,21.20,21.56,2933400,10.13
2012-09-24,21.76,22.00,21.60,21.88,2869300,10.28
2012-09-21,22.00,22.00,21.60,21.76,6418200,10.23
2012-09-20,22.12,22.32,21.32,21.36,3985600,10.04
2012-09-19,22.36,22.36,22.00,22.04,5878900,10.36
2012-09-18,22.20,22.36,21.84,21.92,3108400,10.30
2012-09-17,22.04,22.20,21.52,22.08,7804000,10.38
2012-09-14,20.80,22.20,20.60,22.16,16638300,10.42
2012-09-13,20.40,20.56,20.12,20.24,2196500,9.51
2012-09-12,20.28,20.60,20.20,20.52,4790800,9.65
2012-09-11,19.94,20.12,19.52,20.00,6008000,9.40
2012-09-10,19.80,20.28,19.78,19.88,10345300,9.34
2012-09-07,19.76,20.32,19.60,20.04,8883400,9.23
2012-09-06,19.04,19.76,19.04,19.62,3523000,9.03
2012-09-05,19.40,19.40,19.00,19.12,4827800,8.80
2012-09-04,19.20,19.52,19.12,19.28,3194400,8.88
2012-09-03,19.06,19.48,19.06,19.20,8766600,8.84
2012-08-31,19.82,19.86,19.04,19.14,7958500,8.81
2012-08-30,20.04,20.20,19.80,19.86,7943700,9.14
2012-08-29,20.68,20.72,20.24,20.32,6397200,9.36
2012-08-28,20.80,20.88,20.16,20.80,3759300,9.58
2012-08-27,20.96,21.08,20.36,20.88,1586000,9.61
2012-08-24,21.00,21.00,20.60,20.80,2027300,9.58
2012-08-23,20.84,21.08,20.76,21.00,3903700,9.67
2012-08-22,21.04,21.36,20.56,20.84,3071900,9.60
2012-08-21,21.44,21.48,21.08,21.24,3467500,9.78
2012-08-20,21.04,21.52,21.04,21.32,2079400,9.82
2012-08-17,21.20,21.40,20.92,21.24,3642900,9.78
2012-08-16,21.56,21.56,20.92,20.96,1228900,9.65
2012-08-15,21.16,21.24,20.72,21.20,3109400,9.76
2012-08-14,21.56,21.68,20.96,21.16,4897800,9.74
2012-08-13,21.84,21.84,21.16,21.36,1631000,9.83
2012-08-10,21.36,21.60,21.12,21.40,2500400,9.85
2012-08-09,21.36,21.76,21.36,21.60,2383700,9.95
2012-08-08,21.36,21.76,21.04,21.36,4670800,9.83
2012-08-07,21.60,21.60,21.24,21.44,4388400,9.87
2012-08-06,21.48,21.60,21.28,21.52,2446000,9.91
2012-08-03,21.24,21.24,20.68,21.04,2783300,9.69
2012-08-02,21.92,21.92,21.40,21.64,3798400,9.96
2012-08-01,21.44,21.80,21.32,21.68,4995400,9.98
2012-07-31,21.20,21.52,21.12,21.44,3886900,9.87
2012-07-30,20.84,21.40,20.84,21.36,6222800,9.83
2012-07-27,20.76,21.00,20.72,20.84,9288800,9.60
2012-07-26,19.90,20.72,19.90,20.32,3432000,9.36
2012-07-25,20.00,20.24,19.66,19.90,4095000,9.16
2012-07-24,20.72,21.12,19.92,20.08,2526900,9.25
2012-07-23,20.20,20.60,20.04,20.12,2581200,9.26
2012-07-20,20.92,20.92,20.56,20.76,4132500,9.56
2012-07-19,20.80,20.96,20.68,20.92,7890300,9.63
2012-07-18,20.20,20.64,20.12,20.56,6224900,9.47
2012-07-17,19.52,20.40,19.52,20.16,4519300,9.28
2012-07-16,19.66,19.94,19.28,19.54,1949300,9.00
2012-07-13,19.40,19.78,19.38,19.64,4160100,9.04
2012-07-12,20.52,20.52,19.72,19.86,5349400,9.14
2012-07-11,20.08,20.60,19.88,20.48,4353900,9.43
2012-07-10,19.98,20.60,19.84,20.08,5313200,9.25
2012-07-09,20.76,20.76,19.84,19.90,3647900,9.16
2012-07-06,20.56,20.88,20.16,20.80,3927400,9.58
2012-07-05,20.40,20.88,20.20,20.76,2934000,9.56
2012-07-04,20.60,21.04,20.32,20.40,9605400,9.39
2012-07-03,21.40,21.44,21.08,21.24,10062400,9.78
2012-07-02,21.00,21.00,21.00,21.00,000,9.67
2012-06-29,19.84,21.08,19.76,21.00,8549200,9.67
2012-06-28,19.80,20.32,19.80,19.94,7021700,9.18
2012-06-27,19.34,19.78,19.16,19.76,4161000,9.10
2012-06-26,18.80,19.48,18.78,19.36,6930600,8.91
2012-06-25,19.20,19.56,18.70,18.74,2493900,8.63
2012-06-22,19.28,19.62,19.12,19.16,2328900,8.82
2012-06-21,20.24,20.32,19.30,19.34,4481500,8.90
2012-06-20,20.36,20.44,20.00,20.12,2636300,9.26
2012-06-19,20.40,20.40,19.84,20.40,5024700,9.39
