Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,30.40,30.55,30.00,30.35,4049300,30.35
2012-12-28,30.20,30.55,29.90,30.55,5728000,30.55
2012-12-27,30.00,30.40,29.50,29.80,8280700,29.80
2012-12-26,30.00,30.00,30.00,30.00,000,30.00
2012-12-25,30.00,30.00,30.00,30.00,000,30.00
2012-12-24,30.00,30.25,29.80,30.00,4924600,30.00
2012-12-21,30.75,30.90,30.10,30.30,8912000,30.30
2012-12-20,30.05,31.05,29.95,30.95,21393100,30.95
2012-12-19,29.80,29.90,29.00,29.75,14475200,29.75
2012-12-18,29.55,29.80,29.20,29.45,8003300,29.45
2012-12-17,29.60,29.60,29.05,29.30,7101000,29.30
2012-12-14,29.15,29.80,28.95,29.50,13215200,29.50
2012-12-13,29.40,29.40,28.75,29.00,8605400,29.00
2012-12-12,28.60,29.45,28.45,29.00,20580600,29.00
2012-12-11,28.50,28.50,28.00,28.15,12089900,28.15
2012-12-10,28.45,28.65,28.15,28.50,11702300,28.50
2012-12-07,28.20,28.80,28.10,28.20,12438200,28.20
2012-12-06,28.00,28.60,27.85,28.25,16931900,28.25
2012-12-05,27.05,28.20,27.00,27.60,28918100,27.60
2012-12-04,29.05,29.05,27.30,27.55,35173700,27.55
2012-12-03,29.85,29.85,28.60,28.85,25629400,28.85
2012-11-30,29.40,29.85,28.80,29.55,54592100,29.55
2012-11-29,29.85,29.85,29.45,29.75,12152200,29.75
2012-11-28,29.80,29.85,29.40,29.75,9066900,29.75
2012-11-27,29.40,29.80,29.15,29.70,14333300,29.70
2012-11-26,28.85,29.30,28.60,29.00,10347800,29.00
2012-11-23,28.85,29.25,28.50,28.75,16922200,28.75
2012-11-22,28.40,28.90,28.10,28.85,23256600,28.85
2012-11-21,27.80,28.15,27.50,28.10,15626000,28.10
2012-11-20,27.90,27.95,27.40,27.55,9484500,27.55
2012-11-19,27.45,27.75,27.35,27.55,15738800,27.55
2012-11-16,27.80,27.95,27.10,27.25,11936400,27.25
2012-11-15,27.65,28.40,27.40,27.60,15589100,27.60
2012-11-14,27.75,27.95,27.55,27.90,13158200,27.90
2012-11-13,27.65,27.70,27.35,27.45,11383400,27.45
2012-11-12,27.35,27.90,27.35,27.70,13102700,27.70
2012-11-09,27.40,27.55,27.10,27.20,14401900,27.20
2012-11-08,27.40,28.05,27.15,27.35,291182500,27.35
2012-11-07,28.80,29.45,28.50,28.60,15920300,28.60
2012-11-06,28.65,28.75,28.05,28.65,13042600,28.65
2012-11-05,28.85,29.35,28.65,28.80,13331400,28.80
2012-11-02,27.25,29.10,27.10,29.05,31012800,29.05
2012-11-01,26.50,27.25,26.45,27.00,8682400,27.00
2012-10-31,27.00,27.05,26.20,26.65,10455300,26.65
2012-10-30,27.00,27.35,26.80,26.90,8955700,26.90
2012-10-29,26.85,27.45,26.35,27.25,11893700,27.25
2012-10-26,26.40,27.00,26.10,26.80,27795700,26.80
2012-10-25,25.50,26.15,25.45,25.95,20696400,25.95
2012-10-24,24.50,25.15,24.35,25.05,9493000,25.05
2012-10-23,24.65,24.65,24.65,24.65,000,24.65
2012-10-22,24.40,24.70,24.20,24.65,5295700,24.65
2012-10-19,24.90,25.15,24.50,24.55,6344200,24.55
2012-10-18,24.90,25.10,24.65,25.00,6362400,25.00
2012-10-17,24.85,25.05,24.70,24.90,8865500,24.90
2012-10-16,24.70,24.95,24.50,24.70,8156400,24.70
2012-10-15,24.80,24.90,24.20,24.45,10198600,24.45
2012-10-12,24.60,25.25,24.60,25.00,9947800,25.00
2012-10-11,25.35,25.35,24.70,24.75,7486200,24.75
2012-10-10,24.65,25.55,24.60,25.40,6710600,25.40
2012-10-09,25.30,25.45,24.65,25.00,14789000,25.00
2012-10-08,25.75,25.75,24.95,25.15,11607300,25.15
2012-10-05,24.80,25.70,24.10,25.70,17503200,25.70
2012-10-04,26.10,26.10,24.75,25.10,18698300,25.10
2012-10-03,26.00,26.15,25.25,26.00,21519100,26.00
2012-10-02,26.00,26.00,26.00,26.00,000,26.00
2012-10-01,26.00,26.00,26.00,26.00,000,26.00
2012-09-28,25.25,26.15,25.00,26.00,18718900,26.00
2012-09-27,24.30,25.05,24.30,24.85,10018100,24.85
2012-09-26,24.50,24.80,24.35,24.65,8655100,24.65
2012-09-25,24.90,25.05,24.75,24.90,8798900,24.90
2012-09-24,24.60,24.95,24.30,24.85,17022600,24.85
2012-09-21,24.85,25.05,24.50,24.85,12882400,24.85
2012-09-20,25.15,25.50,24.70,24.85,15143300,24.85
2012-09-19,25.05,25.85,24.90,25.30,16672700,25.30
2012-09-18,24.50,25.95,24.50,25.45,23290800,25.45
2012-09-17,24.70,25.20,24.40,24.75,17295200,24.75
2012-09-14,24.20,25.00,24.10,24.95,18870900,24.95
2012-09-13,23.05,24.00,23.05,23.85,16464700,23.85
2012-09-12,23.25,23.60,22.65,23.15,21947400,23.15
2012-09-11,22.50,23.20,22.25,23.15,14522300,23.15
2012-09-10,22.00,22.75,21.85,22.65,17551000,22.65
