Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,30.30,31.15,30.30,30.80,3043300,29.07
2012-12-28,30.80,31.15,30.20,30.40,4829000,28.69
2012-12-27,30.80,31.20,30.75,30.85,6898600,29.11
2012-12-26,30.40,30.40,30.40,30.40,000,28.69
2012-12-25,30.40,30.40,30.40,30.40,000,28.69
2012-12-24,29.95,30.50,29.70,30.40,1818100,28.69
2012-12-21,29.70,30.40,29.70,30.25,10575100,28.55
2012-12-20,30.00,30.15,29.65,30.05,8678800,28.36
2012-12-19,29.75,30.05,29.75,29.85,4455200,28.17
2012-12-18,29.90,30.00,29.75,29.85,8311300,28.17
2012-12-17,29.95,30.05,29.55,30.05,10866300,28.36
2012-12-14,29.90,30.00,29.50,29.95,6243600,28.27
2012-12-13,31.00,31.00,29.25,29.50,6316100,27.84
2012-12-12,29.30,30.05,29.30,29.90,5585800,28.22
2012-12-11,29.05,29.50,28.90,29.50,5855400,27.84
2012-12-10,29.20,29.55,28.70,29.05,4709900,27.42
2012-12-07,29.20,29.60,28.75,29.15,8141700,27.51
2012-12-06,30.20,30.20,29.10,29.25,9237200,27.60
2012-12-05,28.70,29.25,28.35,29.20,8598800,27.56
2012-12-04,27.80,28.55,27.80,28.40,6114800,26.80
2012-12-03,28.60,28.65,27.85,28.10,9147500,26.52
2012-11-30,28.30,28.60,28.00,28.40,10053200,26.80
2012-11-29,27.70,28.20,27.70,28.15,10148500,26.57
2012-11-28,27.80,27.80,27.35,27.65,4115600,26.09
2012-11-27,27.70,28.10,27.70,27.85,5704000,26.28
2012-11-26,27.90,28.00,27.60,27.95,7136400,26.38
2012-11-23,27.00,27.70,26.90,27.60,6093000,26.05
2012-11-22,26.95,27.05,26.75,27.00,6121200,25.48
2012-11-21,26.80,26.80,26.35,26.60,4727000,25.10
2012-11-20,27.10,27.15,26.45,26.55,4894900,25.06
2012-11-19,26.65,27.00,26.35,26.90,4827000,25.39
2012-11-16,26.90,26.90,26.20,26.40,6455200,24.91
2012-11-15,27.05,27.05,26.45,26.65,7206300,25.15
2012-11-14,26.60,27.20,26.60,27.05,7162400,25.53
2012-11-13,26.90,26.95,26.40,26.60,7534900,25.10
2012-11-12,26.85,27.50,26.80,27.15,3584600,25.62
2012-11-09,27.20,27.45,26.80,26.85,3767400,25.34
2012-11-08,27.65,27.75,27.30,27.45,4163900,25.91
2012-11-07,27.55,28.25,27.55,28.15,7058600,26.57
2012-11-06,27.20,27.90,27.20,27.65,4173100,26.09
2012-11-05,27.95,27.95,27.15,27.50,5122800,25.95
2012-11-02,27.80,27.95,27.30,27.85,5247300,26.28
2012-11-01,27.10,27.30,26.75,27.15,9872400,25.62
2012-10-31,27.05,27.05,26.65,26.95,4156600,25.43
2012-10-30,26.60,27.00,26.55,26.80,4230400,25.29
2012-10-29,26.55,26.60,26.15,26.50,7090100,25.01
2012-10-26,27.25,27.25,26.90,27.00,8078200,25.48
2012-10-25,27.15,27.45,27.00,27.10,5410300,25.58
