Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,81.35,81.50,81.15,81.30,6726100,80.65
2012-12-28,81.60,81.95,81.60,81.90,9191300,81.25
2012-12-27,82.00,82.00,81.65,81.95,8364300,81.30
2012-12-26,81.60,81.60,81.60,81.60,000,80.95
2012-12-25,81.60,81.60,81.60,81.60,000,80.95
2012-12-24,80.95,81.90,80.95,81.60,5977700,80.95
2012-12-21,81.40,81.40,80.00,81.05,10862400,80.40
2012-12-20,81.65,81.80,81.40,81.65,22902500,81.00
2012-12-19,80.65,80.90,80.45,80.50,10187300,79.86
2012-12-18,80.30,80.50,80.10,80.10,6203500,79.46
2012-12-17,80.70,80.70,79.90,80.15,8512200,79.51
2012-12-14,80.00,80.85,80.00,80.75,11952300,80.11
2012-12-13,80.00,80.30,79.90,80.25,14270900,79.61
2012-12-12,80.00,80.10,79.80,79.95,10634600,79.31
2012-12-11,79.50,79.85,79.30,79.70,7495900,79.06
2012-12-10,79.95,80.00,79.30,79.45,12802700,78.82
2012-12-07,80.00,80.30,79.10,79.25,31403000,78.62
2012-12-06,80.00,80.05,79.40,79.60,14824000,78.97
2012-12-05,79.20,80.00,79.10,80.00,43277200,79.36
2012-12-04,79.05,79.05,78.35,78.70,14654500,78.07
2012-12-03,79.05,79.55,78.20,78.25,17195500,77.63
2012-11-30,78.00,78.90,78.00,78.75,24368000,78.12
2012-11-29,77.60,77.90,77.25,77.65,13078000,77.03
2012-11-28,77.10,77.25,76.90,77.20,12991600,76.58
2012-11-27,77.30,77.40,76.55,77.20,11422600,76.58
2012-11-26,77.40,77.65,77.05,77.10,10517900,76.49
2012-11-23,76.50,77.30,76.50,77.20,12969400,76.58
2012-11-22,76.55,76.70,76.15,76.55,13044200,75.94
2012-11-21,75.85,76.10,75.15,76.00,11329000,75.39
2012-11-20,76.15,76.25,74.95,75.05,17809300,74.45
2012-11-19,74.20,75.00,73.90,74.65,12036200,74.06
2012-11-16,74.00,74.30,73.80,73.95,5472400,73.36
2012-11-15,73.80,74.65,73.80,73.95,9453200,73.36
2012-11-14,74.50,74.65,74.20,74.50,11985900,73.91
