Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,118.30,119.00,118.30,118.70,505200,109.04
2012-12-28,119.10,119.10,118.40,118.50,574400,108.85
2012-12-27,118.90,119.00,118.20,118.60,635000,108.94
2012-12-26,118.60,118.60,118.60,118.60,000,108.94
2012-12-25,118.60,118.60,118.60,118.60,000,108.94
2012-12-24,118.90,118.90,117.60,118.60,200500,108.94
2012-12-21,118.90,118.90,117.30,118.80,2312700,109.13
2012-12-20,117.30,118.40,117.30,118.10,1372500,108.48
2012-12-19,118.00,118.40,117.50,117.60,1449100,108.02
2012-12-18,119.00,119.00,117.50,117.70,959800,108.12
2012-12-17,118.80,119.20,117.90,118.10,1710600,108.48
2012-12-14,118.20,118.30,117.70,117.90,1172500,108.30
2012-12-13,117.30,118.20,117.30,117.60,1499700,108.02
2012-12-12,119.00,119.00,118.00,118.10,1349800,108.48
2012-12-11,118.00,118.80,117.50,118.20,1098100,108.58
2012-12-10,118.00,119.00,117.50,118.80,1227800,109.13
2012-12-07,119.40,119.40,117.80,118.00,1107600,108.39
2012-12-06,118.20,119.30,118.10,119.00,1353300,109.31
2012-12-05,117.10,119.20,117.10,118.80,1384600,109.13
2012-12-04,117.20,117.70,116.80,117.00,1282300,107.47
2012-12-03,119.90,119.90,117.60,117.90,1295900,108.30
2012-11-30,119.20,119.20,117.80,118.40,1715600,108.76
2012-11-29,118.40,118.40,116.90,118.10,1046600,108.48
2012-11-28,117.30,117.40,116.80,116.90,730500,107.38
2012-11-27,118.70,118.80,117.20,117.40,674000,107.84
2012-11-26,117.90,118.00,116.80,117.10,981600,107.57
2012-11-23,116.80,117.80,116.40,117.50,788000,107.93
2012-11-22,116.10,117.50,115.10,116.80,1502000,107.29
2012-11-21,115.20,115.60,114.10,115.60,991200,106.19
2012-11-20,115.80,116.20,114.20,114.30,1842500,104.99
2012-11-19,114.90,116.20,114.90,115.50,1223700,106.10
2012-11-16,115.80,115.80,114.30,114.90,1031900,105.54
2012-11-15,115.90,115.90,114.10,114.50,1057700,105.18
2012-11-14,114.50,116.10,114.40,115.70,840300,106.28
2012-11-13,114.20,115.20,114.10,114.30,910900,104.99
2012-11-12,116.00,116.20,115.00,115.10,1910300,105.73
2012-11-09,117.60,118.60,115.60,115.70,2584700,106.28
2012-11-08,118.10,118.80,117.80,117.90,1153800,108.30
2012-11-07,119.30,119.80,118.40,119.50,1021500,109.77
2012-11-06,119.30,119.30,118.60,119.10,929000,109.40
2012-11-05,119.00,119.30,118.80,119.00,560000,109.31
2012-11-02,119.50,119.70,118.80,118.90,1229400,109.22
2012-11-01,119.50,119.50,118.20,118.70,1393700,109.04
2012-10-31,119.40,119.40,118.50,119.00,1000100,109.31
2012-10-30,119.60,119.70,118.40,119.10,559100,109.40
2012-10-29,118.70,119.20,118.60,119.00,708900,109.31
2012-10-26,120.00,120.00,118.90,119.10,904800,109.40
2012-10-25,119.50,119.90,119.20,119.90,1452500,110.14
2012-10-24,118.30,119.60,118.30,119.30,1757900,109.59
2012-10-23,119.70,119.70,119.70,119.70,000,108.94
2012-10-22,119.40,119.80,118.80,119.70,1690200,108.94
2012-10-19,119.50,119.80,119.00,119.50,729900,108.76
2012-10-18,119.80,119.80,119.10,119.50,1071000,108.76
2012-10-17,119.70,119.70,118.70,119.50,808400,108.76
2012-10-16,119.60,119.60,118.40,119.10,757600,108.40
2012-10-15,118.30,119.20,117.80,118.60,734700,107.94
2012-10-12,119.00,119.50,118.00,118.40,667800,107.76
2012-10-11,118.00,118.70,117.00,118.00,1288100,107.40
2012-10-10,118.50,118.90,117.50,118.20,824800,107.58
2012-10-09,118.50,119.50,118.40,118.60,660600,107.94
2012-10-08,118.70,119.70,117.00,118.50,527300,107.85
2012-10-05,118.80,119.90,118.70,118.90,1331800,108.22
2012-10-04,119.70,119.80,118.30,118.60,766600,107.94
2012-10-03,118.90,119.60,118.10,119.50,2593000,108.76
2012-10-02,118.90,118.90,118.90,118.90,000,108.22
2012-10-01,118.90,118.90,118.90,118.90,000,108.22
2012-09-28,119.10,119.10,118.00,118.90,1824300,108.22
2012-09-27,117.50,118.10,116.90,118.00,1664400,107.40
2012-09-26,117.80,117.80,117.10,117.30,1278900,106.76
2012-09-25,117.70,117.70,116.50,117.40,1145700,106.85
2012-09-24,116.10,117.40,115.40,116.90,653300,106.40
2012-09-21,116.60,116.90,115.20,116.10,1388600,105.67
2012-09-20,117.90,117.90,116.00,116.20,1386200,105.76
2012-09-19,117.00,117.30,116.30,117.10,1494600,106.58
2012-09-18,115.30,116.80,115.00,116.30,2429900,105.85
2012-09-17,115.00,115.00,114.30,114.90,1623000,104.57
2012-09-14,113.60,114.70,113.60,114.20,1807600,103.94
2012-09-13,113.60,114.00,113.00,113.10,949700,102.94
2012-09-12,113.00,113.60,112.80,113.40,1143900,103.21
2012-09-11,112.50,113.00,111.60,112.50,1026900,102.39
2012-09-10,112.00,112.70,111.70,112.50,1342100,102.39
2012-09-07,110.70,111.80,110.50,111.70,1881800,101.66
2012-09-06,111.10,111.10,109.00,110.10,1402400,100.21
2012-09-05,111.40,111.40,109.10,110.10,1866500,100.21
2012-09-04,109.70,111.00,109.70,110.70,589100,100.75
2012-09-03,109.20,110.90,109.10,110.90,712600,100.93
2012-08-31,110.50,110.60,109.50,110.40,1057400,100.48
2012-08-30,110.80,111.60,109.80,110.00,884100,100.12
2012-08-29,111.80,111.80,110.80,111.00,1188600,101.03
2012-08-28,110.20,110.90,110.10,110.50,400200,100.57
2012-08-27,110.20,111.20,109.60,111.00,459500,101.03
2012-08-24,110.10,110.70,109.70,110.20,601900,100.30
2012-08-23,110.40,111.20,110.40,111.00,625600,101.03
2012-08-22,110.50,111.00,110.00,110.40,709400,100.48
2012-08-21,111.00,111.40,110.10,111.30,499500,101.30
2012-08-20,112.00,112.00,110.40,111.40,756100,101.39
2012-08-17,111.50,112.00,110.70,111.90,1070500,101.84
2012-08-16,111.50,111.50,110.50,111.20,1080600,101.21
2012-08-15,110.70,111.40,110.30,110.60,749200,100.66
2012-08-14,111.90,112.00,109.80,111.00,1418800,101.03
2012-08-13,111.50,111.50,109.20,109.90,992600,100.02
2012-08-10,110.80,112.00,110.70,111.80,1617000,100.75
2012-08-09,110.00,112.00,109.50,112.00,2612000,100.93
2012-08-08,109.60,109.80,109.20,109.70,874600,98.86
2012-08-07,109.50,109.70,109.10,109.30,1345200,98.50
2012-08-06,109.30,109.30,108.40,108.90,975600,98.14
2012-08-03,109.00,109.00,107.60,108.40,737000,97.69
2012-08-02,107.80,109.00,107.80,108.60,799100,97.87
2012-08-01,108.00,109.00,107.40,108.80,1755900,98.05
2012-07-31,108.00,108.50,107.80,107.90,1522500,97.24
2012-07-30,107.40,108.20,106.70,107.60,2204700,96.97
