Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,55.60,55.95,54.40,54.70,3536600,43.18
2012-12-28,56.50,56.70,55.40,55.45,2739600,43.78
2012-12-27,56.60,56.70,55.90,56.55,1151800,44.64
2012-12-26,56.15,56.15,56.15,56.15,000,44.33
2012-12-25,56.15,56.15,56.15,56.15,000,44.33
2012-12-24,56.50,56.50,55.65,56.15,581900,44.33
2012-12-21,56.65,56.65,55.75,56.15,3387100,44.33
2012-12-20,55.45,56.30,55.30,56.20,2998100,44.37
2012-12-19,55.75,56.00,55.35,55.90,2806800,44.13
2012-12-18,55.80,55.90,55.20,55.50,4075100,43.81
2012-12-17,56.25,56.25,55.45,55.70,4269600,43.97
2012-12-14,55.45,56.25,55.40,56.00,4567700,44.21
2012-12-13,55.30,55.90,54.90,55.00,4723400,43.42
2012-12-12,55.30,55.80,55.20,55.65,5055500,43.93
2012-12-11,55.65,55.90,54.90,55.05,3006900,43.46
2012-12-10,55.65,55.90,55.50,55.65,2118100,43.93
2012-12-07,55.80,56.20,55.50,55.60,2412800,43.89
2012-12-06,55.20,56.00,55.20,55.80,3596200,44.05
2012-12-05,54.45,55.40,54.30,55.20,2646000,43.58
2012-12-04,54.45,54.85,53.70,54.00,2969900,42.63
2012-12-03,55.20,55.80,54.25,54.45,3137300,42.99
2012-11-30,55.60,56.00,55.00,55.20,4282100,43.58
2012-11-29,54.75,55.40,54.30,55.30,3451500,43.66
2012-11-28,54.80,54.95,53.95,54.60,3027300,43.10
2012-11-27,55.15,55.50,54.90,55.30,3356200,43.66
2012-11-26,54.20,55.00,54.15,54.95,2052600,43.38
2012-11-23,54.00,54.90,53.80,54.75,3455900,43.22
2012-11-22,53.30,54.10,52.85,54.00,3385000,42.63
2012-11-21,52.90,53.10,52.25,52.90,2749200,41.76
2012-11-20,53.20,53.30,52.50,52.65,3520000,41.56
2012-11-19,52.90,53.40,52.20,53.05,2790200,41.88
2012-11-16,53.25,53.25,52.55,53.00,2692400,41.84
2012-11-15,52.80,53.85,52.50,52.80,3288800,41.68
2012-11-14,53.50,53.75,52.75,53.65,3620700,42.35
2012-11-13,53.25,53.35,52.60,52.90,2556500,41.76
2012-11-12,53.00,53.40,52.60,53.10,4503800,41.92
2012-11-09,53.00,53.65,52.70,52.75,9545400,41.64
2012-11-08,54.45,54.60,53.15,53.40,7745300,42.16
2012-11-07,54.80,55.10,54.15,55.05,3767700,43.46
2012-11-06,54.50,55.20,54.50,54.95,4907200,43.38
2012-11-05,54.50,55.10,54.50,55.00,3514600,43.42
2012-11-02,54.50,54.80,54.00,54.55,7547000,43.06
2012-11-01,54.30,54.30,53.50,54.00,3281900,42.63
2012-10-31,53.50,54.15,53.20,53.70,5723100,42.39
2012-10-30,53.35,53.35,52.20,53.05,5052900,41.88
2012-10-29,54.80,54.80,52.05,53.25,14547400,42.04
2012-10-26,57.15,57.30,56.70,56.90,5268300,44.92
2012-10-25,57.10,57.65,57.05,57.15,5242800,45.12
2012-10-24,56.50,57.90,56.30,57.65,9623500,45.51
2012-10-23,57.00,57.00,57.00,57.00,000,45.00
2012-10-22,55.45,57.00,55.45,57.00,7115500,45.00
2012-10-19,55.95,56.10,55.45,55.85,2667400,44.09
2012-10-18,56.20,56.45,55.55,55.75,3310200,44.01
2012-10-17,56.15,56.35,55.80,56.00,3892700,44.21
2012-10-16,56.00,56.00,55.30,55.75,3562700,44.01
2012-10-15,54.65,56.20,54.65,56.00,4139400,44.21
2012-10-12,55.50,55.95,54.55,54.65,6671300,43.14
2012-10-11,57.00,57.00,55.35,55.40,6838000,43.74
2012-10-10,55.60,57.30,55.20,57.15,5692500,45.12
2012-10-09,55.90,56.50,55.60,56.05,3984100,44.25
2012-10-08,56.50,56.70,55.10,55.30,2237800,43.66
2012-10-05,56.10,56.65,55.85,56.45,3245600,44.56
2012-10-04,56.30,56.50,55.60,56.35,5070900,44.49
2012-10-03,55.80,56.55,55.60,55.85,6223700,44.09
2012-10-02,55.80,55.80,55.80,55.80,000,44.05
2012-10-01,55.80,55.80,55.80,55.80,000,44.05
2012-09-28,56.10,56.40,55.60,55.80,7456100,44.05
2012-09-27,55.05,56.80,54.85,56.65,9822200,44.72
2012-09-26,54.00,55.40,54.00,55.35,8213600,43.70
2012-09-25,54.30,54.70,53.70,54.10,4395800,42.71
2012-09-24,54.00,54.75,53.40,54.05,3756600,42.67
2012-09-21,54.00,54.15,52.85,53.85,5078800,42.51
2012-09-20,54.60,54.65,52.70,52.75,4014400,41.64
2012-09-19,53.45,54.80,53.35,54.65,5814800,43.14
2012-09-18,53.40,54.30,53.40,53.75,3648000,42.43
2012-09-17,55.00,55.00,53.30,53.40,4653800,42.16
2012-09-14,54.50,55.00,53.35,54.15,10588500,42.75
2012-09-13,51.90,53.50,51.65,52.05,6972300,41.09
2012-09-12,51.60,52.60,51.20,52.50,6314300,41.45
2012-09-11,50.10,51.30,49.95,50.90,4932100,40.18
