Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,69.85,70.10,69.70,69.95,1037000,67.01
2012-12-28,69.90,69.90,69.35,69.85,1710000,66.92
2012-12-27,69.60,69.60,68.75,69.35,931500,66.44
2012-12-26,69.05,69.05,69.05,69.05,000,66.15
2012-12-25,69.05,69.05,69.05,69.05,000,66.15
2012-12-24,69.50,69.50,68.75,69.05,398000,66.15
2012-12-21,69.80,69.80,68.90,69.35,2112300,66.44
2012-12-20,69.25,69.55,68.40,69.40,2909700,66.49
2012-12-19,69.25,69.25,68.30,69.20,2027500,66.29
2012-12-18,69.00,69.25,68.15,68.80,2014900,65.91
2012-12-17,67.60,68.85,67.45,68.75,3334800,65.86
2012-12-14,67.30,67.75,67.00,67.45,8306800,64.62
2012-12-13,68.70,69.15,68.10,68.25,5046000,65.38
2012-12-12,69.50,69.70,68.65,69.05,4438600,66.15
2012-12-11,69.10,70.40,69.00,69.70,2654800,66.77
2012-12-10,71.75,71.75,69.40,69.50,2235900,66.58
2012-12-07,71.80,71.80,70.75,71.15,1276500,68.16
2012-12-06,70.90,71.35,70.50,71.10,2390400,68.12
2012-12-05,68.60,70.20,68.60,70.10,1887900,67.16
2012-12-04,69.50,69.70,68.20,68.60,3434500,65.72
2012-12-03,71.85,71.85,69.45,69.60,2581400,66.68
2012-11-30,71.85,71.85,69.90,70.00,2997400,67.06
2012-11-29,71.65,71.75,71.10,71.55,2541300,68.55
2012-11-28,69.70,71.00,69.70,70.95,1701200,67.97
2012-11-27,70.90,71.20,70.30,70.35,2135500,67.40
2012-11-26,70.30,70.90,69.95,70.50,3386300,67.54
2012-11-23,70.40,70.40,68.80,69.65,2236800,66.73
2012-11-22,69.30,70.40,69.30,69.90,1617800,66.97
2012-11-21,69.30,69.30,68.55,68.95,2266100,66.06
2012-11-20,70.50,70.50,68.65,69.30,2740900,66.39
2012-11-19,69.80,70.35,69.80,70.20,1704700,67.25
2012-11-16,70.15,70.40,69.75,70.10,2562600,67.16
2012-11-15,70.50,71.00,70.00,70.15,3321800,67.20
2012-11-14,72.25,72.50,70.55,71.20,2967000,68.21
2012-11-13,73.35,73.35,71.90,72.30,2253300,69.26
2012-11-12,72.95,73.40,72.55,73.15,2417800,70.08
2012-11-09,71.75,72.50,71.75,72.20,4455000,69.17
2012-11-08,70.70,72.20,70.40,71.85,6496300,68.83
2012-11-07,70.40,71.60,69.85,71.10,3472500,68.12
2012-11-06,70.50,70.75,69.50,70.35,4713500,67.40
2012-11-05,70.50,71.30,70.45,70.55,2314800,67.59
2012-11-02,70.90,71.35,70.65,70.80,5638600,67.83
2012-11-01,70.05,71.15,70.05,70.40,5724600,67.44
2012-10-31,70.55,70.80,70.25,70.60,3664300,67.64
2012-10-30,71.25,71.40,70.65,70.75,2807600,67.78
2012-10-29,71.50,72.00,70.85,71.25,3076500,68.26
2012-10-26,71.75,72.10,71.50,71.85,2524200,68.83
2012-10-25,73.00,73.20,71.05,71.20,6049300,68.21
2012-10-24,74.80,74.80,73.00,73.20,3638400,70.13
2012-10-23,75.55,75.55,75.55,75.55,000,72.38
2012-10-22,74.70,76.40,74.70,75.55,701700,72.38
2012-10-19,75.15,76.10,74.40,75.45,1572100,72.28
2012-10-18,74.75,75.20,73.80,74.35,2044400,71.23
2012-10-17,74.60,74.60,73.75,74.35,1543900,71.23
2012-10-16,73.65,74.10,73.50,73.70,617500,70.61
2012-10-15,74.25,74.35,73.40,74.20,1172000,71.08
2012-10-12,73.50,74.10,72.65,73.80,1744800,70.70
2012-10-11,73.75,74.05,72.30,72.80,2357000,69.74
2012-10-10,75.00,75.15,73.90,74.00,712800,70.89
2012-10-09,74.80,75.20,74.40,75.05,1944300,71.90
2012-10-08,73.70,74.40,73.70,74.10,2004400,70.99
2012-10-05,73.90,74.80,73.05,74.55,1592800,71.42
2012-10-04,74.00,74.00,73.00,73.45,2071900,70.37
2012-10-03,73.00,74.20,72.55,73.40,3690400,70.32
2012-10-02,73.30,73.30,73.30,73.30,000,70.22
2012-10-01,73.30,73.30,73.30,73.30,000,70.22
2012-09-28,72.20,73.75,72.20,73.30,5642800,70.22
2012-09-27,73.00,73.30,71.10,72.00,5744800,68.98
2012-09-26,75.35,76.00,74.00,74.20,4236000,71.08
2012-09-25,75.50,77.00,75.50,76.55,1036200,73.34
2012-09-24,76.40,76.40,75.30,75.60,1592100,72.43
2012-09-21,76.50,76.85,75.75,76.50,2703100,73.29
2012-09-20,77.00,77.10,75.60,75.85,2561900,71.95
2012-09-19,75.55,79.00,75.55,75.80,3407600,71.90
2012-09-18,75.00,76.15,75.00,76.05,3235500,72.14
2012-09-17,76.05,76.70,75.15,75.60,3783000,71.71
2012-09-14,77.80,77.90,76.00,76.70,3256000,72.75
2012-09-13,77.45,77.45,76.00,76.55,1677400,72.61
2012-09-12,76.70,77.40,76.55,76.60,2670200,72.66
2012-09-11,76.00,77.60,74.10,76.55,3392100,72.61
2012-09-10,79.45,80.00,76.25,76.75,3584100,72.80
2012-09-07,79.50,79.95,78.00,79.50,1717000,75.41
2012-09-06,76.15,78.50,76.15,78.10,1303300,74.08
2012-09-05,78.30,78.80,76.30,77.10,2753700,73.13
2012-09-04,80.30,82.70,79.10,79.30,2620100,75.22
2012-09-03,78.50,80.45,78.15,80.35,3372000,76.22
2012-08-31,77.20,78.30,77.00,78.00,3482100,73.99
2012-08-30,76.60,77.85,76.35,76.55,3451600,72.61
2012-08-29,73.80,77.40,73.50,76.45,3704500,72.52
2012-08-28,72.80,74.40,72.80,74.20,1055100,70.38
2012-08-27,73.05,73.85,72.00,73.35,1853500,69.58
2012-08-24,73.80,74.25,72.50,73.50,1472600,69.72
2012-08-23,73.55,74.90,72.95,74.80,1044000,70.95
2012-08-22,76.60,76.60,73.95,74.30,2597600,70.48
2012-08-21,75.30,75.80,74.75,75.35,2014100,71.47
2012-08-20,73.55,74.85,72.35,74.75,2177800,70.90
2012-08-17,72.65,72.65,72.05,72.60,1360500,68.86
2012-08-16,71.80,72.00,71.30,72.00,1421800,68.30
2012-08-15,71.05,72.35,71.00,71.80,1527300,68.11
2012-08-14,72.00,72.40,71.00,72.00,1954300,68.30
2012-08-13,72.50,72.50,71.40,71.45,1784800,67.77
2012-08-10,71.30,72.40,71.30,71.85,1608200,68.15
2012-08-09,72.00,72.15,71.30,71.95,3040200,68.25
2012-08-08,72.00,72.50,71.30,72.45,2006700,68.72
2012-08-07,74.00,74.25,72.00,72.05,2417100,68.34
2012-08-06,74.30,74.85,73.35,74.25,2488000,70.43
2012-08-03,74.00,74.00,72.10,73.55,1584700,69.77
2012-08-02,71.90,72.80,71.80,72.35,3667300,68.63
2012-08-01,73.75,74.10,71.00,72.30,3990400,68.58
2012-07-31,72.50,73.90,72.45,73.60,1902800,69.81
2012-07-30,72.75,73.35,71.90,73.05,2955500,69.29
2012-07-27,71.20,73.80,70.75,72.75,3163700,69.01
2012-07-26,70.25,71.50,69.55,70.00,4146300,66.40
2012-07-25,72.00,72.05,69.85,69.95,4704300,66.35
2012-07-24,74.95,74.95,71.70,72.25,3508000,68.53
2012-07-23,75.40,75.40,74.00,74.25,1734600,70.43
2012-07-20,75.85,76.60,75.35,75.95,1190700,72.04
2012-07-19,75.70,76.15,75.05,75.85,1647700,71.95
2012-07-18,75.70,76.20,74.80,74.85,988000,71.00
2012-07-17,74.05,75.60,74.05,75.20,1326700,71.33
2012-07-16,75.65,75.65,74.10,74.70,1681400,70.86
2012-07-13,77.40,77.40,75.45,75.55,977500,71.66
2012-07-12,76.50,77.10,76.35,76.80,2273700,72.85
2012-07-11,76.15,77.80,74.90,77.35,1395100,73.37
2012-07-10,78.10,78.10,76.95,77.00,1444300,73.04
2012-07-09,78.50,78.50,76.05,77.30,1557500,73.32
2012-07-06,77.50,78.45,76.15,78.20,1888500,74.18
2012-07-05,77.70,77.70,76.25,77.00,2031100,73.04
2012-07-04,76.25,76.60,74.55,76.45,1563900,72.52
2012-07-03,78.00,78.00,75.70,76.65,2922800,72.71
2012-07-02,74.95,74.95,74.95,74.95,000,71.09
2012-06-29,74.25,75.95,74.00,74.95,2100600,71.09
2012-06-28,73.60,74.90,72.65,74.20,1701600,70.38
2012-06-27,72.65,73.90,71.80,72.55,4337100,68.82
2012-06-26,72.35,73.70,71.35,73.55,3336100,69.77
2012-06-25,73.60,74.40,72.00,73.90,2104600,70.10
2012-06-22,73.95,74.50,73.30,74.00,2430200,70.19
2012-06-21,76.60,76.75,75.20,76.15,1502900,72.23
2012-06-20,79.00,79.40,76.30,76.65,1210400,72.71
2012-06-19,79.50,80.00,79.10,79.15,1856100,75.08
2012-06-18,79.00,80.20,79.00,79.55,1403600,75.46
2012-06-15,78.25,78.90,76.80,78.60,1937300,74.56
2012-06-14,77.00,78.50,77.00,78.20,1808300,74.18
2012-06-13,77.05,78.00,76.40,78.00,1853200,73.99
2012-06-12,77.00,77.85,75.80,76.85,1843500,72.90
