Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,131.00,132.20,131.00,131.90,1632000,125.73
2012-12-28,132.20,132.20,131.30,131.90,2800100,125.73
2012-12-27,131.60,132.10,131.40,131.80,2817700,125.64
2012-12-26,130.70,130.70,130.70,130.70,000,124.59
2012-12-25,130.70,130.70,130.70,130.70,000,124.59
2012-12-24,129.40,131.20,129.40,130.70,1733500,124.59
2012-12-21,131.10,131.20,129.60,130.00,3503700,123.92
2012-12-20,131.60,131.60,129.40,130.80,3836500,124.69
2012-12-19,131.80,132.00,131.00,131.40,3659200,125.26
2012-12-18,132.10,132.10,130.50,130.60,3675500,124.49
2012-12-17,132.70,132.70,130.00,130.60,6777500,124.49
2012-12-14,130.80,132.40,130.00,132.20,7867900,126.02
2012-12-13,130.00,131.30,129.80,131.00,8268000,124.88
2012-12-12,128.00,130.30,127.50,129.80,12862000,123.73
2012-12-11,126.10,128.10,126.10,126.90,4411600,120.97
2012-12-10,128.00,128.50,126.60,126.70,3726300,120.78
2012-12-07,127.50,128.30,127.10,127.40,8570200,121.44
2012-12-06,126.80,127.90,126.30,127.10,5618600,121.16
2012-12-05,122.80,127.60,122.80,126.80,7751300,120.87
2012-12-04,122.60,123.90,122.50,123.20,4302500,117.44
2012-12-03,124.00,125.20,122.60,122.70,5628000,116.96
2012-11-30,124.50,124.80,121.50,123.80,20236300,118.01
2012-11-29,125.50,126.80,124.50,124.80,5452900,118.97
2012-11-28,125.30,126.20,124.10,124.30,4479200,118.49
2012-11-27,128.00,128.10,125.40,125.60,3331700,119.73
2012-11-26,129.20,129.20,126.80,127.10,2769000,121.16
2012-11-23,127.50,128.50,127.10,128.00,3451200,122.02
2012-11-22,126.10,127.40,124.90,127.30,3186300,121.35
2012-11-21,124.20,125.80,123.30,125.70,2822700,119.82
2012-11-20,125.10,125.70,122.70,122.90,2699100,117.15
2012-11-19,123.50,124.40,123.00,124.10,1827900,118.30
2012-11-16,123.10,123.90,122.00,123.00,2469500,117.25
2012-11-15,123.10,123.60,122.00,122.10,3885900,116.39
2012-11-14,123.70,125.00,123.50,124.50,2680700,118.68
2012-11-13,125.80,126.50,123.50,123.70,3435800,117.92
2012-11-12,126.50,128.00,126.00,126.20,3161400,120.30
2012-11-09,126.50,128.10,126.00,126.60,5319700,120.68
2012-11-08,129.50,130.70,127.00,127.10,8528500,121.16
2012-11-07,129.00,132.40,128.60,132.10,8149500,125.92
