Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,80.90,81.15,80.50,80.90,3273600,77.14
2012-12-28,81.75,81.75,80.85,81.20,3569000,77.43
2012-12-27,81.25,81.35,80.80,81.25,4195000,77.48
2012-12-26,80.55,80.55,80.55,80.55,000,76.81
2012-12-25,80.55,80.55,80.55,80.55,000,76.81
2012-12-24,80.80,80.90,80.45,80.55,2634200,76.81
2012-12-21,80.50,81.00,80.25,80.65,4996700,76.90
2012-12-20,80.20,81.00,80.20,80.95,4784600,77.19
2012-12-19,80.95,80.95,80.35,80.60,6874600,76.86
2012-12-18,80.00,80.75,80.00,80.25,4534300,76.52
2012-12-17,80.05,80.70,79.85,80.10,3551700,76.38
2012-12-14,79.90,80.45,79.70,80.35,4611500,76.62
2012-12-13,79.55,80.40,79.45,79.65,5753700,75.95
2012-12-12,79.60,79.80,79.05,79.55,4016800,75.85
2012-12-11,79.05,79.95,78.75,78.80,4191300,75.14
2012-12-10,79.70,80.20,79.20,79.30,5760700,75.62
2012-12-07,80.45,80.90,79.85,80.10,3753700,76.38
2012-12-06,80.90,80.90,79.90,80.40,6210000,76.66
2012-12-05,78.40,80.50,78.40,80.35,8323000,76.62
2012-12-04,79.85,79.85,78.50,78.60,5124300,74.95
2012-12-03,79.80,80.00,78.20,78.40,5907800,74.76
2012-11-30,79.80,80.00,79.50,79.70,5822700,76.00
2012-11-29,79.25,79.80,79.00,79.25,4834700,75.57
2012-11-28,79.60,79.60,78.20,79.00,5457200,75.33
2012-11-27,79.60,79.90,78.85,78.90,6566900,75.23
2012-11-26,79.55,79.55,78.65,79.05,5414600,75.38
2012-11-23,78.50,79.00,78.20,78.95,5218500,75.28
2012-11-22,78.30,78.40,77.65,78.15,3779400,74.52
2012-11-21,78.30,78.30,77.00,78.10,3536000,74.47
2012-11-20,78.35,78.40,77.60,77.70,6149300,74.09
2012-11-19,76.85,77.65,76.50,77.35,4875100,73.76
2012-11-16,77.15,77.15,76.05,76.35,4002300,72.80
2012-11-15,76.85,77.15,76.30,76.70,4772900,73.14
2012-11-14,77.00,77.40,76.60,77.35,5149000,73.76
2012-11-13,76.95,77.40,76.20,76.75,5477400,73.18
2012-11-12,77.00,77.65,76.70,77.60,3828600,73.99
2012-11-09,76.70,77.75,76.35,77.00,6138300,73.42
2012-11-08,78.55,78.90,77.20,77.35,9295400,73.76
2012-11-07,80.05,80.05,79.05,79.60,8707000,75.90
2012-11-06,80.00,80.00,78.45,79.75,6944000,76.04
2012-11-05,79.50,80.30,79.40,79.65,9566000,75.95
2012-11-02,78.80,79.50,78.50,79.35,14457600,75.66
2012-11-01,75.85,77.80,75.85,77.65,7688900,74.04
2012-10-31,76.00,76.50,75.35,76.25,6568000,72.71
2012-10-30,75.50,75.90,75.00,75.30,6112600,71.80
2012-10-29,76.95,76.95,75.45,75.70,7688900,72.18
2012-10-26,77.25,77.65,76.55,76.85,7043000,73.28
2012-10-25,78.90,78.90,77.30,77.90,7468500,74.28
2012-10-24,76.80,78.50,76.75,78.20,11749800,74.57
2012-10-23,77.35,77.35,77.35,77.35,000,73.76
2012-10-22,76.80,77.55,76.00,77.35,6697600,73.76
2012-10-19,76.70,77.00,76.05,76.40,5310400,72.85
2012-10-18,76.95,76.95,76.30,76.75,6345500,73.18
2012-10-17,77.15,77.15,76.15,76.30,6254300,72.76
2012-10-16,76.50,76.50,76.10,76.40,4640600,72.85
2012-10-15,75.90,76.15,75.40,75.75,6910900,72.23
2012-10-12,75.10,75.90,74.70,75.25,7792600,71.75
2012-10-11,75.50,76.05,75.05,75.20,6548800,71.71
2012-10-10,75.85,76.35,75.80,76.10,5788700,72.56
2012-10-09,77.50,77.60,76.60,76.95,6735500,73.37
2012-10-08,76.40,77.30,76.25,76.95,11906000,73.37
2012-10-05,76.15,76.45,75.95,76.15,5576800,72.61
2012-10-04,76.25,76.50,75.65,76.05,5049300,72.52
2012-10-03,75.20,76.60,75.20,76.50,17072700,72.95
2012-10-02,75.20,75.20,75.20,75.20,000,71.71
2012-10-01,75.20,75.20,75.20,75.20,000,71.71
2012-09-28,74.05,75.30,74.00,75.20,10928300,71.71
2012-09-27,73.40,74.40,73.40,74.25,7401500,70.80
2012-09-26,72.80,74.05,72.80,73.40,5844100,69.99
2012-09-25,74.00,74.50,73.50,73.90,6061000,70.47
2012-09-24,73.50,74.10,72.85,73.60,3835000,70.18
2012-09-21,74.50,74.50,73.55,73.80,5905200,70.37
2012-09-20,74.85,74.95,73.10,73.20,6486600,69.80
2012-09-19,74.30,75.30,74.10,74.85,9363000,71.37
2012-09-18,75.15,75.15,73.70,73.90,6263800,70.47
2012-09-17,74.50,75.10,73.80,74.65,8556500,71.18
2012-09-14,74.50,74.90,73.85,74.40,13906600,70.94
2012-09-13,72.35,74.00,72.35,73.25,20990300,69.85
2012-09-12,70.75,72.05,70.65,72.00,18566000,68.65
2012-09-11,69.45,70.30,68.85,70.10,6535600,66.84
2012-09-10,69.80,69.95,69.15,69.80,8612300,66.56
2012-09-07,68.40,69.50,68.15,69.40,11556500,66.18
2012-09-06,67.00,67.15,66.25,66.90,3946000,63.79
2012-09-05,67.35,67.55,66.70,66.90,6297200,63.79
2012-09-04,67.70,67.90,67.35,67.50,3363900,64.36
2012-09-03,66.95,68.55,66.95,68.20,3644300,64.51
2012-08-31,67.75,68.20,67.60,67.85,3235200,64.18
2012-08-30,68.05,68.25,67.75,68.05,6270100,64.37
2012-08-29,68.10,68.75,68.10,68.45,3088200,64.74
