Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5.49,5.52,5.48,5.50,153154400,5.01
2012-12-28,5.55,5.55,5.48,5.53,219088600,5.03
2012-12-27,5.55,5.59,5.53,5.54,185706800,5.04
2012-12-26,5.52,5.52,5.52,5.52,000,5.02
2012-12-25,5.52,5.52,5.52,5.52,000,5.02
2012-12-24,5.52,5.55,5.48,5.52,97233800,5.02
2012-12-21,5.59,5.60,5.45,5.48,339543900,4.99
2012-12-20,5.59,5.61,5.45,5.60,357033200,5.10
2012-12-19,5.60,5.60,5.57,5.59,231052000,5.09
2012-12-18,5.54,5.56,5.50,5.55,308654800,5.05
2012-12-17,5.48,5.54,5.47,5.50,243059100,5.01
2012-12-14,5.45,5.52,5.41,5.48,369666700,4.99
2012-12-13,5.44,5.50,5.41,5.47,264767900,4.98
2012-12-12,5.40,5.49,5.38,5.48,349131700,4.99
2012-12-11,5.38,5.40,5.34,5.39,297670700,4.91
2012-12-10,5.36,5.39,5.32,5.38,268125600,4.90
2012-12-07,5.32,5.35,5.29,5.31,391115100,4.83
2012-12-06,5.32,5.32,5.28,5.29,218949300,4.81
2012-12-05,5.18,5.31,5.15,5.30,419885700,4.82
2012-12-04,5.14,5.17,5.08,5.17,221508100,4.70
2012-12-03,5.20,5.25,5.13,5.15,175733700,4.69
2012-11-30,5.19,5.25,5.18,5.23,290550300,4.76
2012-11-29,5.15,5.24,5.15,5.19,202707000,4.72
2012-11-28,5.20,5.20,5.12,5.15,212594600,4.69
2012-11-27,5.24,5.26,5.21,5.22,148078800,4.75
2012-11-26,5.25,5.25,5.20,5.22,153616600,4.75
2012-11-23,5.20,5.25,5.20,5.24,221596900,4.77
2012-11-22,5.17,5.21,5.14,5.20,277939200,4.73
2012-11-21,5.10,5.16,5.06,5.15,197372900,4.69
2012-11-20,5.14,5.14,5.05,5.06,150180400,4.60
2012-11-19,5.02,5.10,5.02,5.06,154648000,4.60
2012-11-16,5.05,5.07,5.01,5.02,159503900,4.57
2012-11-15,5.00,5.08,5.00,5.01,212177200,4.56
2012-11-14,4.98,5.12,4.97,5.11,247384400,4.65
2012-11-13,5.04,5.05,4.96,4.96,221668200,4.51
2012-11-12,5.05,5.09,5.03,5.05,121580600,4.60
2012-11-09,5.03,5.09,5.02,5.06,220207800,4.60
2012-11-08,5.15,5.18,5.07,5.08,256742000,4.62
2012-11-07,5.21,5.22,5.10,5.21,273079800,4.74
2012-11-06,5.15,5.19,5.13,5.15,207067100,4.69
2012-11-05,5.22,5.27,5.18,5.18,198816700,4.71
2012-11-02,5.25,5.27,5.21,5.25,333387300,4.78
2012-11-01,5.12,5.20,5.07,5.20,326938900,4.73
2012-10-31,5.08,5.14,5.07,5.13,263651000,4.67
2012-10-30,5.14,5.14,4.99,5.03,293131400,4.58
2012-10-29,5.10,5.14,5.06,5.12,217235400,4.66
2012-10-26,5.17,5.19,5.06,5.09,267999300,4.63
2012-10-25,5.15,5.19,5.11,5.15,277657000,4.69
2012-10-24,5.15,5.16,5.09,5.12,267754200,4.66
2012-10-23,5.17,5.17,5.17,5.17,000,4.70
2012-10-22,5.10,5.20,5.06,5.17,317570900,4.70
2012-10-19,5.07,5.13,5.05,5.10,349734500,4.64
2012-10-18,5.00,5.06,4.99,5.05,435947700,4.60
2012-10-17,4.97,4.99,4.93,4.97,306868200,4.52
2012-10-16,4.97,4.97,4.86,4.88,294399900,4.44
2012-10-15,4.94,4.98,4.91,4.94,298882000,4.50
2012-10-12,4.89,5.00,4.88,4.96,543535200,4.51
2012-10-11,4.68,4.90,4.67,4.89,551909400,4.45
2012-10-10,4.60,4.71,4.58,4.69,209190500,4.27
2012-10-09,4.59,4.66,4.57,4.62,241417900,4.20
2012-10-08,4.64,4.64,4.54,4.55,169944400,4.14
2012-10-05,4.60,4.65,4.58,4.63,199090400,4.21
2012-10-04,4.61,4.62,4.56,4.59,151527600,4.18
2012-10-03,4.63,4.63,4.56,4.59,231335300,4.18
2012-10-02,4.58,4.58,4.58,4.58,000,4.17
2012-10-01,4.58,4.58,4.58,4.58,000,4.17
2012-09-28,4.49,4.59,4.49,4.58,219829400,4.17
2012-09-27,4.45,4.56,4.42,4.52,310620300,4.11
2012-09-26,4.43,4.47,4.42,4.44,175451700,4.04
2012-09-25,4.51,4.54,4.47,4.49,228549800,4.09
2012-09-24,4.56,4.58,4.50,4.55,161096800,4.14
2012-09-21,4.52,4.61,4.52,4.58,324621700,4.17
2012-09-20,4.58,4.58,4.50,4.51,308121300,4.10
2012-09-19,4.47,4.58,4.45,4.55,416372800,4.14
2012-09-18,4.44,4.48,4.42,4.44,204576000,4.04
2012-09-17,4.48,4.49,4.41,4.42,271037100,4.02
2012-09-14,4.38,4.45,4.37,4.43,376862400,4.03
2012-09-13,4.28,4.32,4.25,4.28,273832000,3.89
2012-09-12,4.26,4.30,4.24,4.26,211329500,3.88
2012-09-11,4.25,4.26,4.16,4.22,259561600,3.84
2012-09-10,4.34,4.37,4.23,4.26,384359800,3.88
2012-09-07,4.16,4.38,4.14,4.35,578842300,3.96
2012-09-06,4.08,4.11,4.05,4.10,283359100,3.73
2012-09-05,4.12,4.13,4.05,4.07,346987500,3.70
2012-09-04,4.21,4.23,4.13,4.16,247822200,3.79
2012-09-03,4.15,4.24,4.15,4.20,211134300,3.82
2012-08-31,4.18,4.24,4.17,4.20,242253600,3.82
2012-08-30,4.24,4.24,4.17,4.19,263190200,3.81
2012-08-29,4.31,4.34,4.27,4.27,236207000,3.89
2012-08-28,4.30,4.37,4.29,4.33,145497400,3.94
2012-08-27,4.43,4.43,4.31,4.31,233255300,3.92
2012-08-24,4.44,4.45,4.39,4.39,123378800,4.00
2012-08-23,4.44,4.49,4.44,4.48,168874000,4.08
2012-08-22,4.42,4.46,4.39,4.41,155985100,4.01
2012-08-21,4.45,4.49,4.44,4.47,144521000,4.07
2012-08-20,4.47,4.48,4.37,4.45,212313500,4.05
2012-08-17,4.50,4.52,4.48,4.49,188324800,4.09
2012-08-16,4.50,4.50,4.42,4.44,176552400,4.04
2012-08-15,4.51,4.54,4.47,4.50,193480900,4.10
2012-08-14,4.54,4.56,4.47,4.55,199613200,4.14
2012-08-13,4.55,4.55,4.48,4.49,179149000,4.09
