Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,16.22,16.30,16.10,16.18,5096600,15.65
2012-12-28,16.28,16.34,16.06,16.34,10884800,15.81
2012-12-27,16.24,16.24,16.02,16.04,5397900,15.52
2012-12-26,16.08,16.08,16.08,16.08,000,15.56
2012-12-25,16.08,16.08,16.08,16.08,000,15.56
2012-12-24,15.98,16.12,15.98,16.08,4804200,15.56
2012-12-21,16.26,16.26,16.06,16.10,11807900,15.58
2012-12-20,15.90,16.12,15.78,16.10,13116400,15.58
2012-12-19,15.90,16.04,15.88,16.00,21750200,15.48
2012-12-18,15.62,15.92,15.62,15.88,17630700,15.36
2012-12-17,15.90,16.00,15.54,15.64,25512400,15.13
2012-12-14,15.82,16.08,15.68,15.98,24498100,15.46
2012-12-13,16.00,16.10,15.88,15.90,22005700,15.38
2012-12-12,16.08,16.22,16.02,16.06,16999900,15.54
2012-12-11,16.10,16.28,16.00,16.12,17415800,15.60
2012-12-10,16.42,16.42,16.12,16.18,46956100,15.65
2012-12-07,15.92,16.96,15.90,16.44,133083100,15.91
2012-12-06,15.90,15.96,15.74,15.88,20507400,15.36
2012-12-05,15.76,15.86,15.74,15.82,11073800,15.31
2012-12-04,15.58,15.82,15.58,15.76,14791100,15.25
2012-12-03,15.88,15.90,15.60,15.64,10155700,15.13
2012-11-30,15.88,15.94,15.74,15.78,13819700,15.27
2012-11-29,15.76,15.92,15.64,15.80,18393200,15.29
2012-11-28,15.48,15.70,15.42,15.66,27847000,15.15
2012-11-27,15.38,15.58,15.34,15.40,16324500,14.90
2012-11-26,15.40,15.66,15.20,15.24,16769900,14.74
2012-11-23,15.46,15.50,15.22,15.44,16630200,14.94
2012-11-22,15.38,15.56,15.28,15.46,11112700,14.96
2012-11-21,15.62,15.62,15.36,15.38,13293600,14.88
2012-11-20,15.54,15.70,15.36,15.38,20042100,14.88
2012-11-19,15.40,15.84,15.22,15.38,44174000,14.88
2012-11-16,15.00,15.04,14.80,14.92,6661700,14.43
2012-11-15,14.90,15.18,14.90,15.00,10526000,14.51
2012-11-14,14.90,15.08,14.78,15.00,11058900,14.51
2012-11-13,15.18,15.18,14.72,14.78,12329800,14.30
2012-11-12,15.08,15.14,15.04,15.12,12245100,14.63
2012-11-09,14.98,15.06,14.88,15.00,17671000,14.51
2012-11-08,14.88,15.12,14.82,14.94,14439000,14.45
2012-11-07,15.10,15.10,14.86,15.00,11006600,14.51
2012-11-06,14.90,15.00,14.68,14.96,11701000,14.47
2012-11-05,14.94,15.10,14.88,15.00,13200800,14.51
2012-11-02,14.90,15.24,14.84,14.96,36299800,14.47
2012-11-01,14.46,14.80,14.38,14.78,31093500,14.30
2012-10-31,14.40,14.54,14.28,14.40,18925100,13.93
2012-10-30,14.20,14.44,14.06,14.40,54173000,13.93
2012-10-29,13.80,13.94,13.80,13.92,8970100,13.47
2012-10-26,13.90,13.94,13.78,13.86,8094100,13.41
2012-10-25,13.90,13.94,13.78,13.90,7421700,13.45
2012-10-24,13.90,13.96,13.76,13.88,12092600,13.43
2012-10-23,13.86,13.86,13.86,13.86,000,13.41
2012-10-22,13.80,13.90,13.74,13.86,9345700,13.41
2012-10-19,13.90,13.94,13.76,13.92,8611500,13.47
2012-10-18,13.84,13.96,13.76,13.80,10010200,13.35
2012-10-17,14.00,14.00,13.82,13.84,8553000,13.39
2012-10-16,13.92,13.96,13.84,13.92,8376000,13.47
2012-10-15,13.92,13.92,13.82,13.84,8487000,13.39
2012-10-12,13.84,13.92,13.72,13.82,10361200,13.37
2012-10-11,13.70,13.86,13.68,13.82,12037500,13.37
2012-10-10,13.66,13.74,13.54,13.72,4613300,13.27
2012-10-09,13.54,13.72,13.54,13.66,12667200,13.22
2012-10-08,13.60,13.62,13.44,13.52,8198500,13.08
2012-10-05,13.56,13.74,13.56,13.60,13396900,13.16
2012-10-04,13.46,13.60,13.44,13.54,7766100,13.10
2012-10-03,13.70,13.70,13.42,13.46,11455100,13.02
2012-10-02,13.58,13.58,13.58,13.58,000,13.14
2012-10-01,13.58,13.58,13.58,13.58,000,13.14
2012-09-28,13.60,13.64,13.52,13.58,9444800,13.14
2012-09-27,13.36,13.54,13.34,13.52,10203500,13.08
2012-09-26,13.40,13.46,13.38,13.40,16011700,12.96
2012-09-25,13.58,13.58,13.42,13.50,11968300,13.06
2012-09-24,13.62,13.64,13.54,13.60,15199800,13.16
2012-09-21,13.68,13.78,13.64,13.70,9697200,13.25
2012-09-20,13.70,13.78,13.54,13.64,12370800,13.20
2012-09-19,13.70,13.74,13.54,13.70,53911600,13.25
2012-09-18,13.92,13.98,13.58,13.62,26713700,13.18
2012-09-17,14.00,14.12,13.90,13.98,14818500,13.53
2012-09-14,13.92,13.96,13.86,13.94,17504000,13.49
2012-09-13,13.82,14.00,13.78,13.80,14941900,13.35
2012-09-12,13.70,13.88,13.68,13.74,13947300,13.29
2012-09-11,13.68,13.80,13.56,13.66,6043000,13.22
2012-09-10,13.78,13.88,13.64,13.70,9884000,13.25
2012-09-07,13.66,13.72,13.60,13.70,30552900,13.25
2012-09-06,13.42,13.60,13.42,13.48,9793000,13.04
2012-09-05,13.34,13.46,13.26,13.40,14407800,12.96
2012-09-04,13.46,13.66,13.36,13.44,13613800,13.00
2012-09-03,13.38,13.52,13.30,13.46,13556900,13.02
2012-08-31,13.32,13.36,13.18,13.26,9315800,12.83
2012-08-30,13.12,13.48,13.10,13.32,13694400,12.89
2012-08-29,13.30,13.36,13.16,13.22,9929400,12.79
2012-08-28,13.40,13.40,13.16,13.26,8631500,12.83
2012-08-27,13.44,13.52,13.18,13.36,19655500,12.93
2012-08-24,13.50,13.74,13.38,13.44,53609600,13.00
2012-08-23,13.04,13.26,13.04,13.22,13555700,12.79
2012-08-22,13.02,13.16,12.94,13.06,23320600,12.64
2012-08-21,12.62,13.08,12.56,13.06,50040100,12.64
2012-08-20,12.48,12.64,12.38,12.52,7665000,12.11
2012-08-17,12.42,12.46,12.30,12.42,4890200,12.02
2012-08-16,12.36,12.44,12.30,12.34,5659700,11.94
2012-08-15,12.44,12.46,12.34,12.38,7051700,11.98
2012-08-14,12.58,12.58,12.46,12.50,4335300,12.09
2012-08-13,12.62,12.72,12.50,12.52,7559000,12.11
2012-08-10,12.54,12.62,12.48,12.56,8185300,12.15
2012-08-09,12.60,12.60,12.40,12.48,19399100,12.07
2012-08-08,12.72,12.74,12.56,12.58,4116600,12.17
2012-08-07,12.68,12.76,12.62,12.66,9696000,12.25
2012-08-06,12.82,12.84,12.60,12.68,6389100,12.27
2012-08-03,12.66,12.74,12.50,12.70,6357600,12.29
2012-08-02,12.64,12.72,12.60,12.64,4548900,12.23
2012-08-01,12.52,12.78,12.52,12.66,11989900,12.25
2012-07-31,12.46,12.64,12.46,12.56,10034200,12.15
2012-07-30,12.50,12.62,12.48,12.50,8438800,12.09
2012-07-27,12.32,12.44,12.24,12.40,9477900,12.00
2012-07-26,12.10,12.50,12.10,12.20,6991300,11.80
2012-07-25,12.12,12.22,12.06,12.14,7796300,11.75
2012-07-24,12.24,12.28,12.08,12.12,4356700,11.73
2012-07-23,12.20,12.30,12.08,12.22,8341200,11.82
2012-07-20,12.24,12.30,12.18,12.26,8865400,11.86
2012-07-19,12.26,12.32,12.20,12.26,13474000,11.86
2012-07-18,12.36,12.36,12.14,12.18,7445000,11.78
2012-07-17,12.36,12.40,12.24,12.32,7537900,11.92
2012-07-16,12.34,12.48,12.18,12.30,6411500,11.90
2012-07-13,12.24,12.34,12.20,12.26,4172200,11.86
2012-07-12,12.42,12.48,12.16,12.18,11004200,11.78
2012-07-11,12.24,12.30,12.18,12.28,4887300,11.88
2012-07-10,12.30,12.34,12.18,12.30,7346000,11.90
2012-07-09,12.26,12.28,12.10,12.12,12266000,11.73
2012-07-06,12.22,12.44,12.22,12.30,9424800,11.90
2012-07-05,12.30,12.36,12.18,12.28,9659100,11.88
2012-07-04,12.46,12.56,12.30,12.32,7500100,11.92
2012-07-03,12.50,12.50,12.30,12.40,10291100,12.00
2012-07-02,12.34,12.34,12.34,12.34,000,11.94
2012-06-29,12.38,12.48,12.30,12.34,10270100,11.94
2012-06-28,12.50,12.52,12.14,12.26,18031400,11.86
2012-06-27,12.38,12.58,12.30,12.36,11688200,11.96
