Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10.98,11.28,10.98,11.23,8697700,10.31
2012-12-28,11.13,11.20,11.00,11.10,7579500,10.19
2012-12-27,11.21,11.33,11.01,11.05,17563300,10.14
2012-12-26,10.98,10.98,10.98,10.98,000,10.08
2012-12-25,10.98,10.98,10.98,10.98,000,10.08
2012-12-24,10.88,11.05,10.88,10.98,4619100,10.08
2012-12-21,11.08,11.16,11.01,11.06,20026400,10.16
2012-12-20,11.29,11.34,11.08,11.18,18221000,10.26
2012-12-19,11.16,11.33,11.16,11.29,34726000,10.37
2012-12-18,11.23,11.24,11.06,11.10,20505000,10.19
2012-12-17,11.06,11.21,10.97,11.18,39156400,10.26
2012-12-14,10.97,10.97,10.87,10.92,13707600,10.02
2012-12-13,10.92,10.98,10.88,10.93,33142400,10.04
2012-12-12,10.92,10.95,10.80,10.83,21913000,9.95
2012-12-11,10.97,10.97,10.75,10.80,17817900,9.92
2012-12-10,10.80,10.80,10.67,10.75,16706400,9.87
2012-12-07,10.67,10.72,10.60,10.64,18187700,9.76
2012-12-06,10.54,10.64,10.46,10.60,20467800,9.73
2012-12-05,10.33,10.51,10.26,10.41,21615600,9.55
2012-12-04,10.05,10.33,10.03,10.29,20779500,9.45
2012-12-03,10.42,10.54,10.13,10.16,20541600,9.33
2012-11-30,10.41,10.51,10.29,10.47,26237300,9.61
2012-11-29,10.21,10.34,10.18,10.33,24614100,9.48
2012-11-28,10.11,10.16,10.01,10.13,14803200,9.30
2012-11-27,10.11,10.24,10.10,10.18,21577800,9.34
2012-11-26,10.24,10.34,10.13,10.24,18705200,9.40
2012-11-23,10.08,10.24,10.05,10.18,23834500,9.34
2012-11-22,9.98,10.10,9.90,10.00,19756100,9.18
2012-11-21,10.21,10.21,9.78,9.91,39276800,9.10
2012-11-20,10.28,10.31,10.03,10.11,15420500,9.28
2012-11-19,10.01,10.18,9.93,10.16,26332500,9.33
2012-11-16,10.46,10.47,9.73,9.90,60793000,9.09
2012-11-15,10.49,10.65,10.33,10.39,20786700,9.54
2012-11-14,10.59,10.78,10.59,10.72,18083500,9.84
2012-11-13,10.49,10.62,10.36,10.51,20719300,9.64
2012-11-12,10.33,10.34,10.21,10.28,13140100,9.43
2012-11-09,10.42,10.44,10.14,10.16,29051500,9.33
2012-11-08,10.67,10.72,10.42,10.52,25058200,9.66
2012-11-07,11.06,11.06,10.87,10.90,26952500,10.01
2012-11-06,10.98,11.05,10.95,10.97,33462500,10.07
2012-11-05,10.92,11.01,10.83,10.93,21695400,10.04
2012-11-02,10.82,10.88,10.75,10.82,33154200,9.93
2012-11-01,10.78,10.83,10.49,10.75,24391500,9.87
2012-10-31,10.67,10.75,10.62,10.67,20540100,9.79
