Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,30.45,30.50,30.20,30.50,1442200,28.83
2012-12-28,30.65,30.70,30.40,30.50,2307200,28.83
2012-12-27,30.75,30.85,30.50,30.55,1451400,28.87
2012-12-26,30.75,30.75,30.75,30.75,000,29.06
2012-12-25,30.75,30.75,30.75,30.75,000,29.06
2012-12-24,30.80,30.90,30.50,30.75,706400,29.06
2012-12-21,31.00,31.00,30.45,30.55,1235400,28.87
2012-12-20,30.80,30.80,30.50,30.70,1499600,29.02
2012-12-19,30.55,31.05,30.05,30.75,3150600,29.06
2012-12-18,30.80,30.80,30.30,30.40,2249300,28.73
2012-12-17,30.65,30.75,30.45,30.60,2235400,28.92
2012-12-14,30.75,30.90,30.60,30.90,2883400,29.21
2012-12-13,30.70,30.90,30.50,30.65,2025700,28.97
2012-12-12,31.10,31.10,30.70,30.90,1801100,29.21
2012-12-11,30.80,31.10,30.50,30.75,2390200,29.06
2012-12-10,30.90,31.15,30.70,31.15,1838600,29.44
2012-12-07,31.15,31.15,30.55,30.65,3366900,28.97
2012-12-06,31.20,31.30,30.85,30.90,1794300,29.21
2012-12-05,31.15,31.35,30.95,31.20,2134200,29.49
2012-12-04,30.50,31.25,30.50,31.15,2211600,29.44
2012-12-03,31.20,31.30,30.60,30.85,2175500,29.16
2012-11-30,30.90,31.00,30.80,30.95,3248600,29.25
2012-11-29,30.55,30.90,30.40,30.85,2582600,29.16
2012-11-28,30.50,30.50,30.30,30.40,1699500,28.73
2012-11-27,30.50,30.50,30.35,30.50,2897400,28.83
2012-11-26,30.25,30.50,30.25,30.50,1852400,28.83
2012-11-23,30.25,30.30,30.05,30.25,3018100,28.59
2012-11-22,30.05,30.20,29.85,30.15,2106200,28.50
2012-11-21,30.10,30.15,29.85,30.05,1297200,28.40
2012-11-20,29.95,30.15,29.85,30.10,3790200,28.45
2012-11-19,29.90,29.95,29.70,29.95,1753400,28.31
2012-11-16,29.35,29.80,29.05,29.70,2423500,28.07
2012-11-15,29.20,29.30,29.05,29.05,1186100,27.46
2012-11-14,29.20,29.40,29.20,29.25,1156700,27.65
2012-11-13,29.35,29.50,29.20,29.20,1456400,27.60
2012-11-12,29.90,29.90,29.45,29.50,759400,27.88
2012-11-09,29.80,29.95,29.50,29.75,2268700,28.12
2012-11-08,29.75,29.95,29.60,29.65,2072200,28.02
2012-11-07,30.30,30.30,29.70,29.95,2564800,28.31
2012-11-06,30.05,30.15,29.65,29.90,3824900,28.26
2012-11-05,30.05,30.15,29.85,30.05,2325100,28.40
2012-11-02,30.20,30.30,29.90,30.15,2235200,28.50
2012-11-01,30.20,30.30,29.90,30.05,2639500,28.40
2012-10-31,30.00,30.30,29.75,30.30,3299500,28.64
2012-10-30,30.00,30.00,29.50,29.75,2547500,28.12
2012-10-29,29.70,30.00,29.10,30.00,4271600,28.36
2012-10-26,30.30,30.30,29.95,29.95,3251200,28.31
2012-10-25,30.10,30.15,29.90,30.10,3639800,28.45
2012-10-24,30.00,30.20,29.80,30.15,7105500,28.50
2012-10-23,29.85,29.85,29.85,29.85,000,28.21
2012-10-22,29.35,29.90,29.30,29.85,4880600,28.21
2012-10-19,29.35,29.45,29.20,29.40,3074900,27.79
2012-10-18,29.35,29.50,29.20,29.35,2353100,27.74
2012-10-17,29.40,29.50,29.20,29.25,3302800,27.65
2012-10-16,29.35,29.40,29.10,29.25,1836900,27.65
2012-10-15,29.40,29.40,29.05,29.10,2579300,27.50
2012-10-12,29.30,29.55,29.15,29.25,1931700,27.65
2012-10-11,29.10,29.50,29.10,29.40,4263800,27.79
2012-10-10,29.50,29.50,29.25,29.40,3639700,27.79
2012-10-09,29.35,29.70,29.35,29.50,2352600,27.88
2012-10-08,29.30,29.55,29.30,29.55,2758300,27.93
2012-10-05,29.65,29.65,29.45,29.50,1987600,27.88
2012-10-04,29.70,29.70,29.45,29.65,2930400,28.02
2012-10-03,29.20,29.70,29.15,29.70,5240900,28.07
2012-10-02,29.40,29.40,29.40,29.40,000,27.79
2012-10-01,29.40,29.40,29.40,29.40,000,27.79
2012-09-28,29.40,29.50,29.10,29.40,2655800,27.79
2012-09-27,29.30,29.60,29.20,29.45,2711100,27.84
2012-09-26,29.30,29.50,29.25,29.30,2285400,27.69
2012-09-25,29.30,29.70,29.20,29.55,3709000,27.93
2012-09-24,29.20,29.35,29.05,29.30,2108100,27.69
2012-09-21,29.40,29.40,29.10,29.20,2390200,27.60
2012-09-20,29.45,29.50,29.10,29.35,2195700,27.74
2012-09-19,29.20,29.45,29.05,29.45,4071500,27.84
2012-09-18,28.80,29.15,28.80,29.00,2776900,27.41
2012-09-17,29.40,29.40,29.00,29.05,2792800,27.46
2012-09-14,28.95,29.20,28.80,29.15,6260900,27.55
2012-09-13,28.95,28.95,28.70,28.75,2027800,27.17
2012-09-12,28.75,28.95,28.70,28.90,2950000,27.32
2012-09-11,28.40,28.70,28.25,28.60,3290700,27.03
2012-09-10,28.25,28.45,28.15,28.40,2008700,26.84
2012-09-07,28.10,28.20,28.00,28.20,4784900,26.65
2012-09-06,27.80,28.10,27.75,28.00,2802000,26.46
2012-09-05,28.00,28.00,27.75,27.95,2663400,26.42
2012-09-04,27.85,28.00,27.75,27.95,1405500,26.42
2012-09-03,27.80,28.00,27.70,28.00,2220300,26.46
2012-08-31,27.95,27.95,27.70,27.80,2774200,26.28
2012-08-30,27.85,27.95,27.60,27.70,1735500,26.18
2012-08-29,27.90,28.00,27.75,27.95,1204500,26.42
2012-08-28,27.95,28.00,27.80,27.95,1553200,26.42
2012-08-27,28.00,28.05,27.75,27.80,942100,26.28
2012-08-24,27.75,28.00,27.60,27.95,2225200,26.42
2012-08-23,28.10,28.30,28.10,28.20,2583900,26.42
2012-08-22,28.00,28.20,28.00,28.10,929900,26.32
2012-08-21,28.25,28.25,28.00,28.20,1245600,26.42
2012-08-20,28.30,28.30,28.00,28.15,1810900,26.37
2012-08-17,28.10,28.25,28.10,28.20,2148200,26.42
2012-08-16,28.25,28.25,27.80,28.10,1925900,26.32
2012-08-15,28.10,28.15,27.80,28.15,3978800,26.37
2012-08-14,27.80,28.00,27.50,28.00,5218200,26.23
2012-08-13,27.70,27.85,27.50,27.65,1121000,25.90
2012-08-10,27.70,27.80,27.40,27.65,2252000,25.90
2012-08-09,27.45,27.70,27.25,27.70,1765800,25.95
2012-08-08,27.55,27.60,27.35,27.45,1039400,25.71
2012-08-07,27.50,27.50,27.30,27.50,1745200,25.76
2012-08-06,27.50,27.50,27.30,27.35,1559600,25.62
2012-08-03,27.20,27.35,27.05,27.20,929000,25.48
2012-08-02,27.60,27.65,27.20,27.25,2896200,25.53
2012-08-01,27.10,27.40,26.70,27.40,2622600,25.67
2012-07-31,27.30,27.30,27.00,27.10,2495500,25.39
2012-07-30,26.90,27.00,26.75,27.00,2237200,25.29
2012-07-27,26.60,26.80,26.40,26.80,1010700,25.11
2012-07-26,26.35,26.60,26.15,26.45,968500,24.78
2012-07-25,26.15,26.55,26.00,26.50,1884000,24.82
2012-07-24,26.50,26.80,26.10,26.20,1196900,24.54
2012-07-23,26.85,26.85,26.35,26.50,1353400,24.82
2012-07-20,26.80,27.10,26.80,27.05,1307400,25.34
2012-07-19,27.00,27.05,26.70,26.95,1851200,25.25
2012-07-18,26.65,26.90,26.50,26.70,1099800,25.01
2012-07-17,26.05,26.75,26.05,26.65,2132300,24.97
2012-07-16,26.35,26.35,25.80,26.00,2243700,24.36
2012-07-13,26.00,26.50,26.00,26.25,2018800,24.59
2012-07-12,26.65,26.75,26.05,26.10,1543700,24.45
2012-07-11,26.70,26.90,26.40,26.80,1543800,25.11
2012-07-10,27.00,27.00,26.35,26.45,1218500,24.78
2012-07-09,27.10,27.20,26.85,26.95,2488500,25.25
2012-07-06,26.90,27.15,26.65,27.10,3365700,25.39
2012-07-05,26.65,26.80,26.50,26.65,924700,24.97
2012-07-04,26.70,26.90,26.40,26.70,1058800,25.01
2012-07-03,26.55,26.80,26.50,26.70,1136200,25.01
2012-07-02,26.45,26.45,26.45,26.45,000,24.78
2012-06-29,26.25,26.80,26.15,26.45,2652200,24.78
2012-06-28,26.20,26.30,26.00,26.15,2362500,24.50
2012-06-27,25.70,26.15,25.55,26.10,1600000,24.45
2012-06-26,25.30,25.90,25.30,25.70,1000500,24.08
2012-06-25,25.50,25.65,25.30,25.55,1232100,23.93
2012-06-22,25.70,25.70,25.45,25.50,1007100,23.89
2012-06-21,25.70,25.90,25.65,25.70,1075800,24.08
2012-06-20,25.85,25.95,25.60,25.70,1416600,24.08
2012-06-19,25.70,25.90,25.60,25.80,1936700,24.17
2012-06-18,25.45,25.60,25.35,25.55,1957200,23.93
2012-06-15,24.90,25.30,24.80,25.25,1694900,23.65
2012-06-14,24.80,25.05,24.80,24.90,1049500,23.33
2012-06-13,24.90,25.15,24.80,24.95,1941500,23.37
2012-06-12,24.95,25.05,24.80,24.85,1430600,23.28
2012-06-11,25.05,25.10,24.70,25.00,2234100,23.42
2012-06-08,24.90,25.00,24.60,24.80,2644500,23.23
2012-06-07,25.40,25.45,24.80,24.85,2418700,23.28
2012-06-06,25.05,25.25,25.00,25.05,1150500,23.47
2012-06-05,24.95,25.20,24.90,25.20,1411400,23.61
2012-06-04,25.35,25.35,24.70,24.95,1827300,23.37
2012-06-01,25.00,25.45,25.00,25.25,2775200,23.65
