Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,11.88,12.04,11.88,12.02,8393400,11.44
2012-12-28,12.20,12.24,12.06,12.06,6351500,11.48
2012-12-27,12.22,12.26,12.10,12.12,6458300,11.54
2012-12-26,12.14,12.14,12.14,12.14,000,11.56
2012-12-25,12.14,12.14,12.14,12.14,000,11.56
2012-12-24,12.02,12.20,12.00,12.14,3520700,11.56
2012-12-21,12.28,12.28,12.04,12.10,15506300,11.52
2012-12-20,12.18,12.26,12.08,12.22,10659100,11.64
2012-12-19,12.28,12.30,12.10,12.28,9916500,11.69
2012-12-18,12.30,12.34,12.18,12.22,13977100,11.64
2012-12-17,12.22,12.28,12.14,12.22,11213200,11.64
2012-12-14,12.14,12.24,12.06,12.18,8122300,11.60
2012-12-13,12.18,12.30,12.10,12.14,12754100,11.56
2012-12-12,12.12,12.30,12.08,12.26,16676700,11.67
2012-12-11,12.16,12.20,12.10,12.14,17453200,11.56
2012-12-10,12.42,12.48,12.18,12.24,14221500,11.65
2012-12-07,12.28,12.46,12.28,12.42,13700200,11.83
2012-12-06,12.48,12.48,12.28,12.40,13394000,11.81
2012-12-05,12.10,12.36,12.10,12.34,7794400,11.75
2012-12-04,12.14,12.28,12.08,12.14,9066500,11.56
2012-12-03,12.42,12.42,12.08,12.28,16842200,11.69
2012-11-30,12.20,12.34,12.12,12.28,18057200,11.69
2012-11-29,12.06,12.32,12.02,12.26,22571000,11.67
2012-11-28,12.00,12.16,11.92,12.04,10041900,11.46
2012-11-27,12.26,12.26,11.98,12.10,14297700,11.52
2012-11-26,12.26,12.36,12.14,12.24,10613800,11.65
2012-11-23,12.22,12.42,12.04,12.38,15790500,11.79
2012-11-22,12.36,12.54,12.22,12.52,13304800,11.65
2012-11-21,12.18,12.26,12.12,12.26,9933400,11.41
2012-11-20,12.06,12.16,12.00,12.10,18102200,11.26
2012-11-19,11.86,12.00,11.78,11.90,13997000,11.08
2012-11-16,11.88,11.94,11.76,11.86,10529500,11.04
2012-11-15,11.70,11.96,11.68,11.86,6650000,11.04
2012-11-14,11.68,11.96,11.68,11.86,18325600,11.04
2012-11-13,12.20,12.20,11.72,11.78,25830000,10.97
2012-11-12,12.20,12.36,12.10,12.22,16357300,11.38
2012-11-09,12.20,12.50,12.20,12.26,19487300,11.41
2012-11-08,12.44,12.66,12.30,12.34,18811900,11.49
2012-11-07,12.40,12.78,12.40,12.74,22072200,11.86
2012-11-06,12.42,12.48,12.20,12.34,14769700,11.49
2012-11-05,12.40,12.52,12.34,12.46,15084000,11.60
2012-11-02,12.28,12.38,12.18,12.34,13104100,11.49
2012-11-01,12.00,12.18,11.90,12.08,15231600,11.24
2012-10-31,11.88,12.04,11.74,11.98,19761600,11.15
2012-10-30,12.00,12.06,11.56,11.74,30310200,10.93
2012-10-29,12.00,12.12,11.68,12.08,67470900,11.24
2012-10-26,13.10,13.10,12.82,12.90,12759100,12.01
2012-10-25,13.06,13.20,12.94,13.10,18597900,12.19
2012-10-24,12.98,13.18,12.82,12.98,21232000,12.08
2012-10-23,12.98,12.98,12.98,12.98,000,12.08
2012-10-22,12.64,13.04,12.60,12.98,12528900,12.08
2012-10-19,13.00,13.00,12.68,12.78,9447000,11.90
2012-10-18,12.70,13.10,12.70,13.00,20928200,12.10
2012-10-17,12.68,12.76,12.60,12.76,16072100,11.88
2012-10-16,12.68,12.68,12.48,12.62,14776400,11.75
2012-10-15,12.58,12.60,12.38,12.58,14378500,11.71
2012-10-12,12.38,12.56,12.28,12.52,26798400,11.65
2012-10-11,12.60,12.72,12.24,12.26,30941400,11.41
2012-10-10,12.20,12.80,12.12,12.76,22204000,11.88
2012-10-09,12.50,12.66,12.28,12.34,15220800,11.49
2012-10-08,12.64,12.78,12.38,12.44,19857300,11.58
2012-10-05,12.62,12.80,12.56,12.78,21606200,11.90
2012-10-04,12.50,12.56,12.38,12.50,29394200,11.64
2012-10-03,11.84,12.28,11.84,12.18,27741200,11.34
2012-10-02,12.02,12.02,12.02,12.02,000,11.19
2012-10-01,12.02,12.02,12.02,12.02,000,11.19
2012-09-28,12.04,12.20,12.00,12.02,19888400,11.19
2012-09-27,11.82,12.16,11.74,12.10,36921200,11.26
2012-09-26,11.56,12.00,11.50,11.96,42224800,11.13
2012-09-25,11.36,11.64,11.36,11.56,27478400,10.76
2012-09-24,11.20,11.64,11.04,11.40,21087600,10.61
2012-09-21,11.16,11.50,11.16,11.28,22760600,10.50
2012-09-20,11.30,11.34,11.02,11.10,17545500,10.33
2012-09-19,10.84,11.40,10.84,11.30,27970600,10.52
2012-09-18,10.64,11.06,10.64,11.00,30794800,10.24
2012-09-17,10.98,10.98,10.72,10.80,20791800,10.05
2012-09-14,10.56,10.98,10.50,10.88,40329600,10.13
2012-09-13,10.16,10.38,10.16,10.34,17747000,9.63
2012-09-12,10.14,10.38,10.12,10.34,14839000,9.63
2012-09-11,9.90,10.10,9.75,10.00,10325100,9.31
2012-09-10,9.77,9.94,9.77,9.90,10212900,9.22
2012-09-07,9.77,9.88,9.70,9.84,18428400,9.16
2012-09-06,9.67,9.68,9.38,9.49,8296500,8.83
2012-09-05,9.66,9.70,9.52,9.56,10471900,8.90
2012-09-04,9.75,9.86,9.65,9.67,3337100,9.00
2012-09-03,9.56,9.92,9.50,9.76,7399300,9.09
2012-08-31,9.51,9.65,9.50,9.64,12974100,8.97
2012-08-30,9.71,9.78,9.53,9.58,13368300,8.92
2012-08-29,9.95,9.98,9.78,9.82,7255600,9.14
2012-08-28,9.83,9.97,9.83,9.95,5012500,9.26
2012-08-27,10.18,10.18,9.92,9.96,6477600,9.27
2012-08-24,10.00,10.16,9.93,10.12,6347800,9.42
2012-08-23,9.90,10.26,9.90,10.20,12931900,9.49
2012-08-22,10.02,10.12,9.82,9.93,13497800,9.24
2012-08-21,10.14,10.24,10.12,10.18,4427800,9.48
2012-08-20,10.24,10.24,10.10,10.18,4986200,9.48
2012-08-17,10.20,10.36,10.20,10.30,4266000,9.59
2012-08-16,10.34,10.38,10.14,10.18,5139600,9.48
2012-08-15,10.46,10.46,10.26,10.28,8278900,9.57
2012-08-14,10.48,10.50,10.28,10.42,8058300,9.70
2012-08-13,10.40,10.48,10.22,10.40,9316900,9.68
2012-08-10,10.28,10.40,10.16,10.26,9618700,9.55
2012-08-09,10.24,10.48,10.16,10.40,12908100,9.68
2012-08-08,10.30,10.36,10.12,10.18,10855200,9.48
2012-08-07,10.34,10.42,10.20,10.30,9993200,9.59
2012-08-06,10.20,10.36,10.18,10.34,14775500,9.63
2012-08-03,9.96,10.10,9.81,10.08,8368100,9.38
2012-08-02,10.06,10.20,10.00,10.14,9671300,9.44
2012-08-01,9.85,10.12,9.80,10.04,20169100,9.35
2012-07-31,9.72,9.96,9.66,9.93,13858400,9.24
2012-07-30,9.73,9.80,9.64,9.76,12452500,9.09
2012-07-27,9.62,9.73,9.57,9.68,12698100,9.01
2012-07-26,9.61,9.61,9.45,9.52,8650700,8.86
2012-07-25,9.50,9.60,9.42,9.51,12987600,8.85
2012-07-24,9.75,9.89,9.63,9.65,4924700,8.98
2012-07-23,9.86,9.90,9.74,9.79,12071500,9.11
2012-07-20,10.10,10.10,9.75,10.06,10919200,9.36
2012-07-19,9.98,10.12,9.86,10.12,26471500,9.42
2012-07-18,9.88,9.96,9.76,9.88,12502700,9.20
2012-07-17,9.67,9.93,9.67,9.88,12498100,9.20
2012-07-16,9.78,9.78,9.60,9.68,5885000,9.01
2012-07-13,9.63,9.79,9.62,9.69,7011000,9.02
2012-07-12,9.80,9.80,9.54,9.68,11030600,9.01
2012-07-11,9.50,9.93,9.50,9.88,17853700,9.20
2012-07-10,9.64,9.77,9.52,9.68,8919300,9.01
2012-07-09,9.78,9.95,9.62,9.64,15847400,8.97
2012-07-06,9.73,9.95,9.73,9.88,20378700,9.20
2012-07-05,9.55,9.80,9.52,9.76,14547900,9.09
2012-07-04,9.39,9.70,9.39,9.64,16620800,8.97
2012-07-03,9.22,9.46,9.16,9.44,17613900,8.79
2012-07-02,9.01,9.01,9.01,9.01,000,8.39
2012-06-29,8.99,9.16,8.87,9.01,14564600,8.39
2012-06-28,9.10,9.12,8.85,8.86,10615200,8.25
2012-06-27,8.93,9.06,8.73,9.00,9607200,8.38
2012-06-26,8.66,8.92,8.66,8.91,9266000,8.29
2012-06-25,8.90,8.99,8.75,8.78,10335700,8.17
2012-06-22,9.00,9.10,8.92,8.99,11221400,8.37
2012-06-21,9.20,9.24,9.06,9.10,14483300,8.47
2012-06-20,9.14,9.25,9.05,9.20,16347800,8.56
2012-06-19,9.02,9.19,8.95,9.16,11314200,8.53
2012-06-18,9.04,9.12,8.97,9.02,11396200,8.40
2012-06-15,9.08,9.08,8.88,8.92,20523700,8.30
2012-06-14,8.83,9.08,8.77,8.96,9890100,8.34
2012-06-13,8.80,8.95,8.76,8.93,10953800,8.31
2012-06-12,8.60,8.88,8.50,8.85,9314900,8.24
2012-06-11,8.80,8.87,8.72,8.79,10927500,8.18
2012-06-08,8.45,8.54,8.37,8.49,7457000,7.90
2012-06-07,8.78,8.78,8.43,8.48,12400000,7.89
2012-06-06,8.22,8.67,8.22,8.65,14088800,8.05
2012-06-05,8.41,8.41,8.12,8.15,8642500,7.59
2012-06-04,8.26,8.35,8.17,8.21,10141300,7.64
2012-06-01,8.27,8.62,8.00,8.53,13678900,7.94
2012-05-31,8.32,8.44,8.19,8.36,15358000,7.78
2012-05-30,8.65,8.65,8.32,8.44,15462300,7.86
2012-05-29,8.21,8.64,8.21,8.62,16926400,8.02
2012-05-28,8.06,8.28,8.01,8.24,5987400,7.67
2012-05-25,8.01,8.14,7.95,8.11,13948700,7.55
2012-05-24,8.12,8.29,7.97,7.98,22210700,7.43
2012-05-23,8.50,8.50,8.15,8.16,16632800,7.60
2012-05-22,8.69,8.69,8.42,8.46,9268500,7.88
2012-05-21,8.29,8.58,8.25,8.51,8036900,7.92
2012-05-18,8.41,8.46,8.22,8.35,24567900,7.77
2012-05-17,9.10,9.10,8.62,8.70,17489500,8.10
2012-05-16,9.20,9.20,8.83,8.97,19195500,8.35
2012-05-15,9.05,9.38,8.99,9.29,14091300,8.65
2012-05-14,9.12,9.16,8.98,9.01,9691500,8.39
2012-05-11,9.22,9.25,9.01,9.12,12442300,8.49
2012-05-10,9.26,9.42,9.15,9.34,16095500,8.69
2012-05-09,9.20,9.27,9.08,9.21,11452300,8.57
2012-05-08,9.38,9.44,9.17,9.27,8227400,8.63
2012-05-07,9.40,9.60,9.28,9.33,10445400,8.68
2012-05-04,9.73,9.84,9.61,9.69,5600900,9.02
2012-05-03,9.98,9.98,9.75,9.83,7999500,9.15
2012-05-02,9.84,10.08,9.77,9.96,28158900,9.27
2012-05-01,9.69,9.69,9.69,9.69,000,9.02
2012-04-30,9.35,9.70,9.35,9.67,18347200,9.00
2012-04-27,9.48,9.54,9.25,9.42,18516700,8.77
2012-04-26,9.20,9.44,9.12,9.36,17382900,8.71
2012-04-25,9.16,9.18,9.03,9.06,7107900,8.43
2012-04-24,9.10,9.22,9.05,9.11,7599500,8.48
2012-04-23,9.34,9.38,9.12,9.13,3366700,8.50
2012-04-20,9.34,9.39,9.25,9.32,6629700,8.68
2012-04-19,9.26,9.38,9.16,9.34,7565900,8.69
2012-04-18,9.35,9.38,9.22,9.24,6299700,8.60
2012-04-17,9.31,9.31,9.15,9.22,7425900,8.58
2012-04-16,9.21,9.35,9.21,9.31,7648600,8.67
2012-04-13,9.31,9.42,9.25,9.36,11153800,8.71
2012-04-12,9.12,9.23,9.10,9.19,9777400,8.55
2012-04-11,8.99,9.22,8.95,9.10,12594800,8.47
2012-04-10,9.00,9.18,9.00,9.08,9978500,8.45
2012-04-09,9.15,9.15,9.15,9.15,000,8.52
2012-04-06,9.15,9.15,9.15,9.15,000,8.52
2012-04-05,9.11,9.20,9.02,9.15,11631200,8.52
2012-04-04,9.25,9.25,9.25,9.25,000,8.61
2012-04-03,9.03,9.38,8.98,9.25,20484400,8.61
2012-04-02,9.33,9.39,8.93,8.98,27780500,8.36
2012-03-30,8.99,9.42,8.91,9.33,58252500,8.68
2012-03-29,9.64,9.64,9.48,9.56,23748900,8.90
2012-03-28,9.72,9.75,9.64,9.75,18016600,9.08
2012-03-27,9.51,9.78,9.49,9.72,24143900,9.05
2012-03-26,9.12,9.47,9.04,9.26,16574800,8.62
2012-03-23,9.00,9.11,8.90,8.92,15111500,8.30
2012-03-22,9.22,9.27,9.06,9.13,19407400,8.50
2012-03-21,9.31,9.35,9.03,9.13,22816800,8.50
2012-03-20,9.65,9.65,9.36,9.41,11228000,8.76
2012-03-19,9.88,9.88,9.49,9.55,10617100,8.89
2012-03-16,9.72,9.85,9.61,9.71,11998600,9.04
2012-03-15,9.99,9.99,9.78,9.83,8941200,9.06
2012-03-14,10.10,10.34,9.81,9.91,25746300,9.13
2012-03-13,9.59,9.93,9.56,9.89,17286600,9.11
2012-03-12,9.63,9.70,9.40,9.51,11135600,8.76
2012-03-09,9.66,9.72,9.44,9.59,18541200,8.84
2012-03-08,9.50,9.77,9.50,9.64,18517000,8.88
2012-03-07,9.32,9.60,9.32,9.47,31675600,8.73
2012-03-06,10.14,10.14,9.67,9.72,19738500,8.96
2012-03-05,10.16,10.26,10.00,10.06,12140400,9.27
2012-03-02,10.26,10.28,10.00,10.12,27611400,9.32
2012-03-01,10.54,10.58,9.97,9.99,43969100,9.20
2012-02-29,10.70,10.78,10.12,10.68,28848200,9.84
2012-02-28,10.68,10.80,10.34,10.70,16438500,9.86
2012-02-27,10.42,10.96,10.36,10.56,21825600,9.73
2012-02-24,10.20,10.50,10.18,10.46,12126100,9.64
2012-02-23,10.22,10.34,10.14,10.24,19365100,9.44
2012-02-22,10.40,10.42,10.22,10.38,17766000,9.56
2012-02-21,10.34,10.44,10.10,10.38,17848800,9.56
