Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,11.00,11.00,10.88,10.98,34234900,10.13
2012-12-28,11.02,11.08,10.92,11.02,39376600,10.16
2012-12-27,11.10,11.16,10.94,11.02,41002100,10.16
2012-12-26,11.00,11.00,11.00,11.00,000,10.14
2012-12-25,11.00,11.00,11.00,11.00,000,10.14
2012-12-24,10.92,11.08,10.92,11.00,26466400,10.14
2012-12-21,10.88,11.10,10.82,11.06,77118500,10.20
2012-12-20,11.00,11.06,10.84,11.02,64320100,10.16
2012-12-19,10.88,11.06,10.76,11.00,78085700,10.14
2012-12-18,10.76,10.88,10.76,10.84,44759900,10.00
2012-12-17,10.98,10.98,10.80,10.86,56296000,10.02
2012-12-14,10.78,11.00,10.74,10.90,73865100,10.05
2012-12-13,10.66,10.86,10.64,10.76,56563700,9.92
2012-12-12,10.78,10.82,10.66,10.80,53637900,9.96
2012-12-11,10.78,10.78,10.62,10.68,42338300,9.85
2012-12-10,10.76,10.82,10.62,10.70,43041100,9.87
2012-12-07,10.60,10.86,10.60,10.68,76679500,9.85
2012-12-06,10.62,10.68,10.50,10.64,86964200,9.81
2012-12-05,10.30,10.66,10.30,10.56,104023000,9.74
2012-12-04,10.18,10.34,10.12,10.32,39198600,9.52
2012-12-03,10.42,10.48,10.14,10.24,51539300,9.44
2012-11-30,10.20,10.44,10.16,10.38,93654400,9.57
2012-11-29,10.24,10.30,10.08,10.20,52768400,9.41
2012-11-28,10.18,10.20,10.06,10.18,63943200,9.39
2012-11-27,10.24,10.42,10.22,10.28,76339900,9.48
2012-11-26,10.32,10.32,10.16,10.18,64342600,9.39
2012-11-23,10.18,10.32,10.18,10.28,72196100,9.48
2012-11-22,10.20,10.34,10.18,10.28,73448300,9.48
2012-11-21,10.26,10.26,10.02,10.18,76354800,9.39
2012-11-20,10.30,10.34,10.12,10.16,58996600,9.37
2012-11-19,10.24,10.28,10.12,10.22,43521100,9.43
2012-11-16,10.08,10.24,10.06,10.14,60600900,9.35
2012-11-15,10.20,10.28,10.06,10.10,58764900,9.31
2012-11-14,10.24,10.32,10.08,10.28,55805500,9.48
2012-11-13,10.20,10.28,10.10,10.14,62113700,9.35
2012-11-12,10.26,10.36,10.20,10.34,54192100,9.54
2012-11-09,10.24,10.34,10.20,10.26,72868900,9.46
2012-11-08,10.46,10.54,10.32,10.36,83082800,9.55
2012-11-07,10.58,10.70,10.44,10.68,67277500,9.85
2012-11-06,10.64,10.64,10.44,10.56,43611900,9.74
2012-11-05,10.56,10.64,10.46,10.54,59162200,9.72
2012-11-02,10.66,10.82,10.56,10.66,97480300,9.83
2012-11-01,10.30,10.54,10.30,10.52,108423800,9.70
2012-10-31,10.60,10.66,10.34,10.58,142859100,9.76
2012-10-30,10.78,10.98,10.74,10.80,74303200,9.96
2012-10-29,10.66,10.86,10.58,10.76,66064300,9.92
2012-10-26,10.68,10.74,10.52,10.54,45387500,9.72
2012-10-25,10.78,10.78,10.56,10.66,64315500,9.83
2012-10-24,10.82,10.82,10.66,10.68,85496900,9.85
2012-10-23,10.94,10.94,10.94,10.94,000,10.09
2012-10-22,10.88,11.02,10.84,10.94,64234100,10.09
2012-10-19,10.98,11.14,10.88,11.08,76677600,10.22
2012-10-18,10.90,11.08,10.90,11.02,82018600,10.16
2012-10-17,10.70,10.88,10.68,10.86,70005000,10.02
2012-10-16,10.58,10.78,10.52,10.70,102771800,9.87
2012-10-15,10.50,10.56,10.40,10.46,55226600,9.65
2012-10-12,10.40,10.50,10.32,10.38,42354300,9.57
2012-10-11,10.12,10.42,10.12,10.38,69763300,9.57
2012-10-10,10.08,10.32,10.06,10.20,45183400,9.41
2012-10-09,9.95,10.32,9.95,10.14,100373700,9.35
2012-10-08,10.00,10.10,9.90,9.93,73665900,9.16
2012-10-05,10.16,10.24,10.04,10.12,39107900,9.33
2012-10-04,9.99,10.06,9.96,10.00,44996300,9.22
2012-10-03,9.96,10.14,9.96,10.06,57425800,9.28
2012-10-02,10.16,10.16,10.16,10.16,000,9.37
2012-10-01,10.16,10.16,10.16,10.16,000,9.37
2012-09-28,10.14,10.30,10.12,10.16,42099700,9.37
2012-09-27,10.04,10.36,9.97,10.16,65838900,9.37
2012-09-26,9.98,10.06,9.95,10.04,31843500,9.26
2012-09-25,10.06,10.18,10.02,10.16,35732600,9.37
2012-09-24,10.02,10.16,9.97,10.14,46993700,9.35
2012-09-21,10.20,10.30,10.08,10.18,79821700,9.39
2012-09-20,10.12,10.18,9.93,10.04,92877500,9.26
2012-09-19,10.00,10.32,9.96,10.22,129534700,9.43
2012-09-18,10.00,10.06,9.93,9.95,74739500,9.18
2012-09-17,10.00,10.10,9.96,9.99,58704400,9.21
2012-09-14,9.86,9.95,9.82,9.91,119142000,9.14
2012-09-13,9.48,9.66,9.48,9.57,47938200,8.83
2012-09-12,9.55,9.61,9.51,9.58,73951400,8.83
2012-09-11,9.26,9.48,9.26,9.45,71017000,8.71
2012-09-10,9.30,9.42,9.25,9.37,70462000,8.64
2012-09-07,9.20,9.39,9.13,9.37,89105000,8.64
2012-09-06,9.08,9.16,9.05,9.12,49627900,8.41
2012-09-05,9.10,9.20,9.03,9.08,65829200,8.37
2012-09-04,9.44,9.44,9.33,9.34,43436100,8.47
2012-09-03,9.39,9.47,9.34,9.35,46813800,8.48
2012-08-31,9.40,9.43,9.33,9.35,53180400,8.48
2012-08-30,9.39,9.46,9.30,9.44,44296600,8.56
2012-08-29,9.55,9.56,9.43,9.45,43966500,8.57
2012-08-28,9.41,9.50,9.36,9.44,58555600,8.56
2012-08-27,9.63,9.63,9.41,9.50,91613800,8.62
2012-08-24,9.55,9.70,9.50,9.65,55939300,8.75
2012-08-23,9.67,9.81,9.65,9.71,54575800,8.81
2012-08-22,9.78,9.80,9.51,9.63,90534200,8.74
2012-08-21,9.81,9.95,9.73,9.86,62176300,8.94
2012-08-20,9.86,9.91,9.77,9.89,31591800,8.97
2012-08-17,9.82,9.95,9.80,9.88,73391400,8.96
2012-08-16,9.66,9.78,9.66,9.76,53323200,8.85
2012-08-15,9.70,9.77,9.63,9.71,63155400,8.81
2012-08-14,9.84,9.89,9.69,9.78,76011600,8.87
2012-08-13,9.84,9.85,9.67,9.71,47851200,8.81
2012-08-10,9.86,9.88,9.69,9.82,69865900,8.91
2012-08-09,9.76,9.91,9.73,9.81,92843700,8.90
2012-08-08,9.73,9.83,9.72,9.75,118084400,8.84
2012-08-07,9.62,9.66,9.60,9.64,82248100,8.75
2012-08-06,9.60,9.63,9.56,9.58,79720400,8.69
2012-08-03,9.45,9.50,9.31,9.43,132275700,8.55
2012-08-02,9.66,9.69,9.55,9.60,104413000,8.71
2012-08-01,9.76,9.93,9.71,9.85,88994900,8.94
2012-07-31,9.61,9.79,9.58,9.72,76227200,8.82
2012-07-30,9.60,9.62,9.43,9.55,64149300,8.66
2012-07-27,9.60,9.65,9.49,9.50,48495900,8.62
2012-07-26,9.31,9.44,9.29,9.38,50502800,8.51
2012-07-25,9.29,9.36,9.22,9.31,80552300,8.45
2012-07-24,9.48,9.66,9.38,9.42,52715600,8.55
2012-07-23,9.58,9.58,9.48,9.55,40116300,8.66
2012-07-20,9.80,9.80,9.66,9.79,57420900,8.88
2012-07-19,9.60,9.79,9.60,9.71,73478700,8.81
2012-07-18,9.67,9.67,9.42,9.50,48223900,8.62
2012-07-17,9.52,9.67,9.52,9.58,58381400,8.69
2012-07-16,9.36,9.50,9.29,9.40,65470400,8.53
2012-07-13,9.39,9.39,9.20,9.26,75136000,8.40
2012-07-12,9.37,9.38,9.25,9.27,104252700,8.41
2012-07-11,9.35,9.49,9.33,9.48,80971100,8.60
2012-07-10,9.46,9.51,9.41,9.49,75212500,8.61
2012-07-09,9.72,9.74,9.47,9.48,118600700,8.60
2012-07-06,10.06,10.06,9.72,9.88,65937900,8.96
2012-07-05,9.90,9.95,9.72,9.93,69048100,9.01
2012-07-04,10.00,10.06,9.81,9.85,73658000,8.94
2012-07-03,9.95,10.10,9.87,9.98,63903400,9.05
2012-07-02,9.95,9.95,9.95,9.95,000,9.03
2012-06-29,9.67,10.08,9.67,9.95,80156800,9.03
2012-06-28,9.85,9.86,9.66,9.72,82417500,8.82
2012-06-27,9.86,9.98,9.73,9.79,126074000,8.88
2012-06-26,9.84,10.00,9.81,9.99,85708800,9.06
2012-06-25,10.16,10.18,10.00,10.06,43328800,9.13
2012-06-22,10.18,10.28,10.12,10.18,55433400,9.23
2012-06-21,10.52,10.66,10.42,10.46,60243900,9.49
2012-06-20,10.70,10.74,10.58,10.62,43365000,9.63
2012-06-19,10.56,10.60,10.44,10.56,40130600,9.58
2012-06-18,10.76,10.76,10.54,10.58,58661200,9.60
2012-06-15,10.28,10.60,10.26,10.52,76634000,9.54
2012-06-14,10.34,10.36,10.20,10.28,37030000,9.33
2012-06-13,10.26,10.40,10.14,10.38,32668900,9.42
2012-06-12,10.22,10.42,10.18,10.30,48701400,9.34
2012-06-11,10.42,10.46,10.30,10.38,54891800,9.42
2012-06-08,10.14,10.14,9.97,10.12,74772500,9.18
2012-06-07,10.16,10.16,10.00,10.04,74602100,9.11
2012-06-06,9.75,9.92,9.63,9.89,53573200,8.97
2012-06-05,9.71,9.78,9.61,9.65,42859200,8.75
2012-06-04,9.61,9.78,9.56,9.71,71687500,8.81
2012-06-01,9.82,9.96,9.76,9.78,72592000,8.87
2012-05-31,9.70,9.89,9.66,9.82,63696300,8.91
2012-05-30,9.99,10.12,9.80,9.88,94629600,8.96
2012-05-29,10.22,10.32,10.14,10.28,52358300,9.14
2012-05-28,9.90,10.26,9.90,10.20,31650000,9.07
2012-05-25,9.98,10.26,9.98,10.18,48786100,9.05
2012-05-24,10.14,10.18,10.00,10.08,41458300,8.96
2012-05-23,10.00,10.16,9.94,10.14,63597600,9.02
2012-05-22,10.28,10.38,10.20,10.22,54930700,9.09
2012-05-21,10.10,10.28,10.04,10.16,43628400,9.04
2012-05-18,10.04,10.16,9.90,10.10,74974900,8.98
2012-05-17,10.42,10.42,10.04,10.12,63600000,9.00
2012-05-16,10.32,10.32,10.04,10.12,74620100,9.00
2012-05-15,10.24,10.60,10.22,10.52,65144500,9.36
2012-05-14,10.46,10.52,10.22,10.26,47078700,9.12
2012-05-11,10.30,10.50,10.20,10.44,71546900,9.28
2012-05-10,10.60,10.62,10.34,10.52,103212700,9.36
2012-05-09,10.80,10.82,10.62,10.74,61690500,9.55
2012-05-08,11.06,11.08,10.82,10.88,50646200,9.68
2012-05-07,11.02,11.10,10.90,10.96,79348300,9.75
