Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,63.20,65.00,63.20,64.90,9372000,63.36
2012-12-28,63.95,63.95,63.35,63.70,8400600,62.18
2012-12-27,63.80,63.95,63.40,63.70,9026300,62.18
2012-12-26,63.10,63.10,63.10,63.10,000,61.60
2012-12-25,63.10,63.10,63.10,63.10,000,61.60
2012-12-24,63.00,63.40,62.70,63.10,4942800,61.60
2012-12-21,62.30,63.45,62.00,63.25,11741700,61.75
2012-12-20,63.20,63.20,62.00,62.85,11990100,61.35
2012-12-19,64.10,64.15,62.30,63.05,16413100,61.55
2012-12-18,64.50,64.50,63.25,63.55,12183300,62.04
2012-12-17,63.20,64.30,63.10,63.90,19930500,62.38
2012-12-14,60.40,63.15,60.40,62.95,26900300,61.45
2012-12-13,61.20,61.20,60.55,60.85,11507300,59.40
2012-12-12,60.20,60.90,60.20,60.55,14556400,59.11
2012-12-11,60.25,60.75,59.90,59.95,12795100,58.52
2012-12-10,60.55,61.10,60.15,60.25,14244200,58.82
2012-12-07,60.80,61.00,59.90,60.00,17746400,58.57
2012-12-06,61.10,61.10,59.95,60.35,17601800,58.91
2012-12-05,58.55,61.00,58.55,60.50,301636700,59.06
2012-12-04,57.70,57.95,57.50,57.65,16090000,56.28
2012-12-03,58.85,59.45,57.75,57.85,8297700,56.47
2012-11-30,58.30,59.05,58.20,58.65,13787100,57.25
2012-11-29,57.75,58.35,57.55,57.90,7944800,56.52
2012-11-28,58.20,58.20,57.15,57.50,14706000,56.13
2012-11-27,59.10,59.55,58.30,58.50,7213600,57.11
2012-11-26,59.60,59.60,58.30,58.75,9193600,57.35
2012-11-23,58.60,59.75,58.60,59.40,13414300,57.99
2012-11-22,58.50,59.20,58.10,58.80,12096300,57.40
2012-11-21,58.55,58.55,57.55,58.20,16164000,56.82
2012-11-20,58.80,58.90,57.70,57.75,13045400,56.38
2012-11-19,58.85,59.10,57.50,58.45,19459700,57.06
2012-11-16,60.15,60.15,59.20,59.60,7449900,58.18
2012-11-15,59.85,60.05,58.80,59.50,9164900,58.08
2012-11-14,60.50,60.50,59.85,60.40,9707400,58.96
2012-11-13,60.60,61.00,59.65,59.90,8795400,58.48
2012-11-12,61.20,61.50,60.85,61.00,6184100,59.55
