Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,65.80,66.40,65.65,66.20,676200,61.17
2012-12-28,65.90,66.35,65.65,65.80,1548800,60.80
2012-12-27,65.50,66.25,65.50,66.05,991800,61.03
2012-12-26,65.75,65.75,65.75,65.75,000,60.75
2012-12-25,65.75,65.75,65.75,65.75,000,60.75
2012-12-24,65.80,65.90,65.20,65.75,662400,60.75
2012-12-21,65.35,65.60,64.65,65.15,1925200,60.20
2012-12-20,65.25,65.25,64.65,64.95,3037000,60.02
2012-12-19,65.55,65.80,64.90,65.00,5135200,60.06
2012-12-18,66.40,66.40,65.70,65.75,2067400,60.75
2012-12-17,65.70,67.00,65.70,66.00,2847500,60.99
2012-12-14,67.00,67.00,66.10,66.35,3504800,61.31
2012-12-13,66.10,66.35,65.50,65.85,7288000,60.85
2012-12-12,66.90,67.25,66.70,66.75,3827800,61.68
2012-12-11,67.90,68.00,67.20,67.50,1783700,62.37
2012-12-10,67.50,68.10,67.40,67.90,2297200,62.74
2012-12-07,68.15,68.25,67.00,67.10,2976300,62.00
2012-12-06,68.35,68.50,67.60,68.00,1824900,62.83
2012-12-05,67.95,68.25,67.50,68.00,2150200,62.83
2012-12-04,68.05,68.65,67.45,67.55,2205100,62.42
2012-12-03,68.95,69.20,68.25,68.35,1720100,63.16
2012-11-30,68.30,69.00,67.95,68.20,3173900,63.02
2012-11-29,67.95,68.80,67.95,68.50,2192000,63.30
2012-11-28,67.70,68.20,67.70,67.85,851400,62.70
2012-11-27,68.70,68.85,67.85,68.10,2340400,62.93
2012-11-26,68.30,68.85,67.65,68.15,1836300,62.97
2012-11-23,69.00,69.00,67.60,68.30,2099300,63.11
2012-11-22,67.00,68.70,67.00,68.70,1981400,63.48
2012-11-21,68.15,68.30,67.25,67.65,1366000,62.51
2012-11-20,68.20,68.20,67.40,67.70,1086100,62.56
2012-11-19,67.70,68.10,67.00,67.90,2699200,62.74
2012-11-16,67.40,67.40,66.50,66.85,1637200,61.77
2012-11-15,67.00,67.00,66.45,66.85,1251900,61.77
2012-11-14,67.00,67.00,66.45,66.65,1313900,61.59
