Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,34.10,34.20,33.65,33.95,2478900,31.81
2012-12-28,34.20,34.35,34.10,34.20,4319100,32.04
2012-12-27,33.95,34.20,33.80,33.90,3240100,31.76
2012-12-26,34.00,34.00,34.00,34.00,000,31.85
2012-12-25,34.00,34.00,34.00,34.00,000,31.85
2012-12-24,34.25,34.30,33.90,34.00,3694500,31.85
2012-12-21,34.95,34.95,33.70,34.05,7271900,31.90
2012-12-20,34.75,34.90,34.10,34.25,12161700,32.09
2012-12-19,34.45,34.50,33.95,34.10,7136600,31.95
2012-12-18,33.80,34.65,33.80,33.95,8135600,31.81
2012-12-17,34.10,34.50,33.35,33.90,10412700,31.76
2012-12-14,34.45,34.65,33.85,34.50,11064900,32.32
2012-12-13,33.90,34.65,33.55,34.55,15747500,32.37
2012-12-12,32.85,33.70,32.85,33.50,15700700,31.38
2012-12-11,32.35,32.75,32.15,32.55,8019700,30.49
2012-12-10,32.15,32.85,32.05,32.75,8356100,30.68
2012-12-07,32.05,32.50,31.70,31.95,16467900,29.93
2012-12-06,32.65,33.15,32.30,32.40,10959100,30.35
2012-12-05,30.50,32.45,30.35,32.30,21474000,30.26
2012-12-04,33.00,33.00,31.00,31.35,24901000,29.37
2012-12-03,33.65,33.65,32.40,32.80,12487200,30.73
2012-11-30,33.50,33.70,32.50,33.05,9925400,30.96
2012-11-29,33.30,33.95,33.30,33.55,9940700,31.43
2012-11-28,33.10,33.70,32.55,33.40,8428100,31.29
2012-11-27,33.00,33.90,32.80,33.20,12388700,31.10
2012-11-26,32.70,33.00,32.25,32.60,8027400,30.54
2012-11-23,32.40,33.00,32.20,32.95,7514700,30.87
2012-11-22,31.60,32.50,31.45,32.25,8045100,30.21
2012-11-21,31.00,31.75,30.70,31.65,5831200,29.65
2012-11-20,31.00,31.25,30.70,30.80,7507800,28.86
2012-11-19,31.50,31.50,30.55,30.75,4934800,28.81
2012-11-16,31.10,31.10,30.45,30.95,8858600,29.00
2012-11-15,30.20,31.05,30.15,30.70,11317800,28.76
2012-11-14,30.25,30.80,29.90,30.70,10920000,28.76
2012-11-13,29.90,30.20,29.35,29.75,7046800,27.87
2012-11-12,30.15,30.30,29.70,29.90,13487600,28.01
2012-11-09,30.35,30.40,30.00,30.10,13769900,28.20
2012-11-08,30.60,30.95,30.40,30.50,10972500,28.57
2012-11-07,31.05,31.70,31.00,31.40,9027800,29.42
2012-11-06,31.40,31.80,30.85,31.20,9131900,29.23
