Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,13.98,14.10,13.86,13.94,2054600,12.84
2012-12-28,14.08,14.14,13.98,14.06,2456000,12.95
2012-12-27,14.14,14.14,13.90,14.00,2766800,12.90
2012-12-26,14.00,14.00,14.00,14.00,000,12.90
2012-12-25,14.00,14.00,14.00,14.00,000,12.90
2012-12-24,13.84,14.04,13.84,14.00,772800,12.90
2012-12-21,14.20,14.20,13.80,13.86,4032900,12.77
2012-12-20,13.90,14.14,13.90,14.08,1971700,12.97
2012-12-19,14.16,14.24,14.04,14.08,6408300,12.97
2012-12-18,14.12,14.14,13.94,14.08,4704700,12.97
2012-12-17,14.04,14.18,13.90,14.00,3555700,12.90
2012-12-14,14.08,14.20,14.02,14.14,3841500,13.03
2012-12-13,14.00,14.26,13.86,14.02,5064300,12.92
2012-12-12,14.06,14.26,14.06,14.12,6889800,13.01
2012-12-11,14.00,14.14,13.96,14.06,4688600,12.95
2012-12-10,14.00,14.18,13.84,14.14,3201900,13.03
2012-12-07,14.10,14.18,13.88,13.92,7493400,12.82
2012-12-06,13.80,14.00,13.80,13.90,3604700,12.81
2012-12-05,13.44,13.96,13.44,13.92,5274900,12.82
2012-12-04,13.64,13.78,13.52,13.56,5967700,12.49
2012-12-03,14.06,14.30,13.68,13.80,5685800,12.71
2012-11-30,13.86,14.00,13.78,14.00,6831300,12.90
2012-11-29,13.70,13.86,13.62,13.82,5697000,12.73
2012-11-28,13.58,13.68,13.48,13.58,5640800,12.51
2012-11-27,13.68,13.70,13.46,13.54,6486600,12.47
2012-11-26,13.70,13.80,13.56,13.70,3746500,12.62
2012-11-23,13.56,13.74,13.50,13.72,3086400,12.64
2012-11-22,13.50,13.60,13.40,13.58,5301600,12.51
2012-11-21,13.38,13.42,13.14,13.32,4240100,12.27
2012-11-20,13.48,13.50,13.26,13.34,4622900,12.29
2012-11-19,13.20,13.40,13.02,13.38,4304900,12.33
2012-11-16,13.38,13.38,13.06,13.10,2977500,12.07
2012-11-15,13.08,13.32,13.08,13.22,3281400,12.18
2012-11-14,13.14,13.38,13.14,13.26,4355100,12.22
2012-11-13,13.14,13.24,13.02,13.08,5765200,12.05
2012-11-12,13.28,13.28,13.14,13.24,3775000,12.20
2012-11-09,13.46,13.54,13.20,13.26,7266500,12.22
2012-11-08,13.48,13.56,13.38,13.44,8292700,12.38
2012-11-07,13.62,13.70,13.30,13.68,9018100,12.60
2012-11-06,13.60,13.64,13.30,13.34,8846400,12.29
2012-11-05,13.54,13.68,13.50,13.54,6331500,12.47
2012-11-02,13.66,13.68,13.54,13.56,12594900,12.49
2012-11-01,13.90,14.00,13.82,13.94,13870900,12.51
2012-10-31,13.80,13.92,13.76,13.88,8159200,12.46
2012-10-30,13.74,13.76,13.48,13.70,12223100,12.30
2012-10-29,13.92,14.00,13.64,13.74,23045600,12.33
2012-10-26,14.84,14.90,14.64,14.68,8612800,13.18
2012-10-25,14.60,14.94,14.60,14.86,12234600,13.34
2012-10-24,14.40,14.82,14.20,14.68,16888500,13.18
2012-10-23,14.28,14.28,14.28,14.28,000,12.82
2012-10-22,14.04,14.48,14.00,14.28,7686600,12.82
2012-10-19,14.24,14.28,14.06,14.14,7313400,12.69
2012-10-18,14.14,14.28,14.08,14.24,4464700,12.78
2012-10-17,14.04,14.18,14.04,14.14,6969200,12.69
2012-10-16,14.00,14.00,13.88,13.98,2919100,12.55
2012-10-15,13.74,13.96,13.70,13.94,3505100,12.51
2012-10-12,13.82,14.00,13.72,13.84,11763400,12.42
2012-10-11,14.10,14.18,13.72,13.82,11492400,12.40
2012-10-10,14.16,14.24,14.00,14.20,9158200,12.74
2012-10-09,14.20,14.36,14.08,14.16,6648000,12.71
2012-10-08,14.44,14.48,14.10,14.14,4637000,12.69
2012-10-05,14.32,14.48,14.32,14.42,7461000,12.94
2012-10-04,14.34,14.48,14.22,14.32,10757800,12.85
2012-10-03,14.26,14.60,14.24,14.42,10349100,12.94
2012-10-02,14.50,14.50,14.50,14.50,000,13.01
