Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,116.00,117.30,115.90,116.20,2415400,111.37
2012-12-28,116.70,117.00,115.90,116.10,2725700,111.27
2012-12-27,117.00,117.00,116.30,116.70,2937700,111.84
2012-12-26,116.10,116.10,116.10,116.10,000,111.27
2012-12-25,116.10,116.10,116.10,116.10,000,111.27
2012-12-24,116.00,116.40,115.90,116.10,1738300,111.27
2012-12-21,117.80,117.80,115.80,116.10,4151900,111.27
2012-12-20,115.80,117.10,115.80,116.90,2219900,112.04
2012-12-19,117.00,117.10,116.10,116.80,2857500,111.94
2012-12-18,117.50,117.50,115.70,115.90,2473300,111.08
2012-12-17,117.00,117.20,115.80,116.60,4170100,111.75
2012-12-14,116.30,117.30,115.90,116.70,3102300,111.84
2012-12-13,118.50,118.50,116.20,116.30,4373500,111.46
2012-12-12,117.00,117.90,116.00,116.80,4803800,111.94
2012-12-11,114.60,117.40,114.30,116.70,8269600,111.84
2012-12-10,114.00,115.00,114.00,114.60,2879100,109.83
2012-12-07,114.90,115.40,114.00,114.40,4333300,109.64
2012-12-06,114.60,114.60,113.60,114.30,3055200,109.54
2012-12-05,112.30,114.40,112.10,114.00,4110000,109.26
2012-12-04,112.70,113.40,112.30,112.90,3601500,108.20
2012-12-03,114.90,114.90,111.50,112.50,7408800,107.82
2012-11-30,114.50,114.80,113.10,113.40,6635500,108.68
2012-11-29,112.90,114.30,112.80,114.10,6144700,109.35
2012-11-28,113.60,113.60,112.40,112.90,3473100,108.20
2012-11-27,113.30,114.00,112.90,113.20,5628200,108.49
2012-11-26,114.30,114.30,113.30,113.70,2972500,108.97
2012-11-23,112.80,114.00,112.10,113.80,3531400,109.06
2012-11-22,111.70,113.00,111.30,112.80,3056200,108.11
2012-11-21,111.80,112.00,111.10,111.70,3202300,107.05
2012-11-20,111.50,111.90,110.70,111.00,3290300,106.38
2012-11-19,111.70,112.40,110.70,110.90,6598200,106.29
2012-11-16,113.00,114.50,112.30,114.10,5063700,107.05
2012-11-15,113.60,113.80,112.50,112.60,3233600,105.64
2012-11-14,112.80,114.30,112.10,114.10,4685700,107.05
2012-11-13,112.80,113.40,112.80,113.10,5035700,106.11
2012-11-12,111.80,113.60,111.80,113.40,3774500,106.40
2012-11-09,112.50,112.70,111.60,112.60,6298500,105.64
2012-11-08,111.10,112.60,111.10,111.90,5782200,104.99
2012-11-07,111.60,113.50,110.70,113.10,6769600,106.11
2012-11-06,111.00,111.00,109.70,110.80,2926000,103.96
2012-11-05,110.90,110.90,109.80,110.60,3229100,103.77
2012-11-02,110.00,110.30,109.10,110.10,4481300,103.30
2012-11-01,108.30,108.80,106.70,108.60,3732000,101.89
2012-10-31,107.60,108.40,107.10,107.90,5651700,101.24
2012-10-30,105.70,107.10,105.10,106.90,6746500,100.30
2012-10-29,106.80,107.50,105.30,106.10,14136600,99.55
2012-10-26,113.00,113.00,110.70,111.80,5278400,104.89
2012-10-25,113.00,113.50,111.70,113.00,7649800,106.02
2012-10-24,108.80,113.90,108.70,113.00,16063200,106.02
2012-10-23,109.10,109.10,109.10,109.10,000,102.36
2012-10-22,108.00,109.40,107.80,109.10,8616600,102.36
2012-10-19,108.80,109.00,107.70,108.00,7015200,101.33
2012-10-18,109.50,109.50,108.80,109.00,6745800,102.27
2012-10-17,109.90,110.00,108.60,109.00,6104200,102.27
2012-10-16,109.00,109.40,108.70,109.00,5085800,102.27
2012-10-15,108.80,109.40,108.10,109.00,5651100,102.27
2012-10-12,108.20,109.70,107.70,108.20,5911000,101.52
2012-10-11,111.20,111.30,108.50,108.80,7436700,102.08
2012-10-10,110.50,111.60,110.50,111.20,2731800,104.33
2012-10-09,112.00,112.90,111.30,111.90,5108500,104.99
2012-10-08,112.10,112.50,111.60,111.80,2523100,104.89
2012-10-05,113.50,113.70,112.20,112.50,3139900,105.55
2012-10-04,113.00,113.70,112.10,113.30,6910800,106.30
2012-10-03,112.00,114.00,112.00,113.30,8754300,106.30
2012-10-02,113.60,113.60,113.60,113.60,000,106.58
2012-10-01,113.60,113.60,113.60,113.60,000,106.58
2012-09-28,113.60,114.00,113.30,113.60,6734800,106.58
2012-09-27,111.60,113.80,111.50,113.10,9193600,106.11
2012-09-26,111.10,112.40,110.30,111.60,6270600,104.71
2012-09-25,111.60,112.80,110.80,110.90,5336000,104.05
2012-09-24,110.80,113.00,110.70,112.20,3548200,105.27
2012-09-21,111.80,112.40,110.60,110.80,4534600,103.96
