Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,95.65,96.00,95.50,95.85,560900,88.99
2012-12-28,95.25,95.90,95.00,95.70,1103500,88.86
2012-12-27,95.00,95.25,94.25,95.15,812500,88.34
2012-12-26,94.50,94.50,94.50,94.50,000,87.74
2012-12-25,94.50,94.50,94.50,94.50,000,87.74
2012-12-24,94.15,94.75,93.65,94.50,247300,87.74
2012-12-21,94.75,94.75,93.50,93.95,1006900,87.23
2012-12-20,94.40,94.40,93.60,93.80,1329300,87.09
2012-12-19,93.90,94.45,93.60,93.70,2200600,87.00
2012-12-18,94.10,94.10,93.15,93.20,1256400,86.53
2012-12-17,93.80,94.25,93.50,93.55,1602700,86.86
2012-12-14,93.85,94.35,93.70,94.00,1360400,87.28
2012-12-13,93.80,94.60,93.80,93.85,1236700,87.14
2012-12-12,94.65,95.00,93.75,94.30,2185700,87.56
2012-12-11,95.00,95.65,94.55,94.85,1667200,88.07
2012-12-10,96.50,96.50,95.00,95.30,1416500,88.48
2012-12-07,95.70,96.45,95.65,95.85,699400,88.99
2012-12-06,96.75,97.15,95.75,96.10,757000,89.23
2012-12-05,95.10,97.25,95.10,96.75,1188300,89.83
2012-12-04,95.00,95.85,94.15,95.10,1660600,88.30
2012-12-03,95.00,96.20,94.40,95.30,1275300,88.48
2012-11-30,95.50,96.10,94.60,95.00,2129800,88.21
2012-11-29,95.55,96.20,95.00,95.25,1420900,88.44
2012-11-28,95.60,95.80,94.30,95.15,1030500,88.34
2012-11-27,95.30,95.90,95.10,95.15,1021000,88.34
2012-11-26,94.30,95.95,94.30,95.50,1059000,88.67
2012-11-23,94.80,95.40,93.85,95.25,994400,88.44
2012-11-22,93.30,94.55,93.30,94.50,1471600,87.74
2012-11-21,93.20,93.75,92.20,93.65,958400,86.95
2012-11-20,93.75,93.75,92.55,92.60,1152800,85.98
2012-11-19,93.00,93.75,92.65,93.40,1118600,86.72
2012-11-16,93.40,93.40,92.55,92.80,1039100,86.16
2012-11-15,92.80,93.00,92.10,92.80,705600,86.16
2012-11-14,92.50,93.20,92.25,92.95,948900,86.30
2012-11-13,91.80,92.70,91.80,92.25,754800,85.65
2012-11-12,92.20,93.25,91.85,92.50,1286800,85.88
2012-11-09,92.20,92.65,92.05,92.25,1485700,85.65
2012-11-08,92.30,93.60,92.10,92.15,1358600,85.56
2012-11-07,94.35,94.45,93.65,94.05,1362300,87.32
2012-11-06,93.10,94.25,92.75,94.05,1861100,87.32
2012-11-05,93.30,94.70,93.15,93.25,2131600,86.58
2012-11-02,93.80,93.80,93.20,93.35,1501600,86.67
2012-11-01,92.40,93.20,91.65,92.45,1262000,85.84
2012-10-31,92.00,92.25,91.60,91.95,1414600,85.37
2012-10-30,91.40,92.65,91.30,91.90,1310200,85.33
2012-10-29,92.00,92.00,91.40,91.80,3165900,85.23
2012-10-26,94.50,94.55,92.85,93.00,1312400,86.35
2012-10-25,94.80,94.80,93.85,94.55,1459800,87.79
2012-10-24,91.90,95.15,91.90,94.80,1920800,88.02
2012-10-23,93.00,93.00,93.00,93.00,000,86.35
2012-10-22,92.55,93.35,92.35,93.00,2456800,86.35
2012-10-19,93.75,93.95,93.30,93.45,2378900,86.77
2012-10-18,93.65,93.85,93.40,93.75,1789700,87.04
2012-10-17,93.90,93.90,93.40,93.65,1530900,86.95
2012-10-16,91.60,93.30,91.55,93.00,1175600,86.35
2012-10-15,90.55,91.95,90.55,91.45,1094700,84.91
2012-10-12,90.95,91.80,90.55,91.30,1248500,84.77
2012-10-11,91.50,92.35,91.05,91.35,2044500,84.82
2012-10-10,92.00,92.85,91.80,92.05,1947900,85.47
2012-10-09,92.90,94.00,92.75,92.85,1133000,86.21
2012-10-08,93.00,93.25,92.65,92.90,935000,86.26
2012-10-05,94.05,94.15,93.20,93.25,2068500,86.58
2012-10-04,94.65,96.00,93.45,94.45,2474000,87.69
2012-10-03,96.15,96.15,95.10,95.75,2127900,88.90
2012-10-02,95.00,95.00,95.00,95.00,000,88.21
