Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,60.05,60.65,60.00,60.60,2002300,57.42
2012-12-28,59.60,60.20,59.60,60.05,3521700,56.90
2012-12-27,60.00,60.15,59.50,59.70,1947800,56.57
2012-12-26,59.95,59.95,59.95,59.95,000,56.81
2012-12-25,59.95,59.95,59.95,59.95,000,56.81
2012-12-24,59.50,60.05,59.50,59.95,790500,56.81
2012-12-21,60.45,60.45,59.80,60.05,2052000,56.90
2012-12-20,59.60,60.40,59.15,60.15,3608400,57.00
2012-12-19,58.80,60.20,58.50,60.10,6096200,56.95
2012-12-18,59.50,59.50,57.75,57.80,6208100,54.77
2012-12-17,60.70,60.70,58.70,59.05,5396500,55.95
2012-12-14,58.95,60.70,58.95,60.60,5237100,57.42
2012-12-13,59.60,60.00,59.10,59.85,2706900,56.71
2012-12-12,59.55,59.95,59.05,59.65,3722200,56.52
2012-12-11,60.00,60.05,58.70,59.00,4297300,55.91
2012-12-10,59.90,60.40,59.65,60.00,2835400,56.85
2012-12-07,60.45,60.45,59.90,60.30,4859800,57.14
2012-12-06,61.00,61.25,59.50,59.95,5595300,56.81
2012-12-05,58.15,61.15,58.15,60.95,6946200,57.75
2012-12-04,59.60,59.65,58.40,58.45,5686000,55.38
2012-12-03,60.10,61.50,59.50,59.90,8045900,56.76
2012-11-30,58.80,59.95,57.80,59.65,5958400,56.52
2012-11-29,58.85,59.20,57.85,58.70,4754100,55.62
2012-11-28,57.05,58.00,56.85,57.50,3277500,54.48
2012-11-27,58.40,58.40,57.30,58.05,4220800,55.01
2012-11-26,57.55,57.60,56.65,57.10,3620900,54.11
2012-11-23,55.80,57.70,55.60,57.60,6931700,54.58
2012-11-22,54.55,55.65,54.55,55.60,3710000,52.68
2012-11-21,54.70,54.90,54.05,54.45,1990600,51.59
2012-11-20,54.45,55.00,54.00,54.20,3179200,51.36
2012-11-19,54.00,54.45,53.35,53.95,2233200,51.12
2012-11-16,53.75,53.80,53.00,53.60,1813900,50.79
2012-11-15,53.75,54.10,53.00,53.10,2437900,50.31
2012-11-14,52.95,54.25,52.55,54.15,3188200,51.31
2012-11-13,53.60,53.60,52.40,52.45,2458400,49.70
2012-11-12,52.90,53.75,52.65,53.50,1832100,50.69
2012-11-09,54.20,54.30,52.80,52.90,2956400,50.13
2012-11-08,54.25,54.55,53.60,53.70,2970600,50.88
2012-11-07,55.00,55.10,54.25,55.00,3601600,52.12
2012-11-06,55.15,55.45,54.75,55.00,5370500,52.12
2012-11-05,53.80,54.85,53.75,54.75,3899600,51.88
2012-11-02,53.90,54.20,53.70,53.85,3330200,51.03
2012-11-01,53.00,53.55,52.60,53.35,1889400,50.55
2012-10-31,52.80,53.20,52.50,53.05,1508000,50.27
2012-10-30,53.20,53.20,52.00,52.60,2414100,49.84
2012-10-29,52.50,52.90,51.55,52.85,5737100,50.08
2012-10-26,54.15,54.20,52.65,52.90,4344000,50.13
2012-10-25,53.20,53.95,53.20,53.70,5300200,50.88
2012-10-24,51.80,53.10,51.80,53.00,5829000,50.22
2012-10-23,52.75,52.75,52.75,52.75,000,49.98
2012-10-22,52.20,53.10,51.65,52.75,3208600,49.98
2012-10-19,53.15,53.15,51.90,52.20,2863200,49.46
2012-10-18,53.05,53.20,52.25,52.80,3596200,50.03
2012-10-17,52.40,53.10,52.25,53.00,4747200,50.22
2012-10-16,51.95,52.05,51.45,51.90,3088000,49.18
2012-10-15,52.00,52.15,51.25,51.35,3784600,48.66
2012-10-12,51.00,51.85,51.00,51.75,4109100,49.04
2012-10-11,51.45,51.80,50.55,50.95,5949500,48.28
2012-10-10,51.00,51.85,50.90,51.45,4956800,48.75
2012-10-09,52.35,52.35,51.10,51.45,6816500,48.75
2012-10-08,52.00,52.40,51.45,51.50,4703200,48.80
2012-10-05,53.30,53.30,51.50,52.15,8896300,49.41
2012-10-04,54.90,54.90,52.85,52.95,5400800,50.17
2012-10-03,53.85,54.80,53.80,54.30,7120200,51.45
2012-10-02,53.85,53.85,53.85,53.85,000,51.03
2012-10-01,53.85,53.85,53.85,53.85,000,51.03
2012-09-28,53.20,53.90,52.80,53.85,4253900,51.03
2012-09-27,52.10,53.25,51.80,52.90,4579600,50.13
2012-09-26,52.00,52.55,51.65,52.10,2736100,49.37
2012-09-25,52.25,52.95,52.25,52.40,2460000,49.65
2012-09-24,52.00,53.30,51.70,52.75,3685900,49.98
2012-09-21,51.40,52.80,51.00,52.35,5733600,49.60
2012-09-20,52.00,52.50,50.60,50.80,6873900,48.14
2012-09-19,52.55,52.90,51.70,52.00,6383000,49.27
2012-09-18,52.25,53.00,51.95,52.90,7376400,50.13
2012-09-17,51.60,52.00,51.10,51.95,4300100,49.23
2012-09-14,51.30,52.00,51.30,51.80,10326500,48.66
2012-09-13,50.80,50.90,49.80,50.05,4572100,47.01
2012-09-12,50.20,50.30,49.85,50.05,7868100,47.01
2012-09-11,48.95,49.65,48.35,49.55,4598200,46.54
2012-09-10,48.40,49.10,48.40,48.70,5642100,45.74
2012-09-07,47.50,49.00,47.40,48.70,11320700,45.74
2012-09-06,46.60,47.30,46.55,46.75,4080600,43.91
2012-09-05,47.80,47.80,46.75,46.85,6133600,44.01
2012-09-04,48.10,48.35,47.65,47.90,2640700,44.99
2012-09-03,47.05,48.50,47.05,48.25,4547500,45.32
2012-08-31,48.00,48.30,47.35,47.75,7661900,44.85
2012-08-30,47.90,48.30,47.90,48.20,5097200,45.28
2012-08-29,48.60,49.00,48.10,48.40,4843200,45.46
2012-08-28,49.65,49.90,48.70,48.95,5096300,45.98
2012-08-27,49.35,49.90,49.25,49.65,4642600,46.64
2012-08-24,48.80,49.75,48.20,49.25,9001200,46.26
2012-08-23,46.65,49.70,46.65,48.90,11339700,45.93
2012-08-22,46.40,46.90,46.25,46.70,2778600,43.87
2012-08-21,47.05,47.05,46.35,47.00,1980400,44.15
2012-08-20,46.90,47.00,46.35,46.95,1455300,44.10
2012-08-17,45.80,46.80,45.80,46.75,1322200,43.91
2012-08-16,46.35,46.55,45.55,45.90,3369400,43.11
2012-08-15,46.90,46.90,46.45,46.60,2258600,43.77
2012-08-14,47.20,47.45,45.95,46.80,5041800,43.96
2012-08-13,47.35,47.65,46.40,46.70,3569200,43.87
2012-08-10,46.85,47.45,46.50,47.35,5086600,44.48
2012-08-09,46.80,47.15,46.55,46.85,4010800,44.01
2012-08-08,46.75,47.00,46.35,46.95,5679800,44.10
2012-08-07,46.10,46.20,45.80,46.20,5101800,43.40
2012-08-06,45.80,45.90,45.50,45.85,6084500,43.07
2012-08-03,44.45,45.35,44.00,45.25,4206700,42.50
2012-08-02,45.70,45.70,44.55,44.90,5389800,42.18
2012-08-01,44.80,45.60,44.60,45.50,5637600,42.74
2012-07-31,44.80,45.20,44.55,45.00,5861500,42.27
2012-07-30,43.75,44.75,43.40,44.55,6840900,41.85
2012-07-27,43.35,43.50,43.05,43.05,3885200,40.44
2012-07-26,42.55,43.10,42.20,42.80,2949100,40.20
2012-07-25,42.60,42.95,42.25,42.35,3162700,39.78
2012-07-24,42.85,43.20,42.60,42.85,3022300,40.25
2012-07-23,43.65,43.65,43.05,43.30,2769800,40.67
2012-07-20,43.80,43.95,43.15,43.90,4900800,41.24
2012-07-19,44.05,44.20,42.70,43.35,4539300,40.72
2012-07-18,43.90,44.05,43.15,43.55,3526000,40.91
2012-07-17,42.00,43.60,42.00,43.45,4628000,40.81
2012-07-16,42.85,42.90,42.00,42.20,2394300,39.64
2012-07-13,42.00,42.80,42.00,42.50,3740000,39.92
2012-07-12,43.15,43.25,42.20,42.25,4242900,39.69
2012-07-11,42.30,44.00,42.30,43.50,3652000,40.86
2012-07-10,43.35,43.85,42.55,42.55,4633300,39.97
2012-07-09,44.95,44.95,43.25,43.35,5080200,40.72
2012-07-06,44.50,45.30,44.10,45.25,5102400,42.50
2012-07-05,43.95,44.80,43.35,44.80,5195500,42.08
2012-07-04,43.90,44.35,43.50,43.70,5157900,41.05
2012-07-03,43.90,43.90,43.00,43.35,3845800,40.72
2012-07-02,42.55,42.55,42.55,42.55,000,39.97
2012-06-29,41.50,42.80,41.30,42.55,5446800,39.97
2012-06-28,42.60,42.60,41.35,41.45,4438600,38.93
2012-06-27,41.40,41.95,41.25,41.90,3717200,39.36
2012-06-26,41.10,41.90,41.05,41.40,3892700,38.89
2012-06-25,41.25,41.55,41.10,41.15,4029800,38.65
2012-06-22,41.10,42.35,41.05,41.55,4675700,39.03
2012-06-21,42.35,42.55,42.00,42.20,4095800,39.64
2012-06-20,42.70,43.20,42.50,42.75,4210200,40.16
2012-06-19,42.70,42.95,42.25,42.50,2761100,39.92
2012-06-18,42.50,42.90,42.45,42.70,3987300,40.11
2012-06-15,41.65,42.30,41.65,41.95,7855300,39.40
2012-06-14,41.75,42.65,41.75,41.95,4346600,39.40
2012-06-13,42.50,42.75,41.90,41.95,6602500,39.40
2012-06-12,43.00,43.15,41.85,42.80,13383500,40.20
