Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21.00,21.60,20.80,21.55,2561200,21.24
2012-12-28,21.50,21.65,21.20,21.25,4299700,20.94
2012-12-27,21.30,21.60,21.25,21.50,2967400,21.19
2012-12-26,21.35,21.35,21.35,21.35,000,21.04
2012-12-25,21.35,21.35,21.35,21.35,000,21.04
2012-12-24,21.00,21.50,20.95,21.35,3687400,21.04
2012-12-21,21.10,21.15,20.80,21.05,7606100,20.74
2012-12-20,21.30,21.40,21.00,21.30,3871300,20.99
2012-12-19,21.15,21.65,20.95,21.50,3681000,21.19
2012-12-18,21.75,21.75,21.05,21.15,5500600,20.84
2012-12-17,21.60,21.85,21.35,21.45,4116900,21.14
2012-12-14,21.75,22.20,21.55,21.60,5773400,21.29
2012-12-13,22.50,22.50,21.90,22.00,3908000,21.68
2012-12-12,22.10,22.60,21.65,21.95,5236100,21.63
2012-12-11,21.65,22.50,21.65,22.20,3723400,21.88
2012-12-10,22.50,22.50,21.50,21.90,5900100,21.58
2012-12-07,22.35,22.45,21.90,22.20,3347900,21.88
2012-12-06,22.70,22.70,22.05,22.25,2778000,21.93
2012-12-05,22.50,22.65,22.20,22.65,2511100,22.32
2012-12-04,23.05,23.05,22.30,22.35,2260400,22.02
2012-12-03,22.60,22.90,22.20,22.40,2022500,22.07
2012-11-30,22.60,23.00,22.30,22.65,4514900,22.32
2012-11-29,22.75,22.75,22.30,22.50,2590900,22.17
2012-11-28,22.45,22.70,21.65,22.65,4979200,22.32
2012-11-27,22.65,22.75,22.20,22.40,4152600,22.07
2012-11-26,21.95,22.45,21.85,22.35,4327100,22.02
2012-11-23,21.50,22.00,21.50,21.85,4100000,21.53
2012-11-22,22.20,22.20,21.40,21.70,10122000,21.38
2012-11-21,21.90,22.15,21.60,22.10,11578000,21.78
2012-11-20,22.70,22.90,21.95,22.10,7288700,21.78
2012-11-19,23.15,23.80,22.30,22.95,6118000,22.62
2012-11-16,24.00,24.00,23.10,23.30,5008000,22.96
2012-11-15,23.40,23.50,23.20,23.40,3808800,23.06
2012-11-14,23.40,23.50,22.95,23.45,5110900,23.11
2012-11-13,23.20,23.30,22.70,23.20,5936000,22.86
2012-11-12,22.80,23.35,22.80,23.20,4828600,22.86
2012-11-09,23.00,23.15,22.70,22.95,5572000,22.62
2012-11-08,22.30,23.05,22.30,22.80,8176600,22.47
2012-11-07,23.05,23.15,22.55,22.70,3185400,22.37
2012-11-06,22.60,23.40,22.25,23.00,4631500,22.67
2012-11-05,23.15,23.15,22.15,22.50,7254600,22.17
2012-11-02,23.30,23.40,23.00,23.05,8652300,22.71
2012-11-01,23.00,23.50,22.90,23.15,5456800,22.81
2012-10-31,23.10,23.15,22.85,23.05,2673900,22.71
2012-10-30,23.05,23.30,22.95,23.10,2572500,22.76
2012-10-29,23.00,23.30,22.80,23.00,4906100,22.67
2012-10-26,23.40,23.40,22.90,23.05,4847300,22.71
2012-10-25,23.80,23.80,23.10,23.25,6732000,22.91
2012-10-24,23.80,23.80,23.15,23.65,3659600,23.31
2012-10-23,23.90,23.90,23.90,23.90,000,23.55
2012-10-22,23.60,23.90,23.40,23.90,2206300,23.55
2012-10-19,23.60,24.05,23.30,23.90,3537700,23.55
2012-10-18,24.40,24.40,23.30,23.55,5532000,23.21
