Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10.40,10.76,10.40,10.68,11401000,10.63
2012-12-28,10.50,10.76,10.40,10.42,13554500,10.37
2012-12-27,10.82,10.82,10.60,10.62,9303600,10.57
2012-12-26,10.74,10.74,10.74,10.74,000,10.69
2012-12-25,10.74,10.74,10.74,10.74,000,10.69
2012-12-24,10.66,10.82,10.66,10.74,4341700,10.69
2012-12-21,10.72,10.78,10.52,10.76,20074700,10.71
2012-12-20,10.68,10.80,10.46,10.76,14691500,10.71
2012-12-19,10.64,10.82,10.58,10.62,15407200,10.57
2012-12-18,10.68,10.78,10.50,10.54,16129500,10.49
2012-12-17,10.96,10.96,10.70,10.72,11769900,10.67
2012-12-14,11.00,11.06,10.78,10.84,18880000,10.79
2012-12-13,10.78,11.14,10.78,10.98,16043800,10.93
2012-12-12,10.70,10.88,10.68,10.86,12925800,10.81
2012-12-11,10.68,10.74,10.56,10.66,19882100,10.61
2012-12-10,11.00,11.02,10.70,10.80,16642300,10.75
2012-12-07,11.10,11.14,10.88,10.92,16323000,10.87
2012-12-06,11.56,11.56,11.10,11.12,8917200,11.07
2012-12-05,11.14,11.42,11.06,11.40,8183600,11.35
2012-12-04,11.22,11.44,11.04,11.24,7231300,11.19
2012-12-03,11.42,11.56,11.30,11.44,9825200,11.39
2012-11-30,11.52,11.54,11.20,11.32,13138500,11.27
2012-11-29,11.16,11.48,11.06,11.46,9030400,11.41
2012-11-28,11.20,11.26,11.02,11.22,6130900,11.17
2012-11-27,11.50,11.50,11.24,11.44,9649200,11.39
2012-11-26,11.34,11.56,11.20,11.20,7622300,11.15
2012-11-23,11.30,11.32,11.12,11.28,11124000,11.23
2012-11-22,11.02,11.26,10.90,11.22,15076600,11.17
2012-11-21,10.64,10.98,10.64,10.94,7460300,10.89
2012-11-20,11.00,11.00,10.60,10.64,10810300,10.59
2012-11-19,10.32,10.84,10.32,10.80,11857000,10.75
2012-11-16,10.80,10.80,10.32,10.42,10930200,10.37
2012-11-15,10.70,10.78,10.56,10.66,14229600,10.61
2012-11-14,10.90,10.98,10.76,10.86,7645100,10.81
2012-11-13,10.92,11.06,10.88,10.98,11092000,10.93
2012-11-12,10.88,11.16,10.86,11.02,7989900,10.97
2012-11-09,10.88,11.10,10.72,10.78,13923000,10.73
2012-11-08,10.88,11.18,10.72,10.80,18996700,10.75
2012-11-07,11.46,11.48,10.92,11.10,15086500,11.05
2012-11-06,11.38,11.56,11.00,11.44,11758300,11.39
2012-11-05,11.50,11.68,11.08,11.22,20503400,11.17
2012-11-02,11.10,11.64,10.98,11.40,22226100,11.35
2012-11-01,10.66,10.98,10.54,10.96,14356100,10.91
2012-10-31,10.68,10.68,10.38,10.60,7657500,10.55
2012-10-30,10.22,10.64,10.22,10.60,11172600,10.55
2012-10-29,10.14,10.22,10.14,10.18,6793000,10.13
2012-10-26,10.30,10.42,10.10,10.14,8399100,10.09
2012-10-25,9.88,10.26,9.88,10.24,10240100,10.19
2012-10-24,9.95,10.00,9.80,9.90,15250900,9.86
2012-10-23,10.00,10.00,10.00,10.00,000,9.96
2012-10-22,9.81,10.08,9.81,10.00,5926100,9.96
2012-10-19,10.24,10.24,9.90,9.92,16019900,9.88
2012-10-18,10.46,10.56,10.16,10.18,10805800,10.13
2012-10-17,10.50,10.70,10.34,10.44,12673000,10.39
2012-10-16,10.10,10.38,9.99,10.34,8487600,10.29
2012-10-15,10.10,10.18,9.93,10.02,5170900,9.98
2012-10-12,10.14,10.20,10.02,10.18,10391600,10.13
2012-10-11,9.72,10.06,9.72,10.04,6768700,10.00
2012-10-10,10.06,10.06,9.84,9.85,6027100,9.81
2012-10-09,10.00,10.14,9.94,10.04,9280600,10.00
2012-10-08,9.85,9.99,9.85,9.96,7722900,9.92
2012-10-05,9.92,10.00,9.82,9.95,6680300,9.91
2012-10-04,10.04,10.04,9.93,9.96,12311400,9.92
2012-10-03,10.08,10.10,9.94,10.08,17039300,10.04
2012-10-02,9.89,9.89,9.89,9.89,000,9.85
2012-10-01,9.89,9.89,9.89,9.89,000,9.85
2012-09-28,10.08,10.08,9.77,9.89,15510500,9.85
2012-09-27,9.56,9.90,9.56,9.79,17343200,9.75
2012-09-26,9.88,9.88,9.67,9.74,9842900,9.70
