Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
31.12.2012;22584.44;22698.33;22566.89;22656.92;685413000;22656.92;;;;;;;;
28.12.2012;22706.33;22706.33;22628.46;22666.59;1043816200;22666.59;;;;;;;;
27.12.2012;22705.46;22718.83;22608.60;22619.78;1053372600;22619.78;;;;;;;;`
26.12.2012;22541.18;22541.18;22541.18;22541.18;0;22541.18;;;;;;;;
25.12.2012;0;0;0;22541.18;0;0;;;;;;;;
24.12.2012;22494.71;22577.56;22494.71;22541.18;560264800;22541.18;;;;;;;;
21.12.2012;22565.09;22565.09;22423.16;22506.29;1805720400;22506.29;;;;;;;;
20.12.2012;22602.99;22661.74;22483.95;22659.78;1620967700;22659.78;;;;;;;;
19.12.2012;22654.65;22683.72;22562.02;22623.37;1577167800;22623.37;;;;;;;;
18.12.2012;22525.46;22588.48;22449.74;22494.73;3217316000;22494.73;;;;;;;;
17.12.2012;22590.76;22625.41;22453.59;22513.61;1451263500;22513.61;;;;;;;;
14.12.2012;22396.72;22636.43;22396.72;22605.98;1771220400;22605.98;;;;;;;;
13.12.2012;22500.99;22563.14;22380.78;22445.58;1475964000;22445.58;;;;;;;;
12.12.2012;22412.90;22508.01;22412.90;22503.35;1856501400;22503.35;;;;;;;;
11.12.2012;22295.99;22393.20;22244.02;22323.94;1585416300;22323.94;;;;;;;;
10.12.2012;22377.56;22377.56;22235.76;22276.72;1388628000;22276.72;;;;;;;;
07.12.2012;22294.73;22371.40;22188.07;22191.17;1830833200;22191.17;;;;;;;;
06.12.2012;22355.89;22355.89;22215.08;22249.81;1474980800;22249.81;;;;;;;;
05.12.2012;21819.01;22274.04;21804.93;22270.91;2465522000;22270.91;;;;;;;;
04.12.2012;21786.07;21853.15;21687.88;21799.97;1236799200;21799.97;;;;;;;;
03.12.2012;22070.44;22162.47;21716.77;21767.85;1222931400;21767.85;;;;;;;;
30.11.2012;21949.40;22091.61;21918.55;22030.39;1829162400;22030.39;;;;;;;;
29.11.2012;21821.05;21996.40;21786.03;21922.89;1272038400;21922.89;;;;;;;;
28.11.2012;21764.91;21764.91;21629.58;21708.98;1272896700;21708.98;;;;;;;;
27.11.2012;21969.71;22002.86;21820.15;21844.03;1205019200;21844.03;;;;;;;;
26.11.2012;21986.36;21986.36;21827.27;21861.81;1074310800;21861.81;;;;;;;;
23.11.2012;21729.72;21924.06;21723.35;21913.98;1337229900;21913.98;;;;;;;;
22.11.2012;21595.59;21774.40;21517.91;21743.20;1449478500;21743.20;;;;;;;;
21.11.2012;21367.55;21530.44;21229.14;21524.36;1358588100;21524.36;;;;;;;;
20.11.2012;21478.00;21478.00;21213.12;21228.28;1169937500;21228.28;;;;;;;;
19.11.2012;21209.95;21303.10;21136.32;21262.06;1100673100;21262.06;;;;;;;;
16.11.2012;21203.82;21205.31;21105.21;21159.01;1146325100;21159.01;;;;;;;;
15.11.2012;21188.94;21288.48;21098.41;21108.93;1408099400;21108.93;;;;;;;;
14.11.2012;21250.97;21446.36;21221.31;21441.99;1302165900;21441.99;;;;;;;;
13.11.2012;21372.87;21399.61;21181.92;21188.65;1349937200;21188.65;;;;;;;;
12.11.2012;21367.57;21462.45;21339.19;21430.30;922157200;21430.30;;;;;;;;
09.11.2012;21433.60;21525.49;21330.34;21384.38;1455863300;21384.38;;;;;;;;
08.11.2012;21785.83;21871.85;21555.75;21566.91;1668424200;21566.91;;;;;;;;
07.11.2012;22020.40;22099.85;21811.19;22099.85;1555286100;22099.85;;;;;;;;
06.11.2012;21959.99;22008.86;21832.28;21944.43;1317598200;21944.43;;;;;;;;
05.11.2012;22044.21;22141.13;21990.68;22006.40;1165502600;22006.40;;;;;;;;
02.11.2012;22066.29;22149.70;22019.65;22111.33;1853113600;22111.33;;;;;;;;
